Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	1011.79445449344	568.169909643276	686.811157507371	1161.69485373643	324.157128269124	172.432910769473	127.725839387092	139.167978665007	141.446537433168	92.4395222969846	126.23564016152	95.9530695277988	85.3762799842118	58.8535350028662	67.745100379876	60.9943990971444	65.262450376069	62.6811449895963	61.3263512045629	62.0953871235604	49.4961418654982	57.5167030129264	53.7687487386766	52.289396351325	58.3940215619379	47.0871189255551	54.2516214669187	37.9865515499775	44.010073118674	42.6349743811869	33.5721829931116	34.5628599867739	35.199238307935	32.5586716197099	29.0221184756505	24.5275471388006	29.7256042798482	24.3625919346364	27.7463984552918	27.2137009565803	26.4295994766098	26.0392803553913	24.2023227438372
252.5	843.773692567259	454.674981160727	678.890609764763	2390.91669312455	1031.8465969726	190.537602025613	173.542626106429	163.606396402928	126.926357244586	118.060352076474	119.992426668177	88.4321579749838	80.4807937327915	70.3945895506506	85.0663557211844	69.8875372794064	52.6339281250322	69.6165194999225	62.2583522972503	52.4936611364227	51.8638005083737	68.8178587263828	63.8532292136976	50.6504905621375	58.075406466994	49.9940374670281	50.5007171954122	43.6318781044195	43.4859163574993	34.985661001767	33.5632460974118	31.5769849125035	39.7240152010669	29.9805077510823	25.521743816198	26.2458816074305	31.9007994873859	29.8758798921714	28.2631635643746	24.9613115712176	24.1768890154076	22.1942986832886	24.9653717725528
255	768.665918307136	470.652349461448	524.279885652112	3785.10576560803	3506.36518169079	405.769595063699	164.291807620545	159.081653854033	136.103756585266	112.434762067462	116.014862836538	90.9266827247957	69.2317743346641	59.0995020020897	67.9541255902449	69.1636226065934	63.1521264554703	49.3692109454058	65.6045430134407	59.4533510740496	49.278326740647	60.8754732624813	56.852855248215	50.5667381680206	43.8059249304265	54.2898718251194	61.6587185222278	44.960347989691	41.1099089862453	39.0562708299204	32.3859502659494	27.9785368477668	28.5725286618675	34.2079542138865	34.7437513464964	29.1957422726538	23.1674432169605	30.3503425297159	30.067946029458	30.6634493045785	24.8214196323748	27.1126842776458	22.9520458600875
257.5	817.148344272668	672.19101185055	394.546067841593	3075.73473332849	7360.52455819713	1966.75630304531	190.466595468714	171.907206117405	130.33433256953	126.286272220399	134.136732993352	107.085198905711	80.6359908297126	66.3792716269431	66.1505382971314	69.1626471739221	59.0438329410547	75.7942703658577	56.0661826593673	61.2496300642926	62.5184671612179	49.3558137087418	50.7772869960725	49.9023148324499	59.5002076891306	53.5120196841866	60.4610253018413	53.3221344281722	41.4479578937086	37.9606935071804	29.0436627049197	32.1274201534678	33.5041329210113	33.3659917945873	31.0656749381721	28.9438073563829	31.4470800885158	32.5553546984512	28.9132257769273	20.7441139187641	26.8238664449062	19.4875047979171	23.8308371196473
260	1137.08306918453	483.377006352554	362.622560118049	1423.17467683567	9007.13620645312	7132.81408941036	515.901621914148	167.027451585549	173.324942896911	147.627933280013	117.592286042541	97.2896414206961	75.4167955723669	85.9448107885861	75.7365681605088	66.3934889948692	69.0485564702575	58.370025834906	56.7722422744009	69.9658506761191	53.2698619057628	57.8813146108833	52.6669931549681	58.6398579635103	60.0638797868264	53.0215527073338	50.3477869704569	52.4314341131912	44.8199955769768	40.2989176400815	28.7259509003455	34.8602742596284	29.8579088893568	35.7965206115127	29.8913014248389	34.1294048784296	24.2667663803059	26.5674340752402	33.3559188777773	27.075881111964	24.6950460657898	25.6882046764303	22.1707345216236
262.5	961.609996807579	465.469387622907	499.520326013641	545.726522532603	6649.94567460854	14744.1239689069	3345.8978824669	156.982993804167	145.184390829137	125.1777598427	127.373502566438	99.8726051303424	94.6180331131592	74.8198579442556	90.4667547725853	62.4545562343661	76.0347108532853	67.0506195507752	58.8433916430463	59.6414456796606	50.790529789998	48.6373225768792	48.4915221337361	47.6781456821865	65.2113096599411	47.8138164586525	54.3632163266795	43.7280495997138	42.6604339612058	40.7365207988707	35.0708762150211	35.3884862178018	29.5667435231195	29.9793438199178	31.3947148434729	33.951017687019	25.0693345396352	26.9357804532958	27.5469132647703	25.2055342154942	26.2601546804561	27.3752115707668	20.1866009984841
265	830.348086830133	490.421978105171	403.982893531586	321.252474674282	2927.21939570324	17979.8007710567	12068.0215122102	596.243795785208	147.581404773036	108.418515345124	92.4554858041438	106.765178667626	69.5543732709699	72.4976432193657	81.7375584243468	85.8928309274158	74.7012565433564	52.3516415346191	72.2256841662333	60.3539738555041	53.6487901093735	51.8733530923719	52.4269946767126	57.1587027800816	56.0627835460889	50.1815926850945	49.4937221537575	44.4908864259628	40.573129058303	33.7922162061945	30.9791080021633	29.5326079380489	26.4393470333649	30.6446922125313	31.6771925325929	32.9373464789457	27.5755747757064	31.4661895037973	29.9700372240985	25.5835258243654	23.7739667840143	20.6189674457604	23.1929776448444
267.5	800.896441605533	605.123852101858	426.495106223882	300.815250594313	876.655479402721	13229.0734812796	24260.2888181527	4324.73766927837	194.732361518061	111.157989990174	98.971454945939	100.602232426655	89.5029186212026	86.7640663472223	81.4227657796381	63.1023597872137	57.5342611347857	70.4123700902666	54.806312534855	65.8059906879538	58.7549645348088	57.2413330932705	53.8891480333823	60.1118796231483	51.2509627927264	48.9634522996362	59.6400080260143	46.3165056424414	39.5623379187647	38.7817891730701	35.2366033616946	30.8821188195791	34.9888992814665	25.9629754836062	31.5046542768419	23.522413410442	28.0960598173554	29.2843386220649	27.3271537027377	32.2312898525986	25.2455241825306	24.3027584878168	23.8413463298551
