Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps	MicroAmps
250	0.622549499587923	1.0433653428144	1.55143605228008	2.12846309395051	2.75586454676274	3.36876361674441	4.02709349353547	4.85958629640445	5.78231111115807	6.76992672527143	7.98323613738203	9.27195375894975	10.4474487262153	11.406281160587	12.3207435624578	12.9622767621758	13.7000033882785	14.3311687826939	14.7560991800468	15.3121673162326	15.8867508329592	16.2845795843551	16.6741915820931	16.8718906932218	16.6092789236676	16.8428093945128	17.5800055127091	18.5670890963125	19.7946552991701	21.005591069967	22.4463376766145	23.9982649773867	24.5539473481575	24.7406808068653	25.8000457317254	26.1593833767379	26.9245580562209	26.7225976688646	26.9906706047782	27.7983478475638	28.3120392517097	28.8657437172151	31.4837618339331
252.5	0.625379271475442	1.03976736909048	1.5619993053903	2.12457951671124	2.73383058226206	3.37916621197639	4.02450156703253	4.8731448899212	5.78961392933078	6.74596996909177	8.03677339842391	9.29709834317295	10.3912123609107	11.3680321683251	12.3697986687306	13.0121203282129	13.8187563998464	14.2391864844716	14.7301847212641	15.4117409381768	15.8774788528331	16.2995267886878	16.7531088028392	16.7086124040957	16.5696487205829	16.8597454295997	17.589721317723	18.6168596802151	19.7517461654347	21.0625206046459	22.426382903747	23.9741306391066	24.6614894009397	24.9549111526675	25.6914526535569	26.2230412133912	27.0227244986899	26.678294934671	27.1613598740986	27.632220040627	28.3938288631911	29.0036734651853	31.5891856005912
255	0.623852179553757	1.04504264036012	1.55343682851557	2.13208222875325	2.73526522882878	3.4117630509786	4.04474134308344	4.8565183948459	5.75002256038297	6.75016758559671	7.96136771429632	9.26955217818052	10.3784255264139	11.3679754361483	12.3236372162777	13.1429948376802	13.6941712045409	14.2806695312433	14.8040072602773	15.3319946703227	15.8914564069139	16.358942887214	16.6876399310371	16.7364366990257	16.6595961689449	16.8577490764585	17.6331127970375	18.558886703768	19.9864508611287	20.9780557002067	22.4375354915919	23.9712672968332	24.4623203954078	24.8445425007758	25.5836220875923	26.3465354145455	26.8804322019095	26.6826531499852	26.9886354485366	27.6312114346741	28.2769957337868	28.8779617347432	31.6107146532374
257.5	0.619941888984953	1.05306241743603	1.5534397801375	2.12453550178173	2.73662610678182	3.38392392516253	4.03360214508865	4.83589865948285	5.75214611076148	6.76707941239317	8.01222826334811	9.27784846557442	10.4259225653917	11.4073811666716	12.315979371866	12.9910534645616	13.6801055843606	14.2300636437472	14.9087145033491	15.4155445803844	15.8432906667758	16.3382740872155	16.6754801868242	16.8587413097308	16.753807395976	16.8676863780535	17.5889816174087	18.7361821894919	19.9078511147465	20.9628291377691	22.5070079034168	24.1212254261018	24.4904583957808	24.8224017537962	25.57674885764	26.1354873197069	26.8143816040355	26.7965490845773	26.8794763913665	27.6667226649974	28.1564890814484	28.9212117956012	31.6927923506551
260	0.62211728391381	1.04498700109469	1.54676457890632	2.12642246557378	2.75116811382546	3.36658729386766	4.02567401420466	4.83933907385237	5.77592253094571	6.7728414667374	8.03202191077371	9.26339159479041	10.3730779236617	11.4155366612212	12.3075552387101	12.9841839654733	13.7046043022008	14.3545530901529	14.8030695695586	15.4127230090828	15.8503571263099	16.2964860325145	16.6654027942873	16.7977820662061	16.7038474199844	16.8341811596849	17.6370522806639	18.5628636172038	19.8496340129342	20.9989274042228	22.3325788269828	24.0450136344218	24.4379626684568	24.839830342592	25.8289038248689	26.1147141874677	26.8037568482196	26.6662829718296	27.0231239127508	27.6384586880624	28.3649009458291	28.8564714394211	31.4799382255504
262.5	0.622841875141337	1.03561752122107	1.54597354422973	2.11854944752701	2.74024867290466	3.38420972227375	4.03878233598526	4.84338504851421	5.7738346708742	6.77363165074481	8.07029012148012	9.32644285560758	10.4935666377144	11.408819482992	12.4018000872475	12.9878363625662	13.7949632865472	14.2745895295168	14.7891179783069	15.3774767023161	15.8706072098849	16.2424599561734	16.7571447525297	16.6772524951665	16.6415872731446	16.8112792127572	17.5390049483018	18.5857417756794	19.8533538768105	21.2147840927917	22.428751922292	24.0341988761653	24.6662046719164	24.9837785841899	25.5700506154799	26.1220673978868	27.1770602524523	26.6507777228697	27.0307528189695	27.6993310022662	28.4808341118581	29.174651186653	31.5462123341656
265	0.622822397297842	1.04503353277065	1.548183625269	2.12483881979701	2.73356169188864	3.40267802162811	4.06001976978442	4.82349643801652	5.72218847730467	6.76475237843662	7.97567787182602	9.2721609122665	10.4102485773191	11.4348198945321	12.3466861508177	13.1727645057471	13.6872120448096	14.284452131581	14.8198030897785	15.4120325870366	15.8465412389244	16.292073412046	16.5788370140023	16.7253874589586	16.702530998481	16.9490883857767	17.5661528363742	18.5229787601894	19.9258132576173	20.9435963497619	22.4587752375987	23.9501123286582	24.4773650730806	24.942006733775	25.5791486379036	26.2306331323054	26.9132804073413	26.7764367799722	27.0161013908069	27.6152556241926	28.3791329403997	28.8557684975294	31.4513169488121
267.5	0.619921861825073	1.05145951125331	1.55113680931504	2.12831740303657	2.73062197181623	3.38059135231779	4.0340652111769	4.81851847942296	5.73793917130861	6.77046679484222	7.98054709629059	9.23847152838562	10.425705043728	11.4563065656102	12.2855115531763	12.9759513072287	13.6596672912551	14.2725189958	14.938039774451	15.4290304123667	15.7844011032747	16.2978389987998	16.5708379600799	16.7031274340254	16.7427402115731	16.8359299694922	17.5820941815238	18.5754131776993	19.8079448346381	21.029714269331	22.4904246515316	24.0960064930996	24.5114832370033	24.8103208212285	25.6989196945419	26.2432340233671	26.8920391964908	26.7550840578916	26.9156831783276	27.7892267538511	28.3947648983435	28.9103721960362	31.7690905070808
