EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	724.572670060629
252.5	240	826.707242288199
255	240	628.944815437192
257.5	240	800.027693334402
260	240	675.346346631339
262.5	240	625.668569219765
265	240	915.000074415566
267.5	240	859.859427156224
270	240	904.411970261805
272.5	240	857.973508297092
275	240	838.106733451594
277.5	240	862.323465990271
280	240	980.434344160228
282.5	240	935.822184744311
285	240	806.345777743925
287.5	240	909.01417007612
290	240	1214.16238401331
292.5	240	765.706791689714
295	240	868.1763534754
297.5	240	846.5474347081
300	240	1120.8496261496
302.5	240	886.088050363024
305	240	1164.18879031965
307.5	240	1013.90836537467
310	240	1026.11922326177
312.5	240	762.705314130901
315	240	1144.14307382343
317.5	240	969.575961778367
320	240	998.523258223996
322.5	240	958.844001532679
325	240	1225.78547592022
327.5	240	782.898769879738
330	240	796.069856797854
332.5	240	1092.95349174903
335	240	1238.45630974874
337.5	240	909.286378833935
340	240	966.545048764004
342.5	240	1006.9702257993
345	240	1176.11052166759
347.5	240	1062.37629423412
350	240	1072.35495036499
352.5	240	1055.36887437388
355	240	1191.30683234932
357.5	240	1033.35498787915
360	240	1268.04623236789
362.5	240	1240.64763229475
365	240	1104.28223044954
367.5	240	1020.27040608108
370	240	1059.25064143848
372.5	240	1117.72315954787
375	240	1171.13188523781
377.5	240	1111.32459714608
380	240	1134.73649134466
382.5	240	1067.62729858164
385	240	952.433222904888
387.5	240	1001.11174431393
390	240	798.002125101573
392.5	240	1021.97690971935
395	240	1106.63980442137
397.5	240	1106.78961028228
400	240	1026.66374277268
402.5	240	1099.27289681691
405	240	980.824728978645
407.5	240	1274.59996963922
410	240	1130.45631706912
412.5	240	937.271041338021
415	240	782.3983889347
417.5	240	1152.06172653218
420	240	978.523427096755
422.5	240	962.4015202403
425	240	938.684955542342
427.5	240	1154.14768796867
430	240	886.569525185529
432.5	240	751.168084061476
435	240	971.591525896476
437.5	240	1076.32135978553
440	240	915.786341328291
442.5	240	1035.25375829084
445	240	1092.5879301769
447.5	240	826.15950957641
450	240	929.443244311506
452.5	240	916.967760758202
455	240	751.829314808819
457.5	240	1042.10600231303
460	240	796.144312766624
462.5	240	963.801409704266
465	240	1127.24290347378
467.5	240	1059.8436898818
470	240	688.465830060715
472.5	240	751.23526427258
475	240	815.11304557097
477.5	240	704.810110458176
480	240	883.127739063186
482.5	240	844.808793428698
485	240	1038.10534768213
487.5	240	764.548762130593
490	240	1007.24466185027
492.5	240	905.56472075921
495	240	994.286959402684
497.5	240	869.219707012717
500	240	827.358313310805
502.5	240	1106.82967245793
505	240	797.471350006829
507.5	240	734.788133756515
510	240	583.676099283039
512.5	240	886.670460360064
515	240	827.972913388006
517.5	240	899.579511871245
520	240	856.637445547277
522.5	240	645.646293821735
525	240	704.723728559685
527.5	240	701.718892999731
530	240	713.932563977312
532.5	240	861.483708022147
535	240	673.830786434994
537.5	240	714.8195186528
540	240	818.808499366553
542.5	240	871.210260486038
545	240	791.868899858992
547.5	240	589.985436007781
550	240	879.105964787
250	245	547.049265632688
252.5	245	457.030537713427
255	245	445.946286818366
257.5	245	372.270854642486
260	245	420.139384037304
262.5	245	484.738032225405
265	245	409.852021593596
267.5	245	444.778085221162
270	245	437.04719968215
272.5	245	522.565626751444
275	245	529.450914948872
277.5	245	382.451309256932
280	245	548.798215884905
282.5	245	559.352948072687
285	245	484.761078216374
287.5	245	472.997200896771
290	245	475.100100313743
292.5	245	605.879400636008
295	245	641.881859653806
297.5	245	627.34131071188
300	245	499.986618113283
302.5	245	713.479510218221
305	245	720.987749509618
307.5	245	622.348585392447
310	245	582.381657226563
312.5	245	697.855500127436
315	245	621.18902317705
317.5	245	754.102256150943
320	245	566.477146471118
322.5	245	575.71255222227
325	245	810.655093919398
327.5	245	592.052564920776
330	245	492.568565094431
332.5	245	741.281224815689
335	245	694.635159636302
337.5	245	647.184592097477
340	245	512.295598123599
342.5	245	594.200221200805
345	245	574.933164218382
347.5	245	765.628561430989
350	245	555.422208219808
352.5	245	620.341082140357
355	245	766.044044073124
357.5	245	538.90070350421
360	245	738.567476879179
362.5	245	628.30794906737
365	245	745.599859455693
367.5	245	585.937842755527
370	245	649.795225602445
372.5	245	804.582216682303
375	245	600.397047917057
377.5	245	658.039870094387
380	245	678.235382450528
382.5	245	722.142791091342
385	245	665.931782691616
387.5	245	616.797799578596
390	245	559.138823928035
392.5	245	639.580770763462
395	245	716.582498491115
397.5	245	722.686402797756
400	245	644.02300348104
402.5	245	649.245062376905
405	245	701.699743501854
407.5	245	595.246700090208
410	245	669.092379635084
412.5	245	602.560256817571
415	245	653.647333898526
417.5	245	636.262051950995
420	245	503.820293123944
422.5	245	593.161798571258
425	245	696.669082051234
427.5	245	655.389349095267
430	245	529.218457288065
432.5	245	620.588135781354
435	245	565.690724777523
437.5	245	750.165441165994
440	245	713.948996571588
442.5	245	602.831416149668
445	245	561.744335374474
447.5	245	566.737114828032
450	245	537.610706256338
452.5	245	465.041854177849
455	245	465.006159892371
457.5	245	547.849155894967
460	245	565.321363262858
462.5	245	573.89579375462
465	245	692.072633009458
467.5	245	649.654780743227
470	245	602.145182736574
472.5	245	465.004914931113
475	245	549.071795296569
477.5	245	592.14468327189
480	245	510.129163241792
482.5	245	599.022319037685
485	245	546.96425125022
487.5	245	420.654055854529
490	245	511.470731519816
492.5	245	511.188686665228
495	245	657.428001868786
497.5	245	420.881234611274
500	245	494.08504152036
502.5	245	500.272608498931
505	245	512.447476782772
507.5	245	439.477262913947
510	245	632.441651430884
512.5	245	520.954980197971
515	245	566.752596335888
517.5	245	596.088343930114
520	245	666.79948104069
522.5	245	464.361558948732
525	245	603.769907023024
527.5	245	577.269568073536
530	245	521.604964598161
532.5	245	564.932508447832
535	245	704.289285462484
537.5	245	577.711741363586
540	245	519.708376217678
542.5	245	601.103396423203
545	245	529.114884205765
547.5	245	529.935237395444
550	245	539.079143802327
250	250	602.090341301973
252.5	250	759.004895254709
255	250	643.472453648787
257.5	250	448.708994352775
260	250	380.231176836451
262.5	250	348.282999628317
265	250	305.205960089606
267.5	250	425.908874467564
270	250	905.396675192617
272.5	250	1495.81199314515
275	250	1825.12227341258
277.5	250	1533.48090969313
280	250	956.671779129705
282.5	250	507.577924256912
285	250	486.802743191145
287.5	250	559.915545918696
290	250	547.708447433941
292.5	250	526.210295296501
295	250	539.378715126513
297.5	250	555.120568307154
300	250	527.790267794169
302.5	250	638.413849950738
305	250	640.356762071933
307.5	250	502.507689523645
310	250	623.713276207321
312.5	250	544.404661986635
315	250	565.805608347953
317.5	250	688.112440429812
320	250	676.71191628652
322.5	250	601.11534664637
325	250	597.252123381657
327.5	250	553.262518616782
330	250	607.241881981402
332.5	250	613.762307665145
335	250	430.217729813449
337.5	250	681.052066968952
340	250	575.568968571585
342.5	250	605.188139090701
345	250	374.894718545085
347.5	250	559.710617495262
350	250	591.133780480722
352.5	250	492.826262806199
355	250	405.461629875971
357.5	250	571.815587324099
360	250	521.14976924481
362.5	250	561.011210015389
365	250	424.953829694689
367.5	250	610.715058639985
370	250	416.054611796428
372.5	250	373.309997819616
375	250	368.895645739415
377.5	250	515.726897066949
380	250	470.502950060463
382.5	250	447.909152943646
385	250	468.242992886057
387.5	250	412.348928307784
390	250	525.403591438536
392.5	250	498.019235823958
395	250	498.218732560107
397.5	250	539.949943707449
400	250	531.301100802748
402.5	250	399.112809703884
405	250	430.470870715138
407.5	250	479.298113628016
410	250	306.032223551199
412.5	250	451.595175814363
415	250	399.561712697891
417.5	250	417.33360019671
420	250	503.892676678674
422.5	250	326.918708311142
425	250	455.367171329291
427.5	250	386.838046684837
430	250	412.879898976515
432.5	250	406.841624166384
435	250	405.84692104141
437.5	250	402.700371131435
440	250	351.189030187915
442.5	250	448.88880143744
445	250	471.767748204714
447.5	250	339.727132641375
450	250	424.78516849055
452.5	250	485.569578354619
455	250	318.917542600421
457.5	250	385.739188250328
460	250	345.047235169189
462.5	250	308.202281905435
465	250	454.840498737993
467.5	250	391.488994730671
470	250	413.169954640044
472.5	250	436.007051648542
475	250	380.613085185062
477.5	250	413.126070291297
480	250	445.033340392878
482.5	250	350.174152643872
485	250	392.273355412997
487.5	250	400.153060575201
490	250	423.129549956028
492.5	250	300.18488171763
495	250	371.81031605774
497.5	250	368.259119152988
500	250	644.736312616553
502.5	250	1179.85291827041
505	250	1523.23281574025
507.5	250	1981.52585639479
510	250	1601.12976171523
512.5	250	822.314104305496
515	250	476.269431363608
517.5	250	459.85474119108
520	250	417.695412977484
522.5	250	452.705997508548
525	250	386.443036333593
527.5	250	404.727543964436
530	250	471.701574932184
532.5	250	361.81590193026
535	250	399.705479704739
537.5	250	344.829407696987
540	250	417.168148253889
542.5	250	673.179581975967
545	250	950.169400698932
547.5	250	1314.10324628895
550	250	1938.67564018222
250	255	1248.95638565842
252.5	255	2884.2924234858
255	255	3930.10238349986
257.5	255	3478.98255873186
260	255	1559.27280145524
262.5	255	507.924141976164
265	255	365.0721748949
267.5	255	346.186330890623
270	255	545.681104290985
272.5	255	1374.12239734019
275	255	3248.72190504283
277.5	255	5424.55113797567
280	255	6206.08724231551
282.5	255	4908.98098682789
285	255	2306.63221570472
287.5	255	1002.04323600827
290	255	654.865793791094
292.5	255	615.160995473864
295	255	726.084380855039
297.5	255	723.095285809194
300	255	791.097351470835
302.5	255	796.351546709596
305	255	860.079632967303
307.5	255	868.831260372951
310	255	965.1073010189
312.5	255	836.946327761195
315	255	973.549961493434
317.5	255	768.044063265529
320	255	776.134799908477
322.5	255	708.702931350573
325	255	702.365518094673
327.5	255	581.141650683994
330	255	705.76760397722
332.5	255	672.546113711282
335	255	522.875463072838
337.5	255	544.190946104787
340	255	632.060840705336
342.5	255	577.559677390597
345	255	485.966784891185
347.5	255	495.428604906343
350	255	447.98679783315
352.5	255	540.220102263934
355	255	484.462319854081
357.5	255	436.577165772165
360	255	466.24873533379
362.5	255	413.737146531037
365	255	448.944698944133
367.5	255	484.839172235854
370	255	498.495696508208
372.5	255	481.784478360222
375	255	487.769717173002
377.5	255	419.04742911846
380	255	350.076606399343
382.5	255	410.360731816211
385	255	419.719780330549
387.5	255	422.256925623676
390	255	400.483524499974
392.5	255	405.871296927324
395	255	391.357435197495
397.5	255	425.258422152201
400	255	423.679611822107
402.5	255	391.378735205523
405	255	410.897017938061
407.5	255	338.097062441483
410	255	392.784146504044
412.5	255	366.26768945458
415	255	420.620993718837
417.5	255	406.430594825678
420	255	340.258145727651
422.5	255	334.500320160809
425	255	410.234049407635
427.5	255	373.406204664053
430	255	371.71880135716
432.5	255	442.468981158748
435	255	364.624727730634
437.5	255	376.829912558317
440	255	372.04420356882
442.5	255	348.564380739681
445	255	289.821248129387
447.5	255	365.877288744452
450	255	348.429137000093
452.5	255	293.728575452876
455	255	329.925143744426
457.5	255	328.983238712
460	255	358.577768001939
462.5	255	338.630877607373
465	255	344.475173822039
467.5	255	263.187709345565
470	255	309.290419614076
472.5	255	316.013378630222
475	255	327.946279832597
477.5	255	340.089726430458
480	255	282.649938864921
482.5	255	319.290116008426
485	255	292.526091988938
487.5	255	327.490569937891
490	255	275.105102621846
492.5	255	293.570942017391
495	255	311.050698612789
497.5	255	268.389229945302
500	255	337.396124772658
502.5	255	737.570191854559
505	255	1952.45200439853
507.5	255	4355.33885032159
510	255	7333.32376158649
512.5	255	9096.93994917207
515	255	8983.47679268727
517.5	255	6108.39997601253
520	255	3314.71000059524
522.5	255	1150.9785121792
525	255	571.355484860776
527.5	255	450.648143886942
530	255	453.280313920462
532.5	255	366.316971069304
535	255	401.522226695484
537.5	255	410.234695729866
540	255	323.286703711455
542.5	255	374.841001884787
545	255	438.319043074919
547.5	255	779.254391863977
550	255	1216.83671181411
250	260	242.174996715971
252.5	260	1202.07999364742
255	260	3891.4342564657
257.5	260	8245.30278221734
260	260	9903.74445446181
262.5	260	7324.20124811666
265	260	3216.66555952664
267.5	260	867.066630497565
270	260	428.19827468177
272.5	260	415.608724683343
275	260	736.101708890179
277.5	260	2059.05342045434
280	260	5174.82327921174
282.5	260	9542.05877004
285	260	11632.2244774981
287.5	260	9375.62772080255
290	260	5156.63379606812
292.5	260	2219.4506766067
295	260	1040.91667075779
297.5	260	839.393438634827
300	260	822.342967200543
302.5	260	807.182226494169
305	260	925.884239292376
307.5	260	862.830342738114
310	260	881.850637184298
312.5	260	957.770005791008
315	260	824.667370793788
317.5	260	976.725455586206
320	260	850.899824873728
322.5	260	808.573896147235
325	260	730.18146932953
327.5	260	629.259530500143
330	260	653.071221786343
332.5	260	638.146075105283
335	260	640.747078989182
337.5	260	544.658180512238
340	260	547.645558156313
342.5	260	531.093872076023
345	260	520.035841292683
347.5	260	598.318220090738
350	260	561.67658058885
352.5	260	534.916541892695
355	260	490.476531358096
357.5	260	447.821439978034
360	260	468.438852389727
362.5	260	465.303448523088
365	260	485.160622841599
367.5	260	462.919189316845
370	260	364.158614335626
372.5	260	424.446838369952
375	260	393.112992670968
377.5	260	425.363128847904
380	260	365.34601616455
382.5	260	381.005615285195
385	260	319.988751613524
387.5	260	410.171574036163
390	260	385.719876801205
392.5	260	346.423410407228
395	260	405.915005635431
397.5	260	387.24319178314
400	260	358.280786887703
402.5	260	353.765909516233
405	260	347.751631641121
407.5	260	318.893052924709
410	260	344.258614310838
412.5	260	398.893802286253
415	260	331.029778676467
417.5	260	374.501760989244
420	260	371.68766165491
422.5	260	297.393148003624
425	260	381.170746384289
427.5	260	427.586193471715
430	260	270.852528093049
432.5	260	290.631660269917
435	260	314.173597117198
437.5	260	313.86286680786
440	260	294.299998705641
442.5	260	299.363679841437
445	260	309.141596836582
447.5	260	399.738856984919
450	260	339.738165019458
452.5	260	317.610056581275
455	260	265.016462813758
457.5	260	270.828604818631
460	260	341.801624270548
462.5	260	303.370145126554
465	260	300.914643354484
467.5	260	269.662876457732
470	260	260.815186571749
472.5	260	288.786085145651
475	260	261.177452190526
477.5	260	234.29673523455
480	260	310.935995656629
482.5	260	315.664236748606
485	260	242.325621905627
487.5	260	237.731008001712
490	260	251.94299831964
492.5	260	215.518638306098
495	260	248.32168765123
497.5	260	259.978544778198
500	260	241.538678637724
502.5	260	253.827937804607
505	260	227.48301154523
507.5	260	459.85773729685
510	260	1477.72117482157
512.5	260	3947.77628033048
515	260	8466.58784467898
517.5	260	14647.4937984763
520	260	18361.4972573521
522.5	260	18797.6065149819
525	260	15347.0481484555
527.5	260	10097.5535127054
530	260	5191.58713846985
532.5	260	1871.45436052176
535	260	727.181563083356
537.5	260	538.450200217343
540	260	471.639266922997
542.5	260	372.433176301206
545	260	419.310057327377
547.5	260	491.485322205975
550	260	345.825127788876
250	265	171.673870216033
252.5	265	156.940201347501
255	265	383.409863006145
257.5	265	2225.27421728807
260	265	7862.60120303605
262.5	265	15995.2994442177
265	265	19305.161197411
267.5	265	13752.2164304189
270	265	5861.94328318836
272.5	265	1411.33443911012
275	265	539.134271917845
277.5	265	550.429204718429
280	265	808.367228772969
282.5	265	1967.74104904232
285	265	6335.60292540204
287.5	265	12808.2142529
290	265	16913.1919209708
292.5	265	15436.4934756323
295	265	9608.37091511794
297.5	265	4299.63404328557
300	265	1774.70639113599
302.5	265	1001.18203537969
305	265	911.298107290932
307.5	265	835.302158173403
310	265	957.326622777582
312.5	265	719.401054524269
315	265	913.270837571672
317.5	265	791.550195665224
320	265	767.210220679946
322.5	265	794.682940008346
325	265	733.68558224155
327.5	265	667.026484559039
330	265	708.665748598713
332.5	265	586.737565003963
335	265	623.247949468733
337.5	265	591.882658778822
340	265	576.083288062653
342.5	265	503.128375517395
345	265	515.418517426813
347.5	265	580.296882664791
350	265	627.333808317694
352.5	265	512.264234910899
355	265	466.539220764627
357.5	265	456.059130536738
360	265	428.728093028497
362.5	265	437.416547397861
365	265	429.705936910698
367.5	265	395.267966340685
370	265	417.445433644256
372.5	265	426.964013328603
375	265	344.128069719733
377.5	265	409.669397305054
380	265	391.548916780195
382.5	265	469.396440829876
385	265	401.500713112345
387.5	265	371.271930325413
390	265	407.762299016154
392.5	265	355.626613547314
395	265	406.278009102708
397.5	265	360.799428695567
400	265	349.123102831565
402.5	265	333.559266256002
405	265	368.842152862476
407.5	265	264.159186962897
410	265	331.859787386543
412.5	265	366.947874087647
415	265	337.539658343818
417.5	265	270.98567715867
420	265	302.415942973253
422.5	265	297.466782504482
425	265	314.932435211402
427.5	265	330.016003169346
430	265	287.614001779928
432.5	265	272.428084588155
435	265	292.427845871297
437.5	265	323.731691418117
440	265	245.948727946828
442.5	265	293.981471681746
445	265	295.592830487235
447.5	265	246.506000784972
450	265	283.212064018247
452.5	265	260.725543405641
455	265	217.716398497508
457.5	265	317.304915172306
460	265	265.144894364752
462.5	265	298.064320947733
465	265	269.955288160345
467.5	265	220.255704685608
470	265	217.285752959042
472.5	265	244.137655715533
475	265	257.033134704713
477.5	265	279.74503810794
480	265	202.197949449779
482.5	265	245.848484744328
485	265	217.589201048211
487.5	265	208.800144038018
490	265	220.021737669756
492.5	265	211.629156562341
495	265	211.596213796488
497.5	265	224.926220115353
500	265	237.938944559454
502.5	265	251.860255928321
505	265	233.993605704177
507.5	265	306.26945913473
510	265	217.10631988422
512.5	265	258.203901220058
515	265	257.841328787712
517.5	265	914.716180500841
520	265	2879.86367156439
522.5	265	7548.83040776963
525	265	14478.2215901887
527.5	265	22581.264862569
530	265	28104.0672444052
532.5	265	28900.360322007
535	265	24263.0610237391
537.5	265	15971.3937160613
540	265	8098.75683873261
542.5	265	2878.52512006271
545	265	985.606346475326
547.5	265	607.78897170591
550	265	505.007866650575
250	270	170.723902874983
252.5	270	136.464256637495
255	270	160.017562107376
257.5	270	189.001928553695
260	270	540.769937419384
262.5	270	3489.29979401215
265	270	12973.1430205886
267.5	270	26409.20188182
270	270	32008.1149324865
272.5	270	23342.3633878912
275	270	9678.0400347782
277.5	270	2166.30772089542
280	270	670.767652043677
282.5	270	671.764724590688
285	270	847.45884223664
287.5	270	2026.86066044736
290	270	6261.77488342141
292.5	270	14028.3656466164
295	270	21102.8655798748
297.5	270	22706.4121365647
300	270	16445.0738786508
302.5	270	8428.50336877568
305	270	3347.35647294735
307.5	270	1600.01914047698
310	270	1222.17500137312
312.5	270	1126.25247948264
315	270	1044.15668561792
317.5	270	1005.36949678428
320	270	959.966157552479
322.5	270	815.105108886639
325	270	933.900642438193
327.5	270	888.329692319796
330	270	839.774758862262
332.5	270	901.623248626176
335	270	756.821007488788
337.5	270	688.131235123558
340	270	557.066790986587
342.5	270	640.65464682773
345	270	619.827416688465
347.5	270	534.895559149408
350	270	593.833843604316
352.5	270	530.298397681861
355	270	548.451388418868
357.5	270	495.112801641881
360	270	532.927570571241
362.5	270	443.650095204507
365	270	410.898980002735
367.5	270	460.964251165548
370	270	359.284393213814
372.5	270	462.91163216068
375	270	413.707451849109
377.5	270	460.944138800558
380	270	435.502337870271
382.5	270	361.438827794668
385	270	411.212557480744
387.5	270	402.234921263253
390	270	441.943600673812
392.5	270	369.349623653285
395	270	393.295079812993
397.5	270	371.177980835985
400	270	325.166104640939
402.5	270	364.143346747278
405	270	300.937896958715
407.5	270	314.821071018656
410	270	347.175346933792
412.5	270	370.880470288186
415	270	324.437619875033
417.5	270	324.533471675739
420	270	297.072911756523
422.5	270	296.953672812865
425	270	357.662562343196
427.5	270	327.474750081062
430	270	291.838593875578
432.5	270	257.646348073925
435	270	335.578907783401
437.5	270	353.261614901633
440	270	278.444780797099
442.5	270	309.376670265692
445	270	292.247701813475
447.5	270	267.917710591425
450	270	251.564989446492
452.5	270	265.009988695899
455	270	259.060807285052
457.5	270	315.911126136971
460	270	267.485794704171
462.5	270	300.494618784699
465	270	243.690918708963
467.5	270	284.834290404831
470	270	274.536760511062
472.5	270	199.999477740399
475	270	239.120242169331
477.5	270	208.533218914515
480	270	191.539916217411
482.5	270	193.278433040296
485	270	203.52735148396
487.5	270	246.721958171778
490	270	212.412231786611
492.5	270	224.501955553532
495	270	188.862371552393
497.5	270	208.241230624907
500	270	222.958891571
502.5	270	224.251505285499
505	270	215.428632520448
507.5	270	193.80375775606
510	270	164.663611423439
512.5	270	178.537332620992
515	270	206.21758418565
517.5	270	203.614776506554
520	270	222.565816510309
522.5	270	253.397021413982
525	270	266.316533920173
527.5	270	1004.84066342973
530	270	3751.39225537908
532.5	270	9951.75893109538
535	270	19315.9860484445
537.5	270	30439.7520647344
540	270	38213.3272992853
542.5	270	39410.2811554025
545	270	32439.6658877918
547.5	270	21621.876615173
550	270	11372.3065820201
250	275	133.824535052803
252.5	275	165.686973149369
255	275	170.017500437899
257.5	275	178.645736963582
260	275	135.880088617571
262.5	275	183.246012423451
265	275	537.31280995973
267.5	275	4470.19552489009
270	275	17744.4359208797
272.5	275	38589.7079240224
275	275	47479.5994388063
277.5	275	35586.9593174864
280	275	14676.8794209827
282.5	275	3169.02473587895
285	275	999.183122839718
287.5	275	950.736467699508
290	275	1124.7709455786
292.5	275	1896.80371457224
295	275	5118.98943603549
297.5	275	12326.8463917879
300	275	22337.3531671857
302.5	275	27431.3520197702
305	275	23636.5637499873
307.5	275	14831.6837953046
310	275	6696.09350789123
312.5	275	2908.39943086136
315	275	1672.73880528121
317.5	275	1298.2940283978
320	275	1218.94115041025
322.5	275	1142.99446927228
325	275	1163.94130080564
327.5	275	1095.31637229615
330	275	1000.84308368344
332.5	275	923.32456711857
335	275	957.057879042831
337.5	275	943.742557408517
340	275	868.044621125637
342.5	275	710.088782280088
345	275	684.6567667498
347.5	275	648.158342815318
350	275	671.423863060412
352.5	275	577.442714440904
355	275	551.754287892814
357.5	275	535.11546477778
360	275	574.796287201073
