EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	1011.79445449344
252.5	240	843.773692567259
255	240	768.665918307136
257.5	240	817.148344272668
260	240	1137.08306918453
262.5	240	961.609996807579
265	240	830.348086830133
267.5	240	800.896441605533
270	240	877.162440670127
272.5	240	1084.85463021526
275	240	945.834531584835
277.5	240	1087.57072358838
280	240	906.831678177603
282.5	240	824.008599315301
285	240	1024.28532011996
287.5	240	1328.30526742212
290	240	957.71269822031
292.5	240	1082.39841338407
295	240	1023.66029402424
297.5	240	1055.62889017633
300	240	1070.35233267675
302.5	240	956.800272927383
305	240	1039.77344917976
307.5	240	1242.45989855512
310	240	1127.5403474255
312.5	240	1238.69056489772
315	240	912.533562567373
317.5	240	1116.13965161899
320	240	922.81138562926
322.5	240	1308.43429709649
325	240	1185.21609434557
327.5	240	1240.39698533746
330	240	1254.2064576328
332.5	240	1070.08457386102
335	240	1263.26159651969
337.5	240	1082.42022440607
340	240	1065.63542376043
342.5	240	1166.60317897683
345	240	942.994627873025
347.5	240	1052.7024406008
350	240	1320.39648419756
352.5	240	1310.17805573805
355	240	1198.44201267551
357.5	240	1265.50491503427
360	240	1281.84150024374
362.5	240	1052.36752409537
365	240	1317.56017170166
367.5	240	881.526253936817
370	240	1192.28229206653
372.5	240	1133.56611591657
375	240	1105.16983986706
377.5	240	1067.13046842983
380	240	1192.51886235729
382.5	240	975.844412290952
385	240	1262.80782055262
387.5	240	989.25063779578
390	240	1208.94651791295
392.5	240	847.870295382996
395	240	1106.55519080266
397.5	240	975.012694081645
400	240	972.186114460904
402.5	240	991.759423921808
405	240	1167.65458730774
407.5	240	1113.02060061719
410	240	1306.54081236317
412.5	240	1277.47492482549
415	240	861.858406373494
417.5	240	828.841747079499
420	240	1181.74317107481
422.5	240	880.268757606497
425	240	895.497539785043
427.5	240	1271.87083294859
430	240	1069.87063985452
432.5	240	1133.54430859518
435	240	1360.17391325904
437.5	240	1129.19101431354
440	240	1133.80842089222
442.5	240	976.245497397712
445	240	1038.80760472722
447.5	240	1047.89627447901
450	240	1037.77360708387
452.5	240	1168.5227702404
455	240	1118.52234768544
457.5	240	998.603033993506
460	240	1098.4521331192
462.5	240	1138.05321737334
465	240	974.031960915503
467.5	240	791.285274595181
470	240	1041.01757974265
472.5	240	1152.66774034405
475	240	894.2891739743
477.5	240	829.423153896247
480	240	943.399348785262
482.5	240	1038.40502100542
485	240	878.415059772609
487.5	240	908.330382012419
490	240	975.103458671888
492.5	240	942.504270714341
495	240	890.697409555698
497.5	240	989.654532767196
500	240	865.110603671807
502.5	240	1008.33930212828
505	240	1161.07089833297
507.5	240	746.011071269786
510	240	780.501771588069
512.5	240	938.201055625443
515	240	999.866129954023
517.5	240	871.340686652038
520	240	1022.93534564392
522.5	240	1179.6105407901
525	240	857.427615335219
527.5	240	1151.27641083872
530	240	812.83433931582
532.5	240	937.083635007275
535	240	1122.41445092946
537.5	240	1089.13354540995
540	240	1037.95376333495
542.5	240	999.948833025383
545	240	1027.99872400136
547.5	240	1048.94230207346
550	240	1083.96747280766
250	245	568.169909643276
252.5	245	454.674981160727
255	245	470.652349461448
257.5	245	672.19101185055
260	245	483.377006352554
262.5	245	465.469387622907
265	245	490.421978105171
267.5	245	605.123852101858
270	245	466.407253651657
272.5	245	561.20592417845
275	245	518.546528291001
277.5	245	577.066758805941
280	245	570.541207288974
282.5	245	702.875748510475
285	245	555.893225886827
287.5	245	595.10247325179
290	245	607.274902538329
292.5	245	616.094658123232
295	245	601.946449820215
297.5	245	604.308547269548
300	245	712.796765730704
302.5	245	614.02349533243
305	245	594.224148528932
307.5	245	727.532431137453
310	245	721.30793501736
312.5	245	687.986879369888
315	245	712.834457660802
317.5	245	632.315268143955
320	245	766.030340677239
322.5	245	677.585473986655
325	245	756.714707016609
327.5	245	636.527765278956
330	245	777.48284085441
332.5	245	540.825064950443
335	245	804.78118281161
337.5	245	694.034831644538
340	245	815.325085778733
342.5	245	758.1290503102
345	245	855.201982417706
347.5	245	654.872137217648
350	245	662.084889444017
352.5	245	805.237704893615
355	245	607.054023263576
357.5	245	788.242101287354
360	245	712.28337964898
362.5	245	753.360815652413
365	245	804.981675736632
367.5	245	684.298781351952
370	245	803.604023675039
372.5	245	693.034454555565
375	245	758.938126787348
377.5	245	729.489419653637
380	245	784.442379137045
382.5	245	722.214535084323
385	245	608.345233098742
387.5	245	845.913221908074
390	245	663.11749520353
392.5	245	656.328862395769
395	245	722.641740199626
397.5	245	721.869330805099
400	245	652.706679766114
402.5	245	616.406562806921
405	245	664.844339639478
407.5	245	704.293789719238
410	245	635.072893589742
412.5	245	740.560677289476
415	245	800.368584098287
417.5	245	628.355335486179
420	245	538.819717132022
422.5	245	676.105185057778
425	245	692.166370852956
427.5	245	671.024848692947
430	245	537.819039588602
432.5	245	701.150631532426
435	245	568.258120245972
437.5	245	567.687683006349
440	245	718.82321300879
442.5	245	609.75410919884
445	245	675.641265393637
447.5	245	820.000147063214
450	245	735.516887202994
452.5	245	573.499144535852
455	245	618.30623969651
457.5	245	730.07625364908
460	245	516.481953228795
462.5	245	486.435044750284
465	245	588.446921989352
467.5	245	614.996370011081
470	245	530.693524208534
472.5	245	589.887169818515
475	245	580.604251688277
477.5	245	532.213841890131
480	245	708.902419521812
482.5	245	636.37500406383
485	245	522.696917971001
487.5	245	471.209738133406
490	245	616.305461645097
492.5	245	589.928300312216
495	245	512.703741229203
497.5	245	547.876328732656
500	245	538.531557257131
502.5	245	611.572234510145
505	245	541.321121407402
507.5	245	575.55857778538
510	245	637.23435185589
512.5	245	494.830279342811
515	245	549.935269346269
517.5	245	489.948549129362
520	245	484.203839567036
522.5	245	534.013670790966
525	245	627.02867740131
527.5	245	539.689662482315
530	245	504.323371856193
532.5	245	504.659171770555
535	245	491.877298913481
537.5	245	661.062387751017
540	245	563.107049245244
542.5	245	739.98166969911
545	245	620.613791941249
547.5	245	625.511039465217
550	245	684.676141820313
250	250	686.811157507371
252.5	250	678.890609764763
255	250	524.279885652112
257.5	250	394.546067841593
260	250	362.622560118049
262.5	250	499.520326013641
265	250	403.982893531586
267.5	250	426.495106223882
270	250	820.975538903465
272.5	250	1242.92203887577
275	250	1883.23919830421
277.5	250	1482.95476614135
280	250	996.241703530857
282.5	250	582.530014719674
285	250	460.197907957772
287.5	250	414.781842765068
290	250	476.506779722817
292.5	250	500.020727543539
295	250	458.375171452221
297.5	250	541.245918374316
300	250	691.588578083973
302.5	250	557.161166615178
305	250	617.774387941853
307.5	250	599.514639161787
310	250	603.531877030428
312.5	250	688.418763481494
315	250	627.438945082894
317.5	250	509.607025679548
320	250	564.608689897478
322.5	250	684.712411251447
325	250	613.505118843518
327.5	250	671.730638802872
330	250	501.531034615974
332.5	250	462.754331452643
335	250	644.404720000203
337.5	250	621.901885121712
340	250	619.175140589483
342.5	250	521.508024727277
345	250	477.245867702417
347.5	250	558.196796925617
350	250	430.119984726766
352.5	250	646.707744164551
355	250	686.748327773091
357.5	250	567.056669009816
360	250	614.595339999824
362.5	250	666.033079365776
365	250	604.62431741913
367.5	250	614.65021296543
370	250	443.049171284348
372.5	250	557.024947898051
375	250	597.975447462883
377.5	250	539.740871223851
380	250	489.548536189248
382.5	250	543.862213509721
385	250	553.484881505096
387.5	250	517.555321637989
390	250	450.370000168243
392.5	250	471.469353495939
395	250	478.831609220147
397.5	250	459.716124280864
400	250	439.275722444772
402.5	250	362.8816283108
405	250	589.095365817634
407.5	250	334.749447048117
410	250	503.968153797944
412.5	250	527.46196477935
415	250	455.192548705489
417.5	250	382.589057961119
420	250	408.297608756428
422.5	250	583.7308440687
425	250	467.045511119636
427.5	250	445.830066801454
430	250	651.398171360789
432.5	250	458.016579139014
435	250	443.140986900186
437.5	250	388.766334186737
440	250	369.270697101358
442.5	250	525.318007115825
445	250	432.485102656388
447.5	250	421.444576725046
450	250	545.714535353519
452.5	250	530.5427653944
455	250	577.742928550169
457.5	250	440.761541142056
460	250	413.454616680035
462.5	250	430.24896618914
465	250	405.780147025373
467.5	250	571.571661357608
470	250	444.755760996703
472.5	250	473.167634946884
475	250	468.683112474503
477.5	250	324.641435851022
480	250	488.067659689923
482.5	250	397.119896613112
485	250	376.266343769773
487.5	250	395.329417644901
490	250	317.930994903164
492.5	250	380.691304100246
495	250	370.61309725243
497.5	250	464.464864846835
500	250	539.234362870191
502.5	250	1082.66890802456
505	250	1474.65511864177
507.5	250	1775.28455288949
510	250	1452.80911600023
512.5	250	648.971026829285
515	250	414.591216445138
517.5	250	356.523839341599
520	250	386.284097169841
522.5	250	368.68228672797
525	250	261.726736800782
527.5	250	356.884068603667
530	250	418.185959389217
532.5	250	344.818949609831
535	250	440.09030023446
537.5	250	369.439206737079
540	250	488.158273226564
542.5	250	748.256701148306
545	250	1018.41502518854
547.5	250	1290.70407487355
550	250	1672.08634144115
250	255	1161.69485373643
252.5	255	2390.91669312455
255	255	3785.10576560803
257.5	255	3075.73473332849
260	255	1423.17467683567
262.5	255	545.726522532603
265	255	321.252474674282
267.5	255	300.815250594313
270	255	534.178886435191
272.5	255	1141.54834564577
275	255	2763.45726605185
277.5	255	5178.21889755945
280	255	6076.60361136878
282.5	255	4600.57497736177
285	255	2294.88296737834
287.5	255	1016.43087670601
290	255	711.673651123225
292.5	255	598.926892456825
295	255	609.586934719346
297.5	255	655.100930699894
300	255	750.54821833339
302.5	255	784.658813095313
305	255	880.556050868901
307.5	255	811.059674699583
310	255	886.709589460596
312.5	255	847.039046878126
315	255	850.046426405939
317.5	255	806.909878759942
320	255	742.164423474642
322.5	255	969.503134010238
325	255	877.17396025982
327.5	255	798.48621384796
330	255	650.98177242519
332.5	255	644.985849395883
335	255	569.904959341241
337.5	255	540.562096606128
340	255	558.560294146387
342.5	255	555.926923167193
345	255	576.905878260422
347.5	255	542.48480488512
350	255	528.781492726271
352.5	255	494.743394775024
355	255	574.093930415101
357.5	255	566.171078567897
360	255	480.501611237739
362.5	255	565.143696461639
365	255	503.676235173398
367.5	255	464.798200273516
370	255	452.240578356628
372.5	255	505.921147464735
375	255	494.88809630145
