EM wavelength	EX wavelength	S1
nm	nm	CPS
250	240	330
252.5	240	250
255	240	280
257.5	240	330
260	240	300
262.5	240	290
265	240	360
267.5	240	350
270	240	280
272.5	240	360
275	240	330
277.5	240	420
280	240	270
282.5	240	530
285	240	330
287.5	240	510
290	240	350
292.5	240	430
295	240	470
297.5	240	450
300	240	370
302.5	240	360
305	240	380
307.5	240	530
310	240	370
312.5	240	510
315	240	390
317.5	240	400
320	240	420
322.5	240	420
325	240	460
327.5	240	450
330	240	530
332.5	240	400
335	240	510
337.5	240	600
340	240	560
342.5	240	350
345	240	480
347.5	240	440
350	240	410
352.5	240	480
355	240	470
357.5	240	450
360	240	510
362.5	240	530
365	240	520
367.5	240	460
370	240	420
372.5	240	530
375	240	460
377.5	240	400
380	240	600
382.5	240	450
385	240	430
387.5	240	370
390	240	490
392.5	240	390
395	240	410
397.5	240	500
400	240	430
402.5	240	510
405	240	530
407.5	240	570
410	240	480
412.5	240	350
415	240	540
417.5	240	490
420	240	580
422.5	240	470
425	240	420
427.5	240	400
430	240	430
432.5	240	430
435	240	560
437.5	240	390
440	240	520
442.5	240	390
445	240	440
447.5	240	380
450	240	360
452.5	240	410
455	240	420
457.5	240	350
460	240	460
462.5	240	390
465	240	410
467.5	240	410
470	240	330
472.5	240	400
475	240	360
477.5	240	330
480	240	450
482.5	240	480
485	240	320
487.5	240	430
490	240	430
492.5	240	460
495	240	390
497.5	240	290
500	240	210
502.5	240	340
505	240	330
507.5	240	360
510	240	280
512.5	240	340
515	240	330
517.5	240	260
520	240	370
522.5	240	370
525	240	320
527.5	240	230
530	240	380
532.5	240	400
535	240	270
537.5	240	490
540	240	400
542.5	240	220
545	240	290
547.5	240	490
550	240	390
250	245	210
252.5	245	390
255	245	320
257.5	245	220
260	245	240
262.5	245	360
265	245	270
267.5	245	350
270	245	370
272.5	245	360
275	245	400
277.5	245	390
280	245	420
282.5	245	420
285	245	420
287.5	245	480
290	245	370
292.5	245	440
295	245	430
297.5	245	370
300	245	630
302.5	245	450
305	245	520
307.5	245	550
310	245	310
312.5	245	470
315	245	540
317.5	245	390
320	245	350
322.5	245	530
325	245	450
327.5	245	600
330	245	560
332.5	245	610
335	245	580
337.5	245	500
340	245	490
342.5	245	460
345	245	590
347.5	245	470
350	245	570
352.5	245	530
355	245	530
357.5	245	590
360	245	510
362.5	245	590
365	245	500
367.5	245	680
370	245	590
372.5	245	540
375	245	460
377.5	245	410
380	245	510
382.5	245	610
385	245	540
387.5	245	460
390	245	450
392.5	245	440
395	245	450
397.5	245	390
400	245	520
402.5	245	590
405	245	420
407.5	245	500
410	245	560
412.5	245	530
415	245	390
417.5	245	570
420	245	370
422.5	245	510
425	245	460
427.5	245	440
430	245	430
432.5	245	430
435	245	370
437.5	245	380
440	245	360
442.5	245	450
445	245	340
447.5	245	420
450	245	620
452.5	245	430
455	245	510
457.5	245	440
460	245	280
462.5	245	350
465	245	390
467.5	245	500
470	245	370
472.5	245	340
475	245	460
477.5	245	280
480	245	340
482.5	245	350
485	245	310
487.5	245	310
490	245	260
492.5	245	360
495	245	290
497.5	245	430
500	245	290
502.5	245	330
505	245	270
507.5	245	260
510	245	430
512.5	245	460
515	245	440
517.5	245	300
520	245	370
522.5	245	340
525	245	370
527.5	245	300
530	245	450
532.5	245	390
535	245	430
537.5	245	260
540	245	420
542.5	245	380
545	245	420
547.5	245	430
550	245	410
250	250	1180
252.5	250	1250
255	250	630
257.5	250	580
260	250	370
262.5	250	300
265	250	370
267.5	250	490
270	250	1030
272.5	250	2480
275	250	2650
277.5	250	2290
280	250	1390
282.5	250	670
285	250	460
287.5	250	580
290	250	480
292.5	250	600
295	250	660
297.5	250	760
300	250	780
302.5	250	770
305	250	680
307.5	250	760
310	250	820
312.5	250	750
315	250	780
317.5	250	670
320	250	650
322.5	250	840
325	250	830
327.5	250	720
330	250	760
332.5	250	740
335	250	680
337.5	250	630
340	250	560
342.5	250	700
345	250	700
347.5	250	580
350	250	690
352.5	250	680
355	250	790
357.5	250	580
360	250	740
362.5	250	670
365	250	620
367.5	250	660
370	250	590
372.5	250	590
375	250	650
377.5	250	590
380	250	680
382.5	250	630
385	250	510
387.5	250	550
390	250	500
392.5	250	530
395	250	570
397.5	250	570
400	250	560
402.5	250	620
405	250	650
407.5	250	570
410	250	550
412.5	250	530
415	250	470
417.5	250	700
420	250	520
422.5	250	430
425	250	590
427.5	250	500
430	250	540
432.5	250	450
435	250	430
437.5	250	480
440	250	470
442.5	250	460
445	250	520
447.5	250	360
450	250	370
452.5	250	590
455	250	500
457.5	250	470
460	250	470
462.5	250	380
465	250	470
467.5	250	410
470	250	450
472.5	250	400
475	250	450
477.5	250	560
480	250	370
482.5	250	320
485	250	380
487.5	250	450
490	250	370
492.5	250	310
495	250	450
497.5	250	380
500	250	740
502.5	250	1570
505	250	2480
507.5	250	2960
510	250	1920
512.5	250	970
515	250	340
517.5	250	320
520	250	420
522.5	250	410
525	250	320
527.5	250	400
530	250	320
532.5	250	500
535	250	500
537.5	250	510
540	250	490
542.5	250	700
545	250	1190
547.5	250	1910
550	250	2850
250	255	2350
252.5	255	6360
255	255	8170
257.5	255	6670
260	255	3120
262.5	255	1070
265	255	510
267.5	255	490
270	255	810
272.5	255	2480
275	255	6140
277.5	255	11210
280	255	13270
282.5	255	10020
285	255	5060
287.5	255	2010
290	255	1090
292.5	255	1310
295	255	1280
297.5	255	1290
300	255	1520
302.5	255	1740
305	255	1550
307.5	255	1800
310	255	1840
312.5	255	1980
315	255	1840
317.5	255	1670
320	255	1520
322.5	255	1650
325	255	1620
327.5	255	1530
330	255	1370
332.5	255	1400
335	255	1320
337.5	255	1140
340	255	1380
342.5	255	1200
345	255	1160
347.5	255	1220
350	255	970
352.5	255	1000
355	255	1090
357.5	255	950
360	255	1110
362.5	255	1070
365	255	920
367.5	255	960
370	255	1070
372.5	255	850
375	255	930
377.5	255	880
380	255	870
382.5	255	860
385	255	970
387.5	255	870
390	255	760
392.5	255	890
395	255	840
397.5	255	680
400	255	920
402.5	255	920
405	255	800
407.5	255	690
410	255	730
412.5	255	670
415	255	1020
417.5	255	920
420	255	700
422.5	255	740
425	255	710
427.5	255	630
430	255	850
432.5	255	680
435	255	600
437.5	255	870
440	255	750
442.5	255	620
445	255	630
447.5	255	650
450	255	730
452.5	255	670
455	255	600
457.5	255	550
460	255	540
462.5	255	530
465	255	600
467.5	255	680
470	255	600
472.5	255	420
475	255	620
477.5	255	600
480	255	410
482.5	255	540
485	255	510
487.5	255	500
490	255	450
492.5	255	500
495	255	520
497.5	255	500
500	255	580
502.5	255	1480
505	255	3780
507.5	255	9700
510	255	16100
512.5	255	19930
515	255	18770
517.5	255	13490
520	255	7240
522.5	255	2170
525	255	1120
527.5	255	640
530	255	710
532.5	255	530
535	255	600
537.5	255	610
540	255	470
542.5	255	650
545	255	970
547.5	255	1330
550	255	2560
250	260	570
252.5	260	3050
255	260	10850
257.5	260	21750
260	260	27400
262.5	260	20260
265	260	8670
267.5	260	2550
270	260	1130
272.5	260	940
275	260	1810
277.5	260	5300
280	260	14030
282.5	260	26850
285	260	32490
287.5	260	27420
290	260	15160
292.5	260	6180
295	260	2970
297.5	260	2320
300	260	2640
302.5	260	2430
305	260	2370
307.5	260	2760
310	260	2390
312.5	260	2660
315	260	2510
317.5	260	2500
320	260	2740
322.5	260	2460
325	260	2260
327.5	260	2380
330	260	2200
332.5	260	1910
335	260	1910
337.5	260	1690
340	260	1900
342.5	260	1910
345	260	1600
347.5	260	1650
350	260	1630
352.5	260	1500
355	260	1260
357.5	260	1560
360	260	1480
362.5	260	1250
365	260	1420
367.5	260	1190
370	260	1250
372.5	260	1600
375	260	1340
377.5	260	1240
380	260	1280
382.5	260	1150
385	260	1120
387.5	260	1110
390	260	970
392.5	260	1170
395	260	1110
397.5	260	1070
400	260	1020
402.5	260	1120
405	260	940
407.5	260	1110
410	260	1080
412.5	260	990
415	260	1020
417.5	260	1130
420	260	870
422.5	260	1060
425	260	810
427.5	260	880
430	260	840
432.5	260	1010
435	260	980
437.5	260	820
440	260	930
442.5	260	980
445	260	990
447.5	260	880
450	260	850
452.5	260	1000
455	260	920
457.5	260	980
460	260	870
462.5	260	880
465	260	800
467.5	260	640
470	260	820
472.5	260	650
475	260	580
477.5	260	710
480	260	770
482.5	260	770
485	260	600
487.5	260	750
490	260	550
492.5	260	570
495	260	600
497.5	260	640
500	260	490
502.5	260	670
505	260	550
507.5	260	1370
510	260	3500
512.5	260	11230
515	260	22500
517.5	260	38320
520	260	49900
522.5	260	53790
525	260	43060
527.5	260	29290
530	260	14670
532.5	260	5240
535	260	1660
537.5	260	1160
540	260	1050
542.5	260	1040
545	260	1030
547.5	260	1280
550	260	840
250	265	390
252.5	265	420
255	265	1050
257.5	265	7010
260	265	25350
262.5	265	52730
265	265	64300
267.5	265	47510
270	265	20350
272.5	265	4850
275	265	1830
277.5	265	1470
280	265	2610
282.5	265	7200
285	265	21720
287.5	265	43140
290	265	58890
292.5	265	54550
295	265	35180
297.5	265	16240
300	265	6820
302.5	265	4550
305	265	4680
307.5	265	3890
310	265	4020
312.5	265	3650
315	265	4070
317.5	265	3490
320	265	3790
322.5	265	3550
325	265	3520
327.5	265	3400
330	265	2940
332.5	265	2620
335	265	2690
337.5	265	2770
340	265	2620
342.5	265	2700
345	265	2020
347.5	265	1940
350	265	1910
352.5	265	2000
355	265	2050
357.5	265	1950
360	265	1910
362.5	265	1760
365	265	1630
367.5	265	1970
370	265	1690
372.5	265	1670
375	265	1770
377.5	265	1740
380	265	1640
382.5	265	1510
385	265	1530
387.5	265	1430
390	265	1300
392.5	265	1330
395	265	1400
397.5	265	1510
400	265	1400
402.5	265	1300
405	265	1290
407.5	265	1540
410	265	1350
412.5	265	1430
415	265	1220
417.5	265	1200
420	265	1400
422.5	265	1260
425	265	1260
427.5	265	1350
430	265	1510
432.5	265	1210
435	265	1420
437.5	265	1270
440	265	1090
442.5	265	1100
445	265	1020
447.5	265	1260
450	265	1140
452.5	265	900
455	265	940
457.5	265	1020
460	265	920
462.5	265	900
465	265	840
467.5	265	1080
470	265	900
472.5	265	930
475	265	780
477.5	265	780
480	265	660
482.5	265	710
485	265	680
487.5	265	820
490	265	690
492.5	265	740
495	265	580
497.5	265	680
500	265	810
502.5	265	580
505	265	790
507.5	265	830
510	265	620
512.5	265	550
515	265	720
517.5	265	2270
520	265	8710
522.5	265	24620
525	265	48290
527.5	265	75200
530	265	93310
532.5	265	98710
535	265	81040
537.5	265	54890
540	265	27700
542.5	265	9800
545	265	2930
547.5	265	1940
550	265	1880
250	270	490
252.5	270	450
255	270	440
257.5	270	630
260	270	1930
262.5	270	13240
265	270	49530
267.5	270	104330
270	270	132080
272.5	270	96260
275	270	39770
277.5	270	9540
280	270	2800
282.5	270	2870
285	270	3700
287.5	270	9030
290	270	24590
292.5	270	57690
295	270	87140
297.5	270	92450
300	270	68400
302.5	270	37610
305	270	16040
307.5	270	8790
310	270	6870
312.5	270	6380
315	270	6110
317.5	270	5740
320	270	5710
322.5	270	5540
325	270	5080
327.5	270	5120
330	270	4990
332.5	270	4640
335	270	4330
337.5	270	4100
340	270	3490
342.5	270	3660
345	270	3310
347.5	270	2990
350	270	3040
352.5	270	3120
355	270	2620
357.5	270	2790
360	270	2450
362.5	270	2570
365	270	2640
367.5	270	2420
370	270	2440
372.5	270	2280
375	270	2350
377.5	270	1750
380	270	2030
382.5	270	2150
385	270	1970
387.5	270	2050
390	270	2110
392.5	270	1890
395	270	1730
397.5	270	1940
400	270	1620
402.5	270	1800
405	270	1610
407.5	270	1800
410	270	1670
412.5	270	1570
415	270	1640
417.5	270	1580
420	270	1470
422.5	270	1720
425	270	1670
427.5	270	1610
430	270	1630
432.5	270	1540
435	270	1490
437.5	270	1570
440	270	1520
442.5	270	1400
445	270	1330
447.5	270	1360
450	270	1300
452.5	270	1460
455	270	1150
457.5	270	1130
460	270	1250
462.5	270	1150
465	270	1340
467.5	270	1150
470	270	990
472.5	270	970
475	270	890
477.5	270	1280
480	270	910
482.5	270	790
485	270	970
487.5	270	940
490	270	730
492.5	270	1030
495	270	780
