EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	530.078331471527
252.5	240	399.757413465562
255	240	448.824271480921
257.5	240	532.307956380101
260	240	482.224184662844
262.5	240	465.607743432781
265	240	578.013895392788
267.5	240	564.587283580526
270	240	449.280413493574
272.5	240	576.594516308773
275	240	529.669283377233
277.5	240	674.121572729826
280	240	432.964706729537
282.5	240	852.799122477891
285	240	531.970472397696
287.5	240	824.275913001179
290	240	565.498002709414
292.5	240	693.119399848094
295	240	756.834184649081
297.5	240	725.627451283182
300	240	596.207493890633
302.5	240	577.67811096728
305	240	611.839683190814
307.5	240	855.597778769363
310	240	595.582248619575
312.5	240	820.930990927238
315	240	627.749062950969
317.5	240	644.042729071196
320	240	670.709589246066
322.5	240	676.138687520971
325	240	742.545760000687
327.5	240	724.029493120212
330	240	850.150789595479
332.5	240	642.146848254196
335	240	827.004394976578
337.5	240	965.709772098365
340	240	897.67054846979
342.5	240	564.055990708947
345	240	777.438671701738
347.5	240	709.894367461621
350	240	657.581549004243
352.5	240	771.961645168835
355	240	758.876459630347
357.5	240	723.740618854584
360	240	820.542778889293
362.5	240	856.112071779725
365	240	836.738579781126
367.5	240	740.193313119267
370	240	677.662795017786
372.5	240	857.421897462362
375	240	743.898051462779
377.5	240	644.562820274683
380	240	968.408862491108
382.5	240	727.577510340344
385	240	694.154514840127
387.5	240	593.833033562496
390	240	790.456750261819
392.5	240	628.589130192258
395	240	660.130329041382
397.5	240	803.551464149816
400	240	689.53906428273
402.5	240	824.232442551009
405	240	854.965321452504
407.5	240	914.993684838396
410	240	772.811134755333
412.5	240	564.151127253977
415	240	867.34787986345
417.5	240	782.234944039485
420	240	929.919532598071
422.5	240	761.286886540271
425	240	677.098730140926
427.5	240	642.87209790604
430	240	691.754552173325
432.5	240	692.847947929775
435	240	900.120349663968
437.5	240	626.706170249761
440	240	839.626789958685
442.5	240	628.959025421425
445	240	705.02297502063
447.5	240	611.084814525647
450	240	579.290740068603
452.5	240	658.831330973062
455	240	668.511860802035
457.5	240	561.04875518869
460	240	741.35312229714
462.5	240	626.378713616523
465	240	657.250424519305
467.5	240	661.705177495704
470	240	529.27793368678
472.5	240	641.060972711845
475	240	578.551238203629
477.5	240	531.228158534126
480	240	724.7328383573
482.5	240	768.352837816904
485	240	515.261542714279
487.5	240	692.791001206177
490	240	691.672051719839
492.5	240	735.386792084864
495	240	626.338527947239
497.5	240	466.164405190041
500	240	337.28970333156
502.5	240	540.567483235743
505	240	531.097686147386
507.5	240	578.942523690503
510	240	450.037712271167
512.5	240	542.864134555622
515	240	532.511895715295
517.5	240	416.159579068168
520	240	588.877975525681
522.5	240	595.732285001362
525	240	515.243818075059
527.5	240	369.190639212914
530	240	609.768391554345
532.5	240	643.091854160814
535	240	437.045064087778
537.5	240	786.709491220669
540	240	644.56346808635
542.5	240	354.124335817336
545	240	466.633925414551
547.5	240	786.077557972494
550	240	625.192102489946
250	245	201.27178025057
252.5	245	375.083900104643
255	245	306.207601146044
257.5	245	208.914492016199
260	245	229.667928642734
262.5	245	347.618684140776
265	245	258.364915127806
267.5	245	332.870639576803
270	245	355.036038074828
272.5	245	346.048800584048
275	245	383.356224057843
277.5	245	373.318204094517
280	245	403.417538879853
282.5	245	405.690137176657
285	245	402.577763762376
287.5	245	460.407530092718
290	245	355.331037938482
292.5	245	422.868784223519
295	245	412.196416272216
297.5	245	356.309203168247
300	245	605.786922546266
302.5	245	433.172715914967
305	245	496.255897865368
307.5	245	525.426782969917
310	245	298.4771407219
312.5	245	449.640674469323
315	245	514.652806194659
317.5	245	373.38068644824
320	245	337.042125390636
322.5	245	508.499868812794
325	245	428.909353699428
327.5	245	574.922164619469
330	245	538.55291415406
332.5	245	587.556611828184
335	245	551.528387653045
337.5	245	480.795172178076
340	245	470.337921902673
342.5	245	441.679683866709
345	245	562.097904986637
347.5	245	449.931352586763
350	245	546.85634911318
352.5	245	507.487875441758
355	245	506.723660692369
357.5	245	567.133340311089
360	245	489.227967989223
362.5	245	565.853098666283
365	245	478.546764264523
367.5	245	654.556315038352
370	245	566.251024683892
372.5	245	514.02583147547
375	245	440.067385027827
377.5	245	394.224860189164
380	245	488.015380049102
382.5	245	583.112835504478
385	245	516.706348771243
387.5	245	441.529055646241
390	245	431.861301164037
392.5	245	421.914318245396
395	245	432.359052191702
397.5	245	374.347170272045
400	245	499.118345491657
402.5	245	566.308044028334
405	245	404.591544316973
407.5	245	479.739933283816
410	245	537.339642278563
412.5	245	504.321030023872
415	245	372.986046762236
417.5	245	544.830998256874
420	245	353.662279165156
422.5	245	483.801548207158
425	245	442.258231707669
427.5	245	421.893986758973
430	245	412.360473270584
432.5	245	409.85367271335
435	245	355.825046260595
437.5	245	365.301787691144
440	245	345.464518907909
442.5	245	430.602414608838
445	245	327.347736979144
447.5	245	402.805963845281
450	245	589.468381440869
452.5	245	411.09367659636
455	245	487.3188872004
457.5	245	420.819207962657
460	245	266.010055854939
462.5	245	335.938772241821
465	245	374.646388501381
467.5	245	479.266598349084
470	245	353.588088625407
472.5	245	325.881348007483
475	245	442.480353681898
477.5	245	267.678016509562
480	245	326.833339496797
482.5	245	337.134339291942
485	245	297.581449812141
487.5	245	295.742186116079
490	245	249.537677398024
492.5	245	345.943502286538
495	245	276.96695492105
497.5	245	411.425378445886
500	245	279.308403910379
502.5	245	317.270991400627
505	245	259.059326688826
507.5	245	250.444358650795
510	245	414.125337754411
512.5	245	441.83435244132
515	245	422.590935412265
517.5	245	288.321849614752
520	245	355.965034944817
522.5	245	326.169558618352
525	245	354.703790187244
527.5	245	288.857321218195
530	245	432.563760239541
532.5	245	374.002618887794
535	245	411.854209002674
537.5	245	250.57062197677
540	245	403.245726539546
542.5	245	365.206484204559
545	245	400.789112254311
547.5	245	411.688208149684
550	245	393.791426724265
250	250	760.585651123553
252.5	250	800.256437814264
255	250	405.552378079006
257.5	250	373.364971990521
260	250	239.208994727316
262.5	250	194.05247982395
265	250	238.989738659529
267.5	250	315.897345132553
270	250	662.372487748699
272.5	250	1597.37264312196
275	250	1707.89414010598
277.5	250	1469.30983087939
280	250	889.152767331277
282.5	250	430.124709607138
285	250	295.983031956087
287.5	250	372.789513409076
290	250	306.358162490986
292.5	250	383.644256451852
295	250	424.281480983085
297.5	250	488.776204475152
300	250	499.389754496739
302.5	250	493.141649984123
305	250	438.373816002877
307.5	250	488.122389547262
310	250	525.916278573309
312.5	250	480.285080543597
315	250	501.194523915434
317.5	250	429.203461292887
320	250	414.650794170599
322.5	250	539.553586144661
325	250	533.497828997541
327.5	250	460.84232198834
330	250	486.458591288915
332.5	250	476.14801646117
335	250	437.700317677488
337.5	250	404.613415420044
340	250	358.559257373685
342.5	250	451.043927941279
345	250	450.391614695155
347.5	250	372.928225319108
350	250	440.3040563547
352.5	250	438.324136298009
355	250	508.361528207712
357.5	250	371.984719126834
360	250	477.431486464277
362.5	250	434.425543724023
365	250	399.10624020871
367.5	250	423.414381684556
370	250	379.57160531672
372.5	250	381.105036781667
375	250	416.72981520322
377.5	250	377.474945845197
380	250	435.053221949211
382.5	250	406.610499664461
385	250	328.231564607575
387.5	250	352.048648499001
390	250	321.488542016421
392.5	250	341.602581831002
395	250	366.735192293155
397.5	250	366.637398295116
400	250	362.245111556843
402.5	250	400.916832479724
405	250	419.768249625415
407.5	250	366.488076909735
410	250	355.475407144395
412.5	250	342.802815301042
415	250	302.397018403812
417.5	250	448.244302813822
420	250	335.043468582987
422.5	250	277.611510573688
425	250	379.126803659706
427.5	250	322.219818240458
430	250	346.28571404008
432.5	250	289.150496396564
435	250	275.94031638159
437.5	250	308.209808166925
440	250	301.966763189195
442.5	250	295.838377267062
445	250	334.319657340042
447.5	250	230.752680810963
450	250	238.702241385545
452.5	250	379.08395523673
455	250	319.291094933796
457.5	250	301.617220342181
460	250	304.036274239148
462.5	250	244.628859054575
465	250	300.485891081645
467.5	250	263.700860316157
470	250	290.66840478192
472.5	250	257.339733068537
475	250	288.238379918311
477.5	250	362.769983778791
480	250	238.96975420167
482.5	250	205.679667883096
485	250	244.729796349727
487.5	250	290.213105023783
490	250	238.465968030331
492.5	250	197.635855577328
495	250	289.37200163147
497.5	250	245.639470244152
500	250	476.298404628763
502.5	250	1004.34159958059
505	250	1601.32348150858
507.5	250	1911.8064774964
510	250	1241.25436699522
512.5	250	621.723611444823
515	250	218.727575781428
517.5	250	205.933666988094
520	250	269.457134682011
522.5	250	263.975424003175
525	250	207.116239774997
527.5	250	256.843581960527
530	250	204.693562644358
532.5	250	321.185585348421
535	250	321.953408107875
537.5	250	327.418724116293
540	250	314.86668078755
542.5	250	450.973190513961
545	250	764.786832832601
547.5	250	1227.51881653142
550	250	1832.78465537135
250	255	1104.08303845115
252.5	255	2993.53352038573
255	255	3831.93475834066
257.5	255	3139.50978668337
260	255	1467.25312138673
262.5	255	505.062556481283
265	255	240.018205262609
267.5	255	230.228817985933
270	255	379.554963558838
272.5	255	1162.91243554054
275	255	2888.05063123577
277.5	255	5276.58225736608
280	255	6200.93109516299
282.5	255	4681.35361930593
285	255	2378.62674912701
287.5	255	943.574649577097
290	255	510.970938730039
292.5	255	618.56920044492
295	255	600.632702271988
297.5	255	601.894906169487
300	255	706.1110767426
302.5	255	812.50443780611
305	255	719.84663548879
307.5	255	831.205419466772
310	255	854.084882545138
312.5	255	924.343018760328
315	255	857.016919305162
317.5	255	775.693433704545
320	255	707.607371994402
322.5	255	770.227745695091
325	255	750.971183689642
327.5	255	706.38150528189
330	255	633.908397753992
332.5	255	649.359610376659
335	255	613.271097840385
337.5	255	529.018829438364
340	255	643.078724633983
342.5	255	558.314288292208
345	255	537.798386932642
347.5	255	567.056394314906
350	255	452.418029116823
352.5	255	466.167233642217
355	255	505.762726258457
357.5	255	442.764026598622
360	255	518.926808449544
362.5	255	499.602788071178
365	255	428.642501613133
367.5	255	446.333573550985
370	255	498.951300137673
372.5	255	396.806065624568
375	255	434.018849953439
377.5	255	407.731038718912
380	255	405.506987454821
382.5	255	401.855761099802
385	255	452.02940684008
387.5	255	404.785428714228
390	255	355.042196073302
392.5	255	415.543640328621
395	255	393.239153714151
397.5	255	315.571699179469
400	255	428.211123287513
402.5	255	429.334473406598
405	255	372.953634723229
407.5	255	322.239536383261
410	255	340.577614974239
412.5	255	312.153719093424
415	255	473.764079644535
417.5	255	430.849748894541
420	255	328.005804645793
422.5	255	346.730962745151
425	255	328.891095378899
427.5	255	293.170003262058
430	255	398.011058420498
432.5	255	316.936676202206
435	255	278.025022803917
437.5	255	406.528472978827
440	255	350.242288352932
442.5	255	289.716640904892
445	255	294.416879938392
447.5	255	303.686248831065
450	255	342.103665792794
452.5	255	314.32201609949
455	255	278.784462235923
457.5	255	257.183723373166
460	255	252.026983503275
462.5	255	248.471080181352
465	255	279.336319976893
467.5	255	317.972415986142
470	255	279.954005463767
472.5	255	194.928379564029
475	255	289.320597482234
477.5	255	280.883852892004
480	255	191.969808760057
482.5	255	250.497856950147
485	255	238.695365946827
487.5	255	234.408129467365
490	255	210.913716910075
492.5	255	231.644512996652
495	255	243.490615988503
497.5	255	233.324095548562
500	255	271.445371317392
502.5	255	689.096519490938
505	255	1770.07146077893
507.5	255	4536.82191473095
510	255	7491.93669868967
512.5	255	9243.81533357087
515	255	8821.83905307535
517.5	255	6303.14020099875
520	255	3367.05679340395
522.5	255	1013.39361422152
525	255	524.90581647767
527.5	255	298.89694996868
530	255	331.120294867412
532.5	255	247.713855831072
535	255	280.492404330652
537.5	255	284.483174324518
540	255	218.603068530635
542.5	255	303.531731536694
545	255	453.580956721761
547.5	255	622.45157826886
550	255	1190.7486286658
250	260	206.831645869376
252.5	260	1115.65069898235
255	260	3966.70856107285
257.5	260	7947.742640509
260	260	9959.40592009143
262.5	260	7393.48957644944
265	260	3171.68623840709
267.5	260	933.853175693853
270	260	412.076029881499
272.5	260	343.835059088368
275	260	662.414731375638
277.5	260	1936.82933606249
280	260	5100.01534552254
282.5	260	9776.01192140018
285	260	11826.429432382
287.5	260	9969.14348155894
290	260	5491.12440402643
292.5	260	2253.45144441866
295	260	1082.51026636281
297.5	260	841.975465838486
300	260	959.022722594584
302.5	260	879.671946142599
305	260	861.565043505024
307.5	260	1001.36562773379
310	260	868.748861844667
312.5	260	968.37922984622
315	260	913.083249184821
317.5	260	906.296398003279
320	260	995.704194451895
322.5	260	895.161481481314
325	260	819.015651297201
327.5	260	862.624830764325
330	260	799.081362792029
332.5	260	692.905298530362
335	260	692.709544035155
337.5	260	611.491691068071
340	260	691.276287279028
342.5	260	694.249919477896
345	260	580.537661159483
347.5	260	594.393331855184
350	260	590.974533711467
352.5	260	546.283410990743
355	260	457.351198069898
357.5	260	564.757738800989
360	260	537.464945255075
362.5	260	453.55471794132
365	260	514.87990552685
367.5	260	429.51054211908
370	260	455.748405569948
372.5	260	582.98046152636
375	260	485.579883638453
377.5	260	448.179072785048
380	260	472.974219635976
382.5	260	418.375093546324
385	260	407.570750236946
387.5	260	403.277654299955
390	260	353.1225546646
392.5	260	425.267797034678
395	260	398.82322178044
397.5	260	388.185837135752
400	260	370.733030554377
402.5	260	408.120727432964
405	260	340.724096459206
407.5	260	402.979107713175
410	260	392.664902424981
412.5	260	359.205718952893
415	260	365.138784346435
417.5	260	409.624806329675
420	260	314.802586809095
422.5	260	384.595341147204
425	260	292.939600268815
427.5	260	319.829739063027
430	260	304.171762196531
432.5	260	363.42966195192
435	260	354.832285151748
437.5	260	298.911395707641
440	260	336.838038633158
442.5	260	352.822508233247
445	260	358.283209088636
447.5	260	320.173818596147
450	260	308.08538019405
452.5	260	360.887337082446
455	260	334.342795017855
457.5	260	356.279960254538
460	260	315.490988443681
462.5	260	318.894273436959
465	260	289.848613035212
467.5	260	231.656969190541
470	260	295.821059517503
472.5	260	235.338276606957
475	260	211.168850815844
477.5	260	257.582144758306
480	260	277.651570061696
482.5	260	280.792302158981
485	260	218.600791080683
487.5	260	272.608851892743
490	260	198.642294317791
492.5	260	206.792148146804
495	260	217.305071616896
497.5	260	232.526373850275
500	260	176.087962698686
502.5	260	243.031648054625
505	260	199.410699255184
507.5	260	495.245871206499
510	260	1269.98256252346
512.5	260	4051.96927026916
515	260	8136.88716882405
517.5	260	13787.1239287036
520	260	18160.0979266928
522.5	260	19523.8247437707
525	260	15623.5994424622
527.5	260	10518.3704708011
530	260	5349.11098059534
532.5	260	1896.84194601685
535	260	601.541618738008
537.5	260	421.330219210413
540	260	382.700193557465
542.5	260	376.735990572981
545	260	371.095464566653
547.5	260	463.278974326554
550	260	305.87626666027
250	265	115.76947639232
252.5	265	124.291015491171
255	265	307.758769970507
257.5	265	2071.55957256436
260	265	7529.8804953538
262.5	265	15581.1856614407
265	265	18896.8805133181
267.5	265	14053.7542248123
270	265	5990.44149906338
272.5	265	1425.9595481401
275	265	534.962060475088
277.5	265	434.665381427613
280	265	774.191535688804
282.5	265	2140.02863507535
285	265	6361.07195656074
287.5	265	12763.9075541142
290	265	17421.6855530776
292.5	265	16115.1192095877
295	265	10294.004418743
297.5	265	4800.99026122063
300	265	2015.33377618905
302.5	265	1338.74353995088
305	265	1369.80641349122
307.5	265	1149.60866227109
310	265	1189.89530267612
312.5	265	1076.03349106545
315	265	1191.71270132178
317.5	265	1033.63121203242
320	265	1125.2446511258
322.5	265	1048.82177358894
325	265	1033.20018341893
327.5	265	1008.50857652883
330	265	872.275859571658
332.5	265	776.641749982246
335	265	790.883117842876
337.5	265	823.307231617033
340	265	778.877661767786
342.5	265	801.374304592371
345	265	597.12172530844
347.5	265	574.984765057427
350	265	567.805390170195
352.5	265	594.307087304512
355	265	603.404714673099
357.5	265	576.599324069006
360	265	565.483277030308
362.5	265	521.039576697537
365	265	480.930045391202
367.5	265	582.605263557823
370	265	499.055097774162
372.5	265	491.237545402602
375	265	523.572125180324
377.5	265	516.614978084966
380	265	483.526802915876
382.5	265	442.492646346534
385	265	450.834575520306
387.5	265	423.356295077565
390	265	383.941207521629
392.5	265	392.385008770353
395	265	413.976921880379
397.5	265	449.001066647931
400	265	414.638919135998
402.5	265	383.409890909563
405	265	382.835007847676
407.5	265	457.920259871797
410	265	400.119689345024
412.5	265	422.466390521469
415	265	362.499780652332
417.5	265	356.282854613402
420	265	415.093974671476
422.5	265	369.992472266446
425	265	374.816703346007
427.5	265	399.29596904495
430	265	445.982065276754
432.5	265	357.517053486933
435	265	422.015061043206
437.5	265	375.947729348821
440	265	321.467403035794
442.5	265	325.518002102098
445	265	302.640814345347
447.5	265	371.799654128224
450	265	335.472311366333
452.5	265	266.490688917098
455	265	278.98110708653
457.5	265	301.750910549434
460	265	271.313681267069
462.5	265	267.30004393599
465	265	248.796055068571
467.5	265	320.431431020657
470	265	265.485189697981
472.5	265	276.501291007842
475	265	231.879274217333
477.5	265	231.584250508389
480	265	194.915848379065
482.5	265	211.631603300562
485	265	200.933758970129
487.5	265	241.28111430731
490	265	203.594565860474
492.5	265	219.630677543671
495	265	171.645448116463
497.5	265	201.054308919737
500	265	239.628503593998
502.5	265	172.382971738454
505	265	234.387656596307
507.5	265	244.434383922218
510	265	184.308772347902
512.5	265	163.584797381299
515	265	212.580800189774
517.5	265	665.104047347598
520	265	2586.61594245275
522.5	265	7310.72873574396
525	265	14328.2404967999
527.5	265	22124.2058757104
530	265	27761.8862281627
532.5	265	29259.9801373692
535	265	23995.0588286801
537.5	265	16192.4559641538
540	265	8203.34894558339
542.5	265	2900.60855057402
545	265	866.756382858297
547.5	265	574.479929118335
550	265	559.362258428709
250	270	121.675844076274
252.5	270	111.815088776772
255	270	108.783223123131
257.5	270	156.187937565209
260	270	479.422822908652
262.5	270	3278.21578351291
265	270	12199.4479851092
267.5	270	25862.2492544097
270	270	32769.2452603525
272.5	270	23842.7363918636
275	270	9749.57962787855
277.5	270	2364.76643937425
280	270	694.398281027611
282.5	270	707.736702902847
285	270	914.357737481594
287.5	270	2245.18335476841
290	270	6114.35664813579
292.5	270	14334.3720952687
295	270	21471.5395028411
297.5	270	22898.7204901519
300	270	16869.9321912409
302.5	270	9274.40922872281
305	270	3962.85149191121
307.5	270	2181.50430436282
310	270	1705.48730953144
312.5	270	1578.66297446315
315	270	1508.97133250969
317.5	270	1429.90062955849
320	270	1417.24135068156
322.5	270	1367.0527360661
325	270	1261.78337273235
327.5	270	1274.3067918917
330	270	1240.77078275686
332.5	270	1143.94782290763
335	270	1075.30211120159
337.5	270	1016.28205169648
340	270	867.108692573219
342.5	270	904.669633286299
345	270	823.843707341564
347.5	270	743.955489008316
350	270	753.589338615396
352.5	270	769.343345199321
355	270	650.494086512944
357.5	270	694.252957151019
360	270	608.791288871879
362.5	270	636.351697720012
365	270	657.723175161205
367.5	270	602.973174308794
370	270	608.195205321143
372.5	270	561.700014413867
375	270	585.017311337157
377.5	270	435.653837076928
380	270	504.607011682885
382.5	270	529.385891326118
385	270	489.664134033292
387.5	270	509.304533519725
390	270	524.145266162057
392.5	270	467.772424388642
395	270	430.289417818809
397.5	270	479.778216757118
400	270	403.372743855491
402.5	270	447.99828246337
405	270	400.153707353911
407.5	270	446.084358885963
410	270	413.690622770614
412.5	270	389.665513990317
415	270	406.063321291496
417.5	270	390.51663803457
420	270	360.664215051139
422.5	270	427.548076433364
425	270	415.332704728355
427.5	270	400.403838002827
430	270	400.75520715862
432.5	270	382.099732970799
435	270	369.891756571823
437.5	270	389.826263454137
440	270	376.04773511188
442.5	270	347.740168846207
445	270	330.257877910995
447.5	270	336.381368340678
450	270	322.95743173918
452.5	270	363.649214137016
455	270	287.16627783467
457.5	270	281.066503145669
460	270	312.002491648629
462.5	270	285.852819038249
465	270	334.679698854941
467.5	270	284.139546008448
470	270	244.771749211887
472.5	270	240.781496112742
475	270	220.859379811367
477.5	270	314.783328127202
480	270	225.015047271931
482.5	270	196.515222771467
485	270	241.113172757774
487.5	270	232.808743410015
490	270	181.302047610145
492.5	270	254.838731402398
495	270	192.566104385838
497.5	270	156.901979860255
500	270	178.330852248004
502.5	270	178.323174712921
505	270	180.861225479723
507.5	270	173.820648679168
510	270	178.861236326699
512.5	270	173.668117115861
515	270	176.379248094908
517.5	270	169.448838334155
520	270	166.540161815108
522.5	270	199.366811103418
525	270	278.187829109529
527.5	270	921.069748820401
530	270	3671.08788489226
532.5	270	9392.16027610839
535	270	18664.0465777277
537.5	270	29706.8522188237
540	270	38216.5614818522
542.5	270	38785.4222075977
545	270	32379.9259704738
547.5	270	21794.9765113304
550	270	11801.3062344184
250	275	88.4848984610382
252.5	275	96.4469578920319
255	275	123.545295460379
257.5	275	111.664871004089
260	275	101.253496091551
262.5	275	154.850376851635
265	275	470.612973217713
267.5	275	4383.08996638511
270	275	17444.4838569935
272.5	275	37912.6559114149
275	275	47614.196956249
277.5	275	34782.5460923412
280	275	14853.163638311
282.5	275	3223.03331611612
285	275	1146.31214776199
287.5	275	1147.5558233666
290	275	1334.29133486327
292.5	275	2060.86698536911
295	275	5375.54200204647
297.5	275	13080.9316836837
300	275	22774.0589685743
302.5	275	28293.3000434967
305	275	24154.8647617071
307.5	275	15861.3856856196
310	275	7462.06895309092
312.5	275	3510.75167111669
