Wavelength	S1
nm	CPS
365	15150
366	14440
367	13530
368	14200
369	14820
370	13850
371	14050
372	13490
373	13480
374	12120
375	11770
376	11240
377	11090
378	10410
379	10280
380	9960
381	9290
382	10410
383	11290
384	14410
385	21280
386	30660
387	48670
388	70730
389	105170
390	148760
391	193220
392	251880
393	303840
394	353820
395	387670
396	409360
397	411690
398	386470
399	358010
400	312140
401	256750
402	203600
403	154040
404	112010
405	77170
406	52860
407	36210
408	25760
409	19570
410	15530
411	13440
412	12110
413	10410
414	9440
415	9020
416	8380
417	7880
418	7100
419	6840
420	6740
421	6180
422	5890
423	6450
424	6000
425	6390
426	6240
427	5820
428	6820
429	6220
430	6010
431	5940
432	5480
433	5860
434	5780
435	5910
436	5970
437	5390
438	5340
439	5610
440	5810
441	5310
442	4880
443	4890
444	5200
445	4970
446	5130
447	4860
448	4630
449	5000
450	5020
