Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	996.599817531074	524.306190950411	914.61215773755	1276.39892319161	283.389172866712	170.058099123025	174.822093368702	155.373685270124	143.154648432416	117.304194415703	94.7731494417501	99.3277278574043	86.0893105451809	71.7984686242688	69.773949744664	68.3777588105164	67.924008639749	66.5364575916051	55.3195600518993	56.1238925809729	68.3142212400158	62.6517682115513	48.3884540165594	52.1591887684732	48.6353698591787	53.1931893581129	57.2833510287126	52.6621566774384	37.6860232834456	37.7305649372591	36.6263029709719	32.1371896722928	31.8385807747611	36.0580119955441	29.7182863606961	27.0155909090276	25.2762068996346	24.2212781958935	28.6255281047622	22.4144630551051	27.639221660289	23.1349483719461	21.2754127880795
252.5	787.301288143904	520.933074799666	794.948960281292	2688.13006439801	1228.27786468853	199.542953490582	166.265360152226	143.556430964799	130.175172553235	142.2244340654	100.529337323069	110.22770444488	85.8010276647127	83.4219282132347	54.4624209366219	66.0585516545908	63.4538633615777	66.7664971274086	62.6751608593556	64.523042895067	57.1862705573707	62.4975593961541	48.2424427930897	48.2281020019867	52.8642672129942	45.9624099749194	54.4411981770192	52.0805724976217	38.2120293107145	32.89223391102	38.0511730454598	35.5017078187498	30.7149882530872	25.8842316167118	27.6926273770708	23.5755620740761	26.2891875882252	19.4162890056169	23.1929575458467	22.2684922601021	28.0435814046338	21.6679405387443	20.6641078669158
255	902.638965633532	545.177133520999	669.263365558764	4272.20877132845	4143.69631692456	403.874037982869	160.591522166591	141.208609098075	130.79129222866	120.822853606132	119.109229433972	97.2909116711391	78.0735765959033	76.6117888897091	74.538472128566	61.0658975097238	66.101055571706	63.0203883467528	71.4329981346797	57.6725154269269	55.06651132399	60.7236817642447	56.8243372876573	54.0999058642086	55.259222571039	48.8434454791766	49.9325662773671	45.1811181000604	44.1568359147191	37.7689118567831	40.1315870043799	30.9376076016867	30.1658714371182	30.9968274833732	31.2412066711214	27.3296738089162	28.9980201739608	27.2005887054858	28.7536043025632	27.798320679918	19.4054985333214	26.6143261341812	19.9838517964204
257.5	799.988872471926	545.532097702015	516.98275830863	3220.67942411475	8396.60917982749	2316.00856085751	158.968853601724	144.28017520899	136.80548597051	120.694445580687	124.744661331238	87.6983563105061	90.5798644795239	77.1570819710325	71.8290910885732	51.5133386317903	59.3419130496109	61.9894932829228	64.7212509184451	57.3848227561333	55.5556450286772	56.9099024849486	57.4351841064506	58.2108551736898	56.0740934177862	51.5360704608909	45.9245594221639	40.0112273165483	34.570235279722	38.1226884617242	35.3836367662987	32.5818058906118	35.4496264033122	31.4531302512331	29.340806680471	29.4814860094435	28.9562559886554	29.8739983660995	21.7705230669038	26.313865877162	22.5605399521917	26.6489915852742	26.5740647365518
260	814.423703484572	621.873946831929	279.01723277678	1732.6378674024	10080.9652555534	7810.09956629287	550.090850759217	157.081718695077	150.081409174122	122.016969808921	108.673198263635	98.3337532237396	74.0073932525061	77.660670572945	62.3076616965	77.9141695920256	67.3175277052508	63.2878687107294	65.134334377993	45.3753861239418	56.0294579439906	62.6609259607843	49.6326099533355	61.6540414785693	49.9537223113081	45.6381974604156	54.7335758112485	49.6030591633433	42.7021334227961	28.9268626474157	29.501797810245	31.2379373092114	31.9050755807446	28.619670621775	30.7484589435918	27.0245160499388	30.6763043174871	32.1650122247418	25.7333078298835	20.4297418700374	28.7911840590825	23.8715922776271	19.3928108151594
262.5	721.459252722123	455.985185430394	403.409008275167	589.607729672256	7293.57114121023	15910.4662418388	3447.13839165198	158.141359926262	135.19683873855	111.169721722588	102.302849674911	107.949960177548	75.246975921471	83.9760251965442	85.373384224494	61.4013120302921	58.759004004217	61.6495800082962	62.375567597707	54.815050122608	56.1601587576696	61.1991006369751	55.740310738576	53.4668427463914	58.2653246147631	46.3809464298629	46.0238011324393	41.8522208696816	39.3875348034279	35.2542908961112	39.4201724904146	29.0854500811993	36.1557940560719	30.7565487668329	23.3788118261773	27.5955485736341	28.1866324265221	33.1827871358901	29.6520495017452	27.301770054379	20.7783574875323	19.9970767989856	17.4136007740802
265	818.852693152157	486.974902296478	389.354394007971	317.697131110479	3031.94495368553	19103.7539679215	13313.3544455002	602.04270072431	144.982125755119	140.305419975545	107.435833545305	99.3854860308174	96.5136050212312	81.4071014919526	75.0711926990389	65.7889302268783	68.4624330166184	62.266138386402	53.5376274877231	66.1362198339399	65.167181168202	69.0550677287419	45.2248419423907	42.0087360353519	44.5170947046336	50.0380943444471	46.4029455334097	49.7626936299462	34.2166541709628	48.7635570206338	33.5467644756824	32.9369663546937	31.8128065070101	31.7430063253054	33.1443789672511	28.840753714286	29.3620160143371	25.7282378923284	19.946639457612	31.2845265194194	26.4231319706582	21.1325271389693	21.5169445573335
267.5	1089.27121421806	555.248028968865	419.810860232534	334.488541743057	933.449545637107	13793.9476725965	27092.6803258104	4768.04341475892	191.075690996486	138.395292115132	133.131516419694	101.463644720865	114.749165049834	81.5737960241753	96.0456795664514	81.6090751635832	71.1640724717299	71.9344378467109	55.8599215849408	63.3180732672314	48.508452312326	58.1147523320237	59.1625822644556	50.4947002676893	58.6679966932594	42.2863900307516	35.8849306654532	38.9724044938659	36.5474153126213	39.124979238325	44.6131958794226	31.2746172291689	28.1178455687477	32.9488686088389	31.3081838199771	34.2452843199019	32.0405623828186	23.1196457883492	24.8662458438767	26.4085565677231	23.3237240199847	19.1056207545954	19.498381019659
