Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	775.622976320368	485.042156247154	590.906861201985	1039.5404175864	302.082783473718	190.026473515798	166.917805988555	151.533533220294	142.506966526866	109.751795506701	117.093461428199	85.2127482912146	69.8130125566895	73.7648700225586	69.3696021560412	70.7512979103874	59.7394242603004	71.5399585827352	66.5886408882776	72.7583851409548	54.6762941279358	48.9398543612013	48.2316181279804	51.9980735579087	51.6123439360598	49.4263920080886	46.125950253049	49.8440877458306	44.6526380764083	33.374294109091	36.7544670807036	27.3669847185713	26.9081248518058	24.484580010225	30.0947461810921	27.9685541398132	21.2597212540528	29.4367763048844	21.3850285841254	19.9481325110133	22.581920415819	26.8442516636969	20.6424708732173
252.5	823.757427159537	587.895983633211	675.235423165561	2553.87609334662	1054.06165735753	207.685382566772	190.535020381766	127.112144208871	168.137544969688	116.776639941037	112.595044350524	92.4430320158402	86.3158378729902	85.4262395445806	87.0353280525949	64.387926038533	61.9972142666843	63.2913571844531	71.2429896963777	50.4189386990931	67.7530801980465	47.8071879969895	60.4432267220926	46.1645767658431	59.6459171683324	46.1416618897333	56.8935113774209	50.8807354783541	39.6710343944695	33.7050257851909	29.3832794752559	36.0127809192026	29.6809884227693	29.0450993831305	28.6291879820169	22.5299495994261	27.9801433169125	23.9084016093593	24.6050738047489	24.2009416127024	23.8745617902782	21.1177468859806	23.5505441723901
255	1012.09036120487	547.098621579768	592.834892846618	3422.5386668544	3528.25493418651	355.005143137059	179.919104838673	138.695937004237	115.730553623625	110.69451130947	77.3856515707133	102.233651686225	84.2837693137093	74.8000251207118	75.7852524342837	67.937622346595	67.0961365839218	56.0152729701639	65.1668354928937	61.5002901397301	53.5142995141558	44.7641245460683	59.5336542984536	58.9593440898547	53.1527722502503	52.2803670185426	47.8261242941002	51.2333521894247	40.1881601324346	38.9195865656562	33.8469384641548	33.102496642219	35.7546053814413	34.0597301322987	28.4233228525876	29.2430762405375	29.0161281560122	29.9678235160922	26.0301905348906	19.2234328508997	22.2961216236613	22.1760520978064	19.3001039858676
257.5	758.434111284215	492.213952424647	390.577179399101	2759.54881264056	7223.06603635539	1994.12626634379	117.819375242168	146.156470846068	145.923431999264	99.5554251808199	97.7530689685333	90.7546867542861	88.3375387303762	79.3778600401193	72.0334482978913	72.2086894166489	67.4856647459808	54.5283818149205	59.461268565286	48.5394914296317	49.6221328492508	51.1975028726978	57.6606982390806	53.7902688999379	52.4641832860857	53.1226016607535	37.0307340925945	43.0910930330195	32.2273468503279	41.1855461419683	30.7470958667979	24.9420682263737	34.7727887374637	37.5775012451215	30.3899321634392	31.4096845850875	29.0610905147497	28.6852925418263	26.6738822099489	25.9999557208026	24.6138444238094	23.1284089370905	21.8889980965347
260	680.342266209756	623.232469237582	385.697950891869	1358.04943834536	9036.08316963177	7119.3023592801	487.256525615863	172.622566043822	173.10401371474	116.664388808671	131.228226542374	89.5358108936489	86.8902187275386	74.054029536754	70.280010147418	68.8743069692954	68.4539535044287	69.8390403164631	67.7739293646748	53.5112787505981	60.6492676732422	47.8191290963501	62.0370255870691	64.1845555288479	56.5037901336853	42.6452663934004	47.8907818270517	38.8230480753348	40.8661140396683	38.2493371624766	38.9241261235122	39.5452059053817	31.6920123473719	29.1486887529691	36.870285584125	24.7945499708438	25.3520962165105	26.2390741205058	26.8495999906665	32.698692199484	21.8214881475064	24.7770505242611	20.5696198137033
262.5	915.851453713728	556.177956138596	401.362867953383	497.163066487964	6493.44088492774	14508.3173728463	3255.5965108116	196.266730441154	144.606268786401	137.0200260068	97.7921023609283	107.436179287473	99.6338628901801	68.9057203970245	68.1549991440368	67.9722700269623	70.8060867094095	53.6507239277207	58.431334856616	50.4434465574497	54.8653770866106	68.65228782158	43.1907180726224	48.3751213389819	43.778786324912	51.052934445385	57.4171560807939	56.3153812155594	43.753057678339	42.1584016862937	32.0154792760969	39.7394134995467	34.6117350641206	35.4725925843551	33.5974064015955	28.8489910378296	25.5046688333942	25.3921925515322	27.4075649882626	22.117559869469	32.8740865417029	24.9395227002719	22.1561614419362
265	852.114867793891	519.540334334266	356.75594354219	328.246964667337	2746.62809660059	17329.9150353452	11727.5896472713	477.91876114264	134.000410936621	117.817850152498	100.957454486312	110.751521495423	89.5582159591443	82.5194836461851	82.4728426463077	71.6503559396015	71.6658128019135	71.2462853424502	68.7572757614832	62.2364724941624	55.4858949097316	55.006538021855	45.1985596643583	40.6693014164532	52.6112212658059	45.5254152841091	39.8604736005023	45.1002546834421	42.807357628228	36.4822499575968	30.227728587571	29.3521706293928	30.5388930380287	26.5048824153891	30.0320712086138	31.2284646358734	27.5963338430802	26.4915005556159	24.551966601971	24.1501695895121	26.42397614324	23.7848114629721	25.3027096114704
267.5	948.364324432565	504.224182173886	425.023735726408	370.006468989164	856.886469422716	12588.3528767004	24701.7858198147	4162.43229957992	179.220157226946	128.791649862087	132.030312123581	98.1243375326392	87.1595056209295	86.1879724157795	67.9773637202346	74.6430104060585	65.4757875785321	50.495231706689	57.0758247155933	51.2429843117288	55.2526730408824	57.7649765895116	54.4910994583582	50.9528056908231	49.0282744268351	51.3930636554487	51.3901635837796	45.1511866299188	35.3393542923246	28.9404649401124	38.415454408963	30.0814965891312	28.168050525321	28.5124953870441	26.485286024049	25.4382492551036	27.2145325302794	31.3234872289978	22.3425296215144	28.5503286717106	23.1522385400755	27.2461213558419	18.0924115582496
