Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	606.08957796767	435.249545838564	639.509320188375	1266.1219795856	311.932519532842	130.979104706074	140.888215034447	91.2094052055528	137.556974329183	104.142206134716	78.8031386756022	78.0444908249074	77.7299075298103	62.8508062165293	60.7361856636237	60.7249770301876	62.6043405595307	63.5539654410803	54.0899945288567	48.7637300705074	46.7230696846257	49.9901529594711	45.2559662575134	49.2147775438412	49.3617479202243	39.2133341407653	39.8148389273678	36.7412946162339	36.8502877627778	39.9429352963583	31.0193957795879	22.7689025060942	30.6293209273195	30.480053107171	20.2011041638847	31.8854368992453	22.5605573827342	18.9947072178897	24.2207002500918	19.4085955862794	19.2867412016488	19.2659084583713	18.3740083456735
252.5	737.425682768547	461.768191818776	668.695878950987	2992.88603874108	1101.46220373594	179.124886794817	154.652314894633	119.55413733599	122.073696257331	95.5528534194673	109.397690968948	84.6603155730768	84.1053520653929	69.7857475399717	56.5943854288046	60.1352862247428	52.4973154889109	50.6669039319718	61.8784332282258	57.7241397845487	46.4501080435338	52.5516363683385	46.341922613489	39.1100960190193	43.3516898284055	43.9785124204157	44.5594690730544	33.6854384185276	30.010216571102	40.5075225104661	28.8061609384556	29.7686292690584	31.9351845709083	28.9670274324702	28.3257666164747	28.391025124626	17.3795925615194	27.4347335167909	25.5634066845182	18.2752400655477	23.4488307220252	24.2097147327299	17.0052426727961
255	465.278597374393	441.833649573635	676.40953134583	3943.03242440967	3980.22757463979	360.892910301823	137.839507109486	107.797164196224	128.264041200744	105.387963368517	94.7291234135881	85.24732090136	73.2849814553212	80.6830352516642	57.20802994012	49.5329627526579	60.9192399624374	62.2863140280567	61.0151044783456	48.7817174226863	60.0610275394624	56.0392461134028	47.8750487454059	49.9054818707138	48.6606428001547	38.9250779216615	36.9480902890038	45.1869058659834	39.3810516376777	30.428487264931	31.8103100503843	24.7935262044307	23.1179971276378	31.4309730581636	24.4795648058261	26.9677338647159	19.6866780000208	18.263221776181	22.4772625165375	20.4976539091953	18.9822170085325	20.6691203752269	20.7178506336847
257.5	889.306225428804	343.599932042902	322.787467470543	3229.81461769767	7869.0061884572	2119.24082175441	176.005386625277	137.207266539189	158.54331999467	91.0229146575489	99.8209980763199	76.7649509613472	82.1699567568842	72.4146116268404	63.5202209118719	59.4637333671538	53.3905827608694	49.7265886999886	51.6311944458576	48.1599347762218	46.7292090479453	47.6186813118734	56.2663218482739	42.7121071936121	53.7667753863606	51.470838614895	39.477965409461	41.6351233536005	41.71888028143	35.3051181848278	37.2519021834	23.6551747462529	25.7500355965196	31.5051674036074	22.4246171814511	20.6097138286627	26.912264093275	27.2022044498411	23.6338562028561	21.5096443223318	20.5284019928724	22.9970349432435	22.7345659863174
260	678.927004253677	354.94629026329	292.996719284935	1518.9097238709	9828.79646485395	7727.43049830405	500.767856578068	124.650108029938	147.516284898907	97.2922265971717	97.0246265366171	82.1178433628112	69.8720293925541	66.2937480593618	67.5961926198827	55.8042288203313	52.5814475442926	56.0338321494543	49.9292510403823	53.3795718836961	54.2092176965581	53.1090354441625	40.5123706181272	43.6107940059056	43.8327418924384	45.5620227326749	40.9304036141642	40.3792568464563	31.036984077229	37.0466693705125	24.6374797544524	26.4292727950498	21.5062126293138	29.9116730746725	28.5907453905849	27.6282461226136	22.5847958222759	30.6288445822749	23.590823171642	24.8564333044608	23.7409475715895	22.978814212518	22.9575744184417
262.5	601.672557119228	417.047520306467	310.655729059323	465.654641762233	7388.79472075118	15874.4032794028	3368.67551397039	169.160268903757	103.500240883513	106.984095164388	93.6506823016822	84.7134964104647	78.0299345573249	76.4848033137818	69.2630548868333	57.4487524868822	48.346280705472	46.3693041500706	51.9470513387749	55.0251199760979	45.442118084811	51.6368531472738	45.7922597089697	36.3546945150553	50.8980128747868	41.1435574409654	41.3827455009806	48.9173442139753	36.0960040243969	31.4537180877865	29.2181118003549	29.9851181145561	32.3502011996986	27.4932490586501	30.9093709662197	30.6052974660191	25.7451568402239	24.9574527632183	21.6647005159084	22.2095211553537	20.2502791156663	20.5108465056616	18.5982337037179
265	568.118184723566	316.555103085008	302.655656639013	320.998699099456	3036.97605584587	19266.5372217413	12861.9802745647	500.852311314262	125.957692511409	135.544126030244	90.9553370018406	78.972370639787	94.383307374301	84.2171178296787	66.6860146300183	56.861941919943	60.9642226505672	47.7602594980165	60.395376025616	48.1848952306712	49.8470565012127	53.5017729932871	49.553232212444	48.3784623655935	48.7450207116519	49.9239464071691	36.409827234679	36.5402409381246	33.905181468517	36.0981159356533	30.1024226669959	27.6376436835845	38.3665880670446	22.0477775334814	25.5551465317183	26.4150062906749	26.9427480465567	26.8004018038838	25.8380881935752	16.2781761042903	20.9197530992075	23.015977390092	23.854433491467
267.5	647.315750333457	389.959715425812	476.131095776099	321.01624053745	821.391264430121	13673.1460591316	25950.3191731231	4538.67774659038	193.832899679199	133.062764609783	97.4768835886736	86.1012418437089	88.0022759623531	72.3156662148914	60.610971543181	63.9639744804287	56.7410946157408	49.0296371205571	61.900239555302	48.7761087768127	50.9059051904522	48.7335940811717	48.4899013140229	41.3100446860539	43.2486939094434	57.2971692328096	41.7592585258019	37.2166657308404	30.4820601525648	35.9102148185365	27.4714515918842	27.7266377431767	25.0607587099766	23.2445246345434	23.5966343696783	33.9994429196852	30.1646188623508	24.3675136541566	28.4098613975415	19.043396820604	25.2482204241266	18.2315742644347	17.8382899696873
