EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	745.638051849433
252.5	240	720.407003989337
255	240	553.780166704732
257.5	240	710.730355737499
260	240	728.990314780927
262.5	240	538.219955278343
265	240	732.823516509765
267.5	240	682.165635342898
270	240	798.432420830653
272.5	240	653.233476510625
275	240	715.379091036719
277.5	240	778.200377208039
280	240	586.186951387199
282.5	240	769.738935915782
285	240	569.086722758528
287.5	240	646.891158448291
290	240	881.792568845717
292.5	240	717.875219811836
295	240	846.171140128969
297.5	240	743.927982884115
300	240	752.051775474328
302.5	240	895.121357642358
305	240	971.91360700109
307.5	240	840.180652421382
310	240	784.785505886288
312.5	240	1089.68483466435
315	240	1038.8305000384
317.5	240	1008.40826800387
320	240	928.408040462755
322.5	240	942.419306787143
325	240	811.399511484467
327.5	240	1009.92680420043
330	240	1016.41380552481
332.5	240	956.086367657722
335	240	806.341447833698
337.5	240	809.987703207409
340	240	1190.93595441491
342.5	240	1088.60928412462
345	240	924.378739242089
347.5	240	993.233420648153
350	240	975.450872750653
352.5	240	1151.79736532977
355	240	990.544951079359
357.5	240	865.008204721487
360	240	945.087933620481
362.5	240	1261.75025872304
365	240	1072.46959999716
367.5	240	914.197518302952
370	240	1138.32143357196
372.5	240	1034.36087349508
375	240	1072.91575159336
377.5	240	944.395920747218
380	240	892.070212085252
382.5	240	858.818742535664
385	240	1061.83771018599
387.5	240	1044.73996220347
390	240	1069.7806601031
392.5	240	845.339318784661
395	240	1024.79693816832
397.5	240	875.65341586133
400	240	968.269667733645
402.5	240	827.387068137586
405	240	1062.28462537114
407.5	240	893.200061553587
410	240	972.09135287425
412.5	240	974.145868090891
415	240	976.631618898026
417.5	240	941.44114767497
420	240	894.061594132704
422.5	240	1025.09029393246
425	240	845.530901401054
427.5	240	777.752025757361
430	240	956.964673234586
432.5	240	716.951409037652
435	240	1008.78153179304
437.5	240	757.860302373729
440	240	1148.22782875555
442.5	240	652.375194442998
445	240	1233.37808887181
447.5	240	950.097402385379
450	240	1056.52588694508
452.5	240	848.454809181052
