EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	775.622976320368
252.5	240	823.757427159537
255	240	1012.09036120487
257.5	240	758.434111284215
260	240	680.342266209756
262.5	240	915.851453713728
265	240	852.114867793891
267.5	240	948.364324432565
270	240	725.924099468588
272.5	240	819.125967812703
275	240	909.940828461259
277.5	240	833.682210797417
280	240	930.866438949907
282.5	240	975.772714001054
285	240	1075.77925444525
287.5	240	1127.34202435636
290	240	1059.58001571167
292.5	240	1051.14658134075
295	240	841.260642042257
297.5	240	1002.41542823705
300	240	1041.548580772
302.5	240	1056.382674886
305	240	1159.99601833923
307.5	240	1094.31924904739
310	240	1105.12030673748
312.5	240	1131.34895844479
315	240	1159.8475092241
317.5	240	1202.88598285647
320	240	943.440162689561
322.5	240	1037.3767718851
325	240	1014.08670620995
327.5	240	1191.60219511837
330	240	1174.30064217999
332.5	240	860.465458839965
335	240	948.206316887133
337.5	240	1130.2112436827
340	240	973.774091144619
342.5	240	1299.18741768853
345	240	949.749091776091
347.5	240	1047.08640802058
350	240	1351.52212787229
352.5	240	1297.03046580404
355	240	1059.91626495712
357.5	240	1001.2171067228
360	240	1003.40900715839
362.5	240	1352.14891199899
365	240	985.741051620683
367.5	240	1098.27070096445
370	240	1096.02455577024
372.5	240	1270.29602346434
375	240	1471.8229238846
377.5	240	862.057819881283
380	240	1068.21978500132
382.5	240	834.641860410376
385	240	1033.84834713425
387.5	240	1079.07425667028
390	240	1271.40933119092
392.5	240	945.338576184824
395	240	876.984299180023
397.5	240	1251.44743243223
400	240	1054.11628801527
402.5	240	1090.90726235509
405	240	1126.66450261393
407.5	240	1109.47497779744
410	240	972.995299950556
412.5	240	1193.87553578443
415	240	1156.83921469028
417.5	240	1161.94435581711
420	240	1113.1728373441
422.5	240	1063.52075885258
425	240	1154.99640004897
427.5	240	1157.67878125415
430	240	1051.39937847264
432.5	240	1131.1676573831
435	240	983.903320450037
437.5	240	1126.89725385724
440	240	1083.07717136293
442.5	240	1052.06915458169
445	240	1079.19804204354
447.5	240	1535.51004866248
450	240	798.464252228351
452.5	240	1085.50824455726
455	240	1152.92936581471
457.5	240	1267.07095916232
460	240	1002.41589989411
462.5	240	1328.4443558524
465	240	891.233255547127
467.5	240	812.383819789908
