EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	606.08957796767
252.5	240	737.425682768547
255	240	465.278597374393
257.5	240	889.306225428804
260	240	678.927004253677
262.5	240	601.672557119228
265	240	568.118184723566
267.5	240	647.315750333457
270	240	798.962522565036
272.5	240	785.805995385909
275	240	611.38478216911
277.5	240	664.821062393622
280	240	709.251148399158
282.5	240	600.198772751261
285	240	928.661633062968
287.5	240	951.221545198133
290	240	692.72337710128
292.5	240	1003.78086709804
295	240	874.153220130552
297.5	240	635.199276385177
300	240	649.262943928352
302.5	240	750.794443325337
305	240	877.326624942075
307.5	240	847.04153985424
310	240	754.996990065881
312.5	240	782.092932933157
315	240	949.796986126733
317.5	240	1022.44371829155
320	240	1228.85092199291
322.5	240	902.631618683242
325	240	980.606278348171
327.5	240	815.417358279946
330	240	866.217051367651
332.5	240	1019.18840484777
335	240	1115.82456228845
337.5	240	993.862792522403
340	240	810.397342219591
342.5	240	1176.88303811378
345	240	952.183977305331
347.5	240	858.660629018638
350	240	822.061324308156
352.5	240	1007.64025897196
355	240	1250.0489272356
357.5	240	1038.18986821761
360	240	822.209254075461
362.5	240	847.402691098535
365	240	726.312232885395
367.5	240	1204.82058977786
370	240	1080.52770035129
372.5	240	1115.23716857528
375	240	756.03037298286
377.5	240	857.403626485812
380	240	825.350666365289
382.5	240	900.402857076146
385	240	983.540666346434
387.5	240	739.663774503704
390	240	930.997009978874
392.5	240	813.804941319701
395	240	786.268550425667
397.5	240	935.852058791068
400	240	872.823865336453
402.5	240	756.670491460803
405	240	893.869509522132
407.5	240	860.966269689352
410	240	915.312359905927
412.5	240	980.941871247646
415	240	789.019029198496
417.5	240	1129.7740471412
420	240	971.643357906292
422.5	240	930.358404702062
425	240	833.110998017225
427.5	240	797.451762015483
430	240	793.564309410262
432.5	240	812.166799564614
435	240	981.99143119659
437.5	240	826.912924145408
440	240	1133.19044267867
442.5	240	724.410848204138
445	240	845.935843033039
447.5	240	843.565271417368
450	240	918.480782308823
452.5	240	860.666191083405
455	240	937.096387573041
457.5	240	892.939346808225
460	240	613.225688082413
462.5	240	696.128420899048
465	240	905.544368307297
467.5	240	862.981494234091
470	240	767.043969464312
472.5	240	938.348791669479
475	240	836.105495313648
477.5	240	993.721289355487
480	240	781.142373469091
482.5	240	818.617478109371
485	240	829.642399578595
487.5	240	721.979594048366
490	240	678.296846742713
492.5	240	726.907444373952
495	240	831.527377396765
497.5	240	600.388291952427
500	240	648.179950112748
502.5	240	742.450446306137
505	240	831.884974957247
507.5	240	601.029319489765
510	240	544.120840752495
512.5	240	636.516460993725
515	240	677.458395133798
517.5	240	600.054539502352
520	240	663.026184279238
522.5	240	889.124701876946
525	240	925.877898932794
527.5	240	869.8184741508
530	240	513.789369681662
532.5	240	602.513408286214
535	240	769.051063194167
537.5	240	858.887441175442
540	240	682.150028229839
542.5	240	709.41531449202
545	240	800.826653786366
547.5	240	917.418231417415
550	240	589.560713647389
250	245	435.249545838564
252.5	245	461.768191818776
255	245	441.833649573635
257.5	245	343.599932042902
260	245	354.94629026329
262.5	245	417.047520306467
265	245	316.555103085008
267.5	245	389.959715425812
270	245	572.15335869624
272.5	245	442.683100344502
275	245	371.142165076815
277.5	245	460.663309572358
280	245	443.722924698764
282.5	245	478.039814130052
285	245	516.029072418742
287.5	245	450.451800826533
290	245	460.858255680206
292.5	245	465.289172511676
295	245	523.68773293856
297.5	245	596.907272611693
300	245	550.208501167563
302.5	245	692.328280915514
305	245	687.732538909505
307.5	245	525.826682208284
310	245	568.852906036093
312.5	245	664.90623874992
315	245	559.177504380454
317.5	245	550.483345687556
320	245	641.303038296307
322.5	245	604.152349079993
325	245	715.93787270978
327.5	245	574.009003299021
330	245	545.052529161577
332.5	245	615.237682307394
335	245	597.460491894853
337.5	245	585.215427396941
340	245	478.239461531222
342.5	245	577.78856369438
345	245	585.339597802591
347.5	245	522.928332780916
350	245	695.254216363927
352.5	245	532.563511245712
355	245	703.49741199107
357.5	245	488.472496459415
360	245	586.087664472057
362.5	245	389.054743889908
365	245	616.580425753002
367.5	245	568.129919066333
370	245	584.586875417558
372.5	245	585.880287786609
375	245	539.265297920625
377.5	245	423.108912940752
380	245	628.491034311434
382.5	245	540.472633265053
385	245	540.015624418183
387.5	245	594.875923044598
390	245	484.832991193631
392.5	245	556.864568416999
395	245	584.384832198162
397.5	245	450.005972750895
400	245	475.326972291872
402.5	245	397.173931597401
405	245	554.416029977596
407.5	245	686.746431534012
410	245	539.72502503737
412.5	245	577.255944383436
415	245	558.8340622952
417.5	245	584.260042275944
