EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	757.785404951892
252.5	240	890.770227440922
255	240	780.279535067574
257.5	240	828.607992715955
260	240	616.963855013045
262.5	240	600.602671367771
265	240	914.959321187661
267.5	240	753.473443573899
270	240	861.73770036681
272.5	240	815.988234704541
275	240	930.749862268583
277.5	240	676.849723977086
280	240	878.958784993126
282.5	240	874.16301400429
285	240	1296.11981686845
287.5	240	1120.36792272241
290	240	1014.41868916435
292.5	240	981.764763449743
295	240	1068.03138052192
297.5	240	1043.00838000334
300	240	1165.28814687581
302.5	240	1230.33596877562
305	240	1006.94937826095
307.5	240	1291.97051064527
310	240	1063.51325165283
312.5	240	1565.41878098774
315	240	930.864215997853
317.5	240	1319.73147579454
320	240	1107.92894948442
322.5	240	1146.86890099473
325	240	1256.29394167468
327.5	240	1083.26499872584
330	240	1300.71218114624
332.5	240	1451.18794149994
335	240	1099.42150396737
337.5	240	1301.49933302346
340	240	1245.07652777893
342.5	240	1257.15201503915
345	240	1291.46175337791
347.5	240	1353.92771440298
350	240	1351.0858687081
352.5	240	1407.87470600589
355	240	973.616074289896
357.5	240	1310.13296981926
360	240	1528.48900916307
362.5	240	1402.42672070994
365	240	1455.85129937488
367.5	240	1240.65810160297
370	240	1154.69675420092
372.5	240	1121.71574466832
375	240	1353.70571641915
377.5	240	1002.57610883797
380	240	1241.72631372684
382.5	240	1447.35948877996
385	240	1277.28330116832
387.5	240	1355.1199971862
390	240	1333.67562729656
392.5	240	1026.21995895502
395	240	1271.46774986607
397.5	240	1395.16770690868
400	240	1314.00501726903
402.5	240	1374.76323877667
405	240	1255.90194814355
407.5	240	1509.65126808701
410	240	1111.57290367918
412.5	240	1200.93668906346
415	240	1226.71009814627
417.5	240	1387.06848317079
420	240	1217.63044031653
422.5	240	1118.89104201148
425	240	1229.3049351801
427.5	240	1081.38670003388
430	240	1118.98249578282
432.5	240	1248.84577843731
435	240	1235.13931186674
437.5	240	1372.68386726464
440	240	1118.87054889077
442.5	240	1081.37406830589
445	240	1307.94269076492
447.5	240	1164.08140350334
450	240	1013.47058959109
452.5	240	1158.98594722751
455	240	1037.99833025636
457.5	240	940.249817597344
460	240	1172.99679237114
462.5	240	823.013517750698
465	240	1258.63983667807
467.5	240	1412.41602159994
470	240	1128.24361802615
472.5	240	1257.08946131169
475	240	854.459511628355
477.5	240	1108.8581455175
480	240	1097.63799321376
482.5	240	853.512087615256
485	240	929.561051603471
487.5	240	1030.8174251578
490	240	837.215261376132
492.5	240	855.457005902304
495	240	943.366894917475
497.5	240	914.832662851679
500	240	992.33215134886
502.5	240	1131.99742623371
505	240	1124.16431863384
507.5	240	777.701504893385
510	240	1025.74539403714
512.5	240	1050.56330842164
515	240	1000.51163539623
517.5	240	851.504825967636
520	240	794.783690019084
522.5	240	1188.95205443438
525	240	943.499881126707
527.5	240	683.419869476399
530	240	947.113146792443
532.5	240	818.953840383441
535	240	973.179932882604
537.5	240	688.808440430665
540	240	1083.57429003469
542.5	240	1020.29176155824
545	240	1157.16814431172
547.5	240	827.087741625771
550	240	1036.8889731687
250	245	372.896302247589
252.5	245	482.671449646711
255	245	457.836267314541
257.5	245	511.074564501413
260	245	581.803260335051
262.5	245	408.905105865121
265	245	504.20862961129
267.5	245	548.323413569794
270	245	536.147861008641
272.5	245	462.213326254286
275	245	678.290817652707
277.5	245	648.852703512541
280	245	573.144787604802
282.5	245	509.522134925854
285	245	551.013488863346
287.5	245	595.433268875572
290	245	557.301953690075
292.5	245	684.863557835644
295	245	660.050115395453
297.5	245	686.690575508707
300	245	747.735981236369
302.5	245	706.715725392131
305	245	662.018246547487
307.5	245	801.565228990118
310	245	820.9974762155
312.5	245	795.180641696464
315	245	731.281821389311
317.5	245	738.178831958395
320	245	784.610091227284
322.5	245	742.055773494073
325	245	898.818813336239
327.5	245	868.751165822815
330	245	700.715316856296
332.5	245	724.468390502512
335	245	716.619082411511
337.5	245	612.465269150237
340	245	847.131899184669
342.5	245	834.454461318857
345	245	803.597684236377
347.5	245	665.334174339544
350	245	856.94912745583
352.5	245	695.683655850435
355	245	786.915459856931
357.5	245	832.438661771513
360	245	819.830893230019
362.5	245	825.377065109557
