EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	875.735497945144
252.5	240	947.65771429749
255	240	732.250134419137
257.5	240	828.076747912579
260	240	907.209723538911
262.5	240	968.588595599948
265	240	665.655347654356
267.5	240	935.524891980447
270	240	905.013865332673
272.5	240	1055.95720417949
275	240	1042.76110761424
277.5	240	1034.28115246371
280	240	1091.12273274983
282.5	240	1180.64005162124
285	240	935.791804063532
287.5	240	1127.384445133
290	240	915.750189292852
292.5	240	878.642501489958
295	240	1117.22878362108
297.5	240	904.65994818356
300	240	1012.78408228324
302.5	240	1120.33269565863
305	240	1033.8838070479
307.5	240	1331.31691272775
310	240	1344.76325167554
312.5	240	1244.81705446061
315	240	1410.64530030193
317.5	240	1247.9795251809
320	240	1186.00983259543
322.5	240	1275.53523690215
325	240	1472.45282528341
327.5	240	1269.99212955135
330	240	1407.83959463644
332.5	240	1426.70146869924
335	240	1298.23039712847
337.5	240	1221.09863141062
340	240	1515.34038536325
342.5	240	1565.00280291168
345	240	1613.49048391697
347.5	240	1453.56340398669
350	240	1485.62274853131
352.5	240	1643.45828721198
355	240	1577.76273292501
357.5	240	1341.99827296423
360	240	1136.39274121097
362.5	240	1483.89328622585
365	240	1566.00477746181
367.5	240	1219.07576379694
370	240	1335.25523099217
372.5	240	1651.43091135772
375	240	1814.50084507181
377.5	240	1453.50300947237
380	240	1566.55774843725
382.5	240	1340.20315389531
385	240	1269.4985599927
387.5	240	1458.98185609792
390	240	1483.27482167761
392.5	240	1513.56040562966
395	240	1561.1991314036
397.5	240	1309.72860886747
400	240	1641.86966908122
402.5	240	1310.44337487859
405	240	1486.71749272241
407.5	240	1509.49706632589
410	240	1561.81738828365
412.5	240	1644.65234057773
415	240	1317.33236455456
417.5	240	1498.65375166829
420	240	1477.77198178365
422.5	240	1502.89275712871
425	240	1575.21745910167
427.5	240	1334.84320647173
430	240	1512.92593516759
432.5	240	1394.17302901674
435	240	1371.84292873524
437.5	240	1426.37682452919
440	240	1328.19353962268
442.5	240	1390.19169372966
