EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	646.421600274272
252.5	240	492.262690030041
255	240	775.434455829951
257.5	240	688.255204001408
260	240	480.399419612881
262.5	240	640.741689631365
265	240	492.401587567865
267.5	240	805.739967920434
270	240	617.246416550145
272.5	240	642.028535768211
275	240	596.670887328093
277.5	240	597.03874147091
280	240	631.40598618934
282.5	240	791.203454483456
285	240	714.456726168508
287.5	240	822.075239422612
290	240	675.912608605071
292.5	240	762.983594079457
295	240	820.996721956931
297.5	240	926.248887656982
300	240	885.22611309602
302.5	240	944.742526127452
305	240	999.913369498712
307.5	240	1210.82287282846
310	240	933.469146546886
312.5	240	1032.24641929507
315	240	1220.50201811153
317.5	240	1179.20868736227
320	240	1154.66520829365
322.5	240	1211.27389154969
325	240	1176.39843217809
327.5	240	1137.0940737865
330	240	1273.87954719899
332.5	240	969.950954628879
335	240	921.202097582421
337.5	240	1296.93708963346
340	240	1171.7496009505
342.5	240	1360.75687472467
345	240	1507.95607216266
347.5	240	1411.84013927827
350	240	1127.41788011935
352.5	240	1195.38233581697
355	240	1220.00907600364
357.5	240	1112.58592748976
360	240	1064.97320598738
362.5	240	1316.95736213668
365	240	1081.08820541227
367.5	240	1110.15847014493
370	240	957.561656830671
372.5	240	1150.81399024932
375	240	1028.74464620666
377.5	240	1366.20671542553
380	240	1081.38024597512
382.5	240	1290.95444357151
385	240	929.490858577731
387.5	240	1191.51080427453
390	240	984.958336226924
392.5	240	1062.43973684632
395	240	1104.09777657107
397.5	240	1045.84408014669
400	240	971.749043389252
402.5	240	1136.35210342872
405	240	927.903924592451
407.5	240	887.749989517524
410	240	1065.29716489075
412.5	240	884.300841180986
415	240	1016.02189756674
417.5	240	1125.27567472531
420	240	976.877412942865
422.5	240	806.073001824342
425	240	1071.05749216219
427.5	240	929.658541301657
430	240	988.133277870567
432.5	240	871.196897044517
435	240	837.327274297493
437.5	240	946.400644966096
440	240	776.67954613395
442.5	240	921.590913916912
445	240	838.213692734146
447.5	240	977.838364293293
450	240	971.577828939076
452.5	240	964.334358561721
455	240	944.848343716287
457.5	240	868.753172788438
460	240	1119.87405988586
462.5	240	874.525887893281
465	240	791.307909981773
467.5	240	1082.25790055583
470	240	868.012520083583
472.5	240	701.628951845757
475	240	762.780321126918
477.5	240	647.125449611983
480	240	793.834438428666
482.5	240	686.81520783436
485	240	612.885351990827
487.5	240	614.920508025961
490	240	643.015538875952
492.5	240	688.136033096477
495	240	615.235093723597
497.5	240	707.747844203091
500	240	855.637021899317
502.5	240	645.119438434763
505	240	689.335162610405
507.5	240	762.430659056102
510	240	833.298671718384
512.5	240	655.820582474735
515	240	584.863040156766
517.5	240	823.867329806575
520	240	627.115848006892
522.5	240	686.846663471409
