EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	923.302661385723
252.5	240	973.887932388454
255	240	905.999760434703
257.5	240	1120.31784190906
260	240	810.237757869502
262.5	240	990.642796874341
265	240	955.601563564091
267.5	240	966.088529328456
270	240	1346.55973498675
272.5	240	1316.73118093662
275	240	936.823575251539
277.5	240	967.85339707249
280	240	1151.20783696371
282.5	240	1119.31695029858
285	240	935.944520737732
287.5	240	1530.28594661534
290	240	1265.20056946876
292.5	240	1348.94756879644
295	240	1238.81268852345
297.5	240	1316.9714128993
300	240	1314.25921250915
302.5	240	1234.35004343737
305	240	1397.71327845227
307.5	240	1498.98394395981
310	240	1319.97431779232
312.5	240	1445.06906751738
315	240	1332.9841101686
317.5	240	1431.90792524641
320	240	1320.19002890049
322.5	240	1316.05951735796
325	240	1401.58174833317
327.5	240	1284.06440199306
330	240	1584.41951627623
332.5	240	1664.44226247147
335	240	1121.09088232109
337.5	240	1480.32192952824
340	240	1400.28207728484
342.5	240	1629.02567284829
345	240	1446.56032017991
347.5	240	1410.5772094981
350	240	1541.95470449118
352.5	240	1827.43016127059
355	240	1293.84596481905
357.5	240	1653.36559948898
360	240	1444.6604645088
362.5	240	1513.32086491643
365	240	1506.57856530796
367.5	240	1344.1170476612
370	240	1349.94911869892
372.5	240	1321.03227775419
375	240	1378.85732505244
377.5	240	1083.95659855489
380	240	1447.59871048685
382.5	240	1535.05887034717
385	240	1397.19557221384
387.5	240	1566.0101536812
390	240	1416.35079440062
392.5	240	1287.19769619526
395	240	1492.08734786419
397.5	240	1296.66704141271
400	240	1152.61294969207
402.5	240	1281.3189184539
405	240	1304.91678130895
407.5	240	1573.18789093857
410	240	1219.63447196274
412.5	240	1248.72717235544
415	240	1469.33838353124
417.5	240	1598.71854710042
420	240	1467.68244353836
422.5	240	1279.20539824459
425	240	1326.57488408611
427.5	240	1234.30637249536
430	240	1378.29133443372
432.5	240	1322.79524769548
435	240	1507.58305814932
437.5	240	1335.42542241183
440	240	1329.83007973156
442.5	240	1353.78459027947
445	240	1332.93315688331
447.5	240	1153.00812523038
450	240	1472.96028563219
452.5	240	1193.46848653787
455	240	1220.64586768743
457.5	240	1563.35393123459
460	240	1033.59920235271
