EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	641.191934124878
252.5	240	745.238134721039
255	240	850.411291916972
257.5	240	644.09549544834
260	240	781.047245658688
262.5	240	959.487323715958
265	240	733.798949705503
267.5	240	934.357771814688
270	240	762.498182356586
272.5	240	741.977951929342
275	240	1051.19780047027
277.5	240	718.057108913353
280	240	834.376486217439
282.5	240	969.248643538631
285	240	1065.77185168244
287.5	240	976.600348657047
290	240	1020.96338433969
292.5	240	1001.4540404019
295	240	747.466669209406
297.5	240	1207.07166001648
300	240	1187.26523856224
302.5	240	911.6311821704
305	240	1026.14247645157
307.5	240	993.678509658923
310	240	897.376923155739
312.5	240	1162.05198853805
315	240	968.179832833203
317.5	240	1003.69098961856
320	240	1212.11613361976
322.5	240	1131.78576451025
325	240	1041.77938400224
327.5	240	1095.95120689465
330	240	1133.53322961219
332.5	240	1082.94056593269
335	240	1019.5495406914
337.5	240	940.226625719877
340	240	987.18286003366
342.5	240	946.976511003366
345	240	1318.46635814095
347.5	240	1180.85636141403
350	240	1066.46921635887
352.5	240	975.103251743287
355	240	1064.52407824367
357.5	240	986.147112569765
360	240	1156.48774236069
362.5	240	1251.93967499815
365	240	1095.03851668772
367.5	240	969.179241107593
370	240	1233.88776854906
372.5	240	1161.59559409836
375	240	1109.78860286956
377.5	240	1230.83637416094
380	240	1112.27159063231
382.5	240	1171.38227103843
385	240	1348.84405304603
387.5	240	968.764047649581
390	240	1174.60291158196
392.5	240	1308.63802785704
395	240	891.847301380728
397.5	240	986.658538461245
400	240	1054.32412039713
402.5	240	867.358151291125
405	240	785.667894338214
407.5	240	869.304212030183
410	240	1157.97540534343
412.5	240	1034.94083455524
415	240	896.137063664189
417.5	240	1070.42032005536
420	240	957.9896280435
422.5	240	1016.61343298922
425	240	929.716990210835
427.5	240	1039.94993670237
430	240	1067.42328595699
432.5	240	973.928682658913
435	240	917.681777750053
437.5	240	1162.7450204413
440	240	1188.97747915038
442.5	240	976.261320807313
445	240	1114.96917842792
447.5	240	960.432868444382
450	240	806.26830416323
452.5	240	927.966412307511
455	240	790.878565286549
457.5	240	988.460541763896
460	240	1178.12571459764
462.5	240	1170.22319903779
465	240	961.05971095529
467.5	240	1048.68886071244
470	240	1116.10972651321
472.5	240	1173.01240753198
475	240	962.92463083049
477.5	240	890.913525049363
480	240	1091.22665506043
482.5	240	1067.86839763605
485	240	836.863112570379
487.5	240	938.148831922429
490	240	771.428783873254
492.5	240	859.429627599473
495	240	824.84039779126
497.5	240	727.425688247616
500	240	713.398546709726
502.5	240	565.814190884378
505	240	882.680904612399
507.5	240	1090.19232409932
510	240	700.408517485747
512.5	240	839.035594289556
515	240	743.89355317254
517.5	240	966.044176572483
520	240	701.731354927647
522.5	240	775.210721447032
525	240	955.670660844196
527.5	240	818.425677675711
530	240	900.97370515128
532.5	240	791.471057984986
535	240	721.349733584547
537.5	240	683.335844805639
540	240	630.865298812273
542.5	240	910.826875127541
545	240	940.692715948135
547.5	240	868.165069247442
550	240	685.067379299292
250	245	473.935397171439
252.5	245	372.414113018291
255	245	556.989162828567
257.5	245	434.500434217985
260	245	353.307509869564
262.5	245	352.666930167733
265	245	581.575684806063
267.5	245	509.017960628634
270	245	589.739434540975
272.5	245	507.319731324225
275	245	498.030334049602
277.5	245	436.099091009533
280	245	580.379953737641
282.5	245	507.478449686885
285	245	681.513539222194
287.5	245	597.583849393582
290	245	686.266189238219
292.5	245	543.033591100299
295	245	662.261885279611
297.5	245	553.830864995706
300	245	570.496633579775
302.5	245	657.237004877542
305	245	653.945377620032
307.5	245	627.652182907946
310	245	655.011494603885
312.5	245	678.132165298371
315	245	772.835453763447
317.5	245	620.748532027075
320	245	654.713446561512
322.5	245	635.315658241257
325	245	671.36364041928
327.5	245	669.685800477313
330	245	602.312317100763
332.5	245	687.91664232417
335	245	600.232741831055
337.5	245	642.867084197612
340	245	687.533997030396
342.5	245	844.689427324675
345	245	682.329417600855
347.5	245	662.169659810214
350	245	741.518530159637
352.5	245	526.921152622998
355	245	678.202252049189
357.5	245	703.609264605958
360	245	695.354661670111
362.5	245	660.89531973661
365	245	433.009375996124
367.5	245	649.59629122561
370	245	814.923119398976
372.5	245	544.111321678186
375	245	760.793632966528
377.5	245	918.720779768399
380	245	595.880683363315
382.5	245	608.434257570823
385	245	675.595815896799
387.5	245	862.847758935174
390	245	448.08565868355
392.5	245	605.951945711841
395	245	665.056157283203
397.5	245	566.179940334076
400	245	598.728928553162
402.5	245	853.928162929139
405	245	688.689838317411
407.5	245	736.029147469095
410	245	567.216972740008
412.5	245	726.986611783533
415	245	757.711238089344
417.5	245	636.770090761106
420	245	720.018964526829
422.5	245	513.806666364223
425	245	740.911586150379
427.5	245	532.075219572277
430	245	653.939053871872
432.5	245	544.716556889457
435	245	590.461910068951
437.5	245	684.122226869394
440	245	485.272119765087
442.5	245	395.883435869706
445	245	611.046887358774
447.5	245	634.549047621943
450	245	621.297584438928
452.5	245	494.21553408003
455	245	571.655642196626
457.5	245	448.050892160428
460	245	465.098259842811
462.5	245	630.094538908527
465	245	493.764520251853
467.5	245	779.545081027547
470	245	553.552567386498
472.5	245	616.010066243167
475	245	577.731886198668
477.5	245	547.740248672533
480	245	447.01715558822
482.5	245	547.399553449421
485	245	532.073351475831
487.5	245	439.206847225778
490	245	556.842803346101
492.5	245	521.444455630701
495	245	540.889229239479
497.5	245	503.16732351396
500	245	617.854828679033
502.5	245	524.798180328744
505	245	539.399687374047
507.5	245	528.489065012811
510	245	547.472835264267
512.5	245	486.736245569079
515	245	467.199218733584
517.5	245	601.358745006603
520	245	476.616597196598
522.5	245	461.045048217482
525	245	468.049217814435
527.5	245	479.198631236061
530	245	507.195359278033
532.5	245	479.298155107793
535	245	414.606443293181
537.5	245	577.634212323189
