EM wavelength	EX wavelength	S1/R1
nm	nm	CPS / MicroAmps
250	240	856.498113997219
252.5	240	868.169700641845
255	240	518.580250769896
257.5	240	1122.33290361944
260	240	906.685695337002
262.5	240	933.777155276728
265	240	737.148199923643
267.5	240	805.185500120558
270	240	1000.1943257568
272.5	240	967.320084151008
275	240	1087.09447238334
277.5	240	1207.33272168343
280	240	989.301198657735
282.5	240	954.06690831322
285	240	915.565781476792
287.5	240	985.793358875489
290	240	1019.21207977289
292.5	240	1093.42659727234
295	240	1036.94832214245
297.5	240	1131.01244003967
300	240	1399.64093872135
302.5	240	1141.52972936537
305	240	1170.46283595048
307.5	240	1173.95558832345
310	240	1173.97821649614
312.5	240	1295.74021468788
315	240	1124.00888585672
317.5	240	943.08462545389
320	240	1517.45785071878
322.5	240	988.118073925686
325	240	1227.37425514009
327.5	240	1160.1273495149
330	240	1065.06108087315
332.5	240	1097.66126440482
335	240	1370.75368888532
337.5	240	1193.60191083546
340	240	1136.01304053717
342.5	240	1190.88537339065
345	240	956.631582933041
347.5	240	1354.47614288841
350	240	1296.28427823715
352.5	240	1429.74272427911
355	240	1524.3274111449
357.5	240	1462.99307201763
360	240	1495.44411632872
362.5	240	1528.36314033854
365	240	1277.19291414283
367.5	240	1304.36704682351
370	240	1531.8510413997
372.5	240	1429.71161146483
375	240	1201.67291697366
377.5	240	1098.47498750942
380	240	1117.1043210578
382.5	240	1126.67456439232
385	240	1207.17720313622
387.5	240	1006.87607250399
390	240	1464.14070189667
392.5	240	1377.71666766482
395	240	1298.16030946425
397.5	240	1261.4212659531
400	240	1215.21128091835
402.5	240	1307.76583094681
405	240	1061.51347634299
407.5	240	976.190139325089
410	240	1036.8169676299
412.5	240	1063.23372300547
415	240	1366.04877200919
417.5	240	989.891933279511
420	240	1033.79267123265
422.5	240	1138.86707121013
425	240	1212.3442539189
427.5	240	1133.37085679181
430	240	1302.16422564691
432.5	240	1205.33879388993
435	240	1367.62294462717
437.5	240	1150.45548691677
440	240	1035.37224521182
442.5	240	1200.3519162592
445	240	1225.17694844111
447.5	240	1040.23985073285
450	240	1323.31076202745
452.5	240	869.88334970141
455	240	1081.13996135593
457.5	240	1233.61697260521
460	240	1246.87816171013
462.5	240	1103.58346245772
465	240	1084.99685051409
467.5	240	942.884508534673
470	240	940.818716177085
472.5	240	1281.39702714873
475	240	878.563016799968
477.5	240	1221.27610230069
480	240	1244.56422921833
482.5	240	949.539471914946
485	240	1298.62295833351
487.5	240	937.784588781802
490	240	968.55072998105
492.5	240	1091.18406235533
495	240	911.816781013068
497.5	240	941.355959967082
500	240	1046.72946176485
502.5	240	1032.06710884615
505	240	980.22824677541
507.5	240	873.911312287401
510	240	934.387688084217
512.5	240	921.834522958303
515	240	1025.56391765306
517.5	240	1129.85850142561
520	240	1116.13880131053
522.5	240	923.789968645331
525	240	1155.05734520024
527.5	240	1094.49919425864
530	240	823.838622704219
532.5	240	1053.55522663385
535	240	910.963719063529
537.5	240	794.439263597992
540	240	1031.47955053262
542.5	240	894.339741383876
545	240	1025.07634422607
547.5	240	1033.27912940013
550	240	743.64259275949
250	245	473.952821070994
252.5	245	495.293757503468
255	245	571.853963199931
257.5	245	711.343125193395
260	245	578.086472077177
262.5	245	514.726599988013
265	245	497.55184645513
267.5	245	563.536296477124
270	245	549.219808422715
272.5	245	675.748035932296
275	245	525.514469262423
277.5	245	542.306992551962
280	245	607.642352017692
282.5	245	590.119977978719
285	245	620.062031849207
287.5	245	531.473698841973
290	245	531.822324290931
292.5	245	678.225930763172
295	245	755.380567450579
297.5	245	656.731789275986
300	245	796.52980794767
302.5	245	647.966126701246
305	245	667.065326110368
307.5	245	818.244324016123
310	245	597.45339482989
312.5	245	844.64694406186
315	245	819.416236763053
317.5	245	828.939694886062
320	245	558.754251545019
322.5	245	748.166742963346
325	245	846.021100951621
327.5	245	665.404072804229
330	245	643.859990472674
332.5	245	786.680664758038
335	245	802.641811018783
337.5	245	905.539925037594
340	245	824.980471044558
342.5	245	694.802691554547
345	245	734.030755819339
347.5	245	675.226351321159
350	245	829.425180931165
352.5	245	743.998464934804
355	245	869.368397128658
357.5	245	729.185637976594
360	245	1002.65419841711
362.5	245	781.228183437328
365	245	809.303829422034
367.5	245	679.070778237798
370	245	845.554881712754
372.5	245	702.777163196769
375	245	637.031436417511
377.5	245	739.260798196247
380	245	617.867247205996
382.5	245	767.623930751279
385	245	876.969178779523
387.5	245	729.703769889774
390	245	751.618603848176
392.5	245	809.576161507715
395	245	763.10792517758
397.5	245	803.033729958003
400	245	894.285358569653
402.5	245	621.063119374614
405	245	725.839658421654
407.5	245	732.227856004486
410	245	752.685567532624
412.5	245	841.555661180974
415	245	579.00188544645
417.5	245	739.687667989654
420	245	695.829847254054
422.5	245	704.485440220578
425	245	816.889905819573
427.5	245	585.532356921557
430	245	704.853953729861
432.5	245	687.475272113993
435	245	672.541494919543
437.5	245	961.482293372949
440	245	742.494781694496
442.5	245	723.94324920821
445	245	685.035005547568
447.5	245	684.554552480851
450	245	742.721119231876
452.5	245	687.168576124124
455	245	599.81074364451
457.5	245	800.030697853891
460	245	724.039348071878
462.5	245	775.926788500763
465	245	607.765902380941
467.5	245	717.9519093116
470	245	666.814922100357
472.5	245	697.937985482226
475	245	589.659117446123
477.5	245	653.199996399809
480	245	610.547198306126
482.5	245	697.210025449884
485	245	571.844246608224
487.5	245	480.968477635842
490	245	505.776113024281
492.5	245	517.170043744175
495	245	554.815460595569
497.5	245	741.329360972825
500	245	738.134506817999
502.5	245	674.869599429744
505	245	653.909263583303
507.5	245	551.763680114234
510	245	570.291682329187
512.5	245	766.076360658919
515	245	688.537381083632
517.5	245	637.345171495483
520	245	539.981089893775
522.5	245	566.792779459945
525	245	499.3912608365
527.5	245	611.080253230862
