Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	757.785404951892	372.896302247589	897.453984875345	1714.89441637797	395.890912168079	148.622744646338	166.270974429201	163.009846351117	152.791526637421	138.498900718037	104.893957268869	102.57202037116	86.1738537469026	98.2631860226201	86.2296933344952	77.7793082662062	63.9890159727669	78.7988308371708	66.7005209326029	58.1767372065253	67.1286375691903	58.4164666332313	76.3890307985817	60.3201265936644	58.667363457773	72.0608218663935	60.7180030570791	50.7431601336781	47.5860813421156	49.1196990872068	42.4939583502052	37.9209084700243	34.7812172662361	30.8939394329267	42.1306960647424	31.3663478318306	30.4104073135751	26.5487957036902	27.6460245183306	28.0129737841938	30.5106961004939	25.109226020501	26.1386024916881
252.5	890.770227440922	482.671449646711	1041.56047825265	4233.52582376168	1739.42159560771	222.977959052973	124.06145568421	148.21872648904	169.721593524948	138.724009009875	117.416277140291	116.61406015149	113.537784380159	92.9353006223996	70.3665015338614	58.7690208358275	90.2674650250264	83.0613904421902	75.8191488232948	82.831457582789	76.506994931315	62.743927236894	67.7734090670381	58.7642073996929	71.1465980598903	68.0786311849121	57.2823145301183	58.1313234012252	46.7382572157808	40.5578420091446	44.2644348323904	35.7899360759497	43.1338975842068	37.244567859482	31.3620587745058	32.0232112137585	26.6457595929764	28.5837074911062	28.5647554515593	26.5589898988771	32.6712616407127	24.7881419773337	25.4625792728939
255	780.279535067574	457.836267314541	801.946302931454	6102.81419818149	5631.00965837967	530.641723373449	209.924997306535	154.372542536188	135.174305797331	105.785779268571	120.52237144581	112.882186093733	103.366539694323	75.0487189435245	82.0893439293367	79.9923300268993	79.1908040518462	87.9252064019125	74.7483263484382	65.8866122682624	68.9249062083282	70.0271649611725	64.2433799666132	68.4385324797959	60.5073371100477	64.6118498269064	61.3805140239977	55.9216198985189	47.2273394909402	52.01157745781	45.0349258614456	38.4885964433944	39.023390166842	30.6809667821069	30.8267814565378	35.3368222567052	26.863844437396	31.801998918173	31.5993798814695	27.3487167920988	28.9776215987686	25.4390228164426	24.176883093208
257.5	828.607992715955	511.074564501413	393.460344843636	4978.73890127073	11878.2791482517	2942.56107580871	222.391373343244	165.849769324147	185.397983417813	121.471818487928	145.468645218558	114.914005324003	117.22896169824	108.499742130019	91.80716492571	87.8079380953009	74.7936928975687	69.4572400171643	89.6104972957333	63.8547882284358	58.4202035362621	78.6011659905741	76.2052394655954	65.5369193652144	56.7440686551056	65.4066487227659	58.7734012375484	59.8899467258376	49.4009635449516	39.9947246159812	45.2407502059214	34.285735267087	43.1570419266809	32.1417841832087	29.26681677304	36.0216801575466	28.9770058326683	31.4481558457488	38.0944746476399	31.5310396454703	30.8732283811348	24.7401028124193	19.6722784990603
260	616.963855013045	581.803260335051	405.645747496633	2363.21792134606	14057.7492833303	10971.615669191	670.867786246299	163.446274695562	188.849721772243	146.968169184296	148.293221363853	142.316397067784	120.949653986749	107.300089338593	107.774432877422	83.4725356063909	68.5844236582204	76.7950512552369	72.2559138331362	78.8574454749229	59.7204985031177	64.5458777985345	64.5767280218262	63.6781891581663	56.200389830119	49.4704790510758	59.9893358919342	60.4671444953233	53.8398845932794	47.0614518120415	45.370116994018	36.4988695659797	40.443069467274	34.5322908170355	39.2207399842669	28.7166671310037	32.3312127158674	33.3601178588214	29.3393558493632	27.6392282925561	23.8489168254243	23.7644240063072	22.4217813098223
262.5	600.602671367771	408.905105865121	382.645432812111	736.354159773077	10290.5121229731	22418.0311859759	5203.18849870005	249.443372496037	197.106298212183	134.435612749505	131.802245763319	118.234766468766	101.605340942789	111.91057333908	100.463606837441	91.2762805341372	71.0344407681825	80.0799134514023	92.5314340358592	65.5366773323205	75.0633320734812	64.2929289316588	57.9452942592491	61.5413594751379	62.0880594364343	51.1669751615246	65.4661132507488	45.6980622232824	47.3444251861596	37.3275772232893	39.3197874664327	32.835931108495	43.2099761324964	32.3975112041753	31.7152476429601	36.2640609297219	36.3823919036958	26.3538561049553	29.9468122647869	23.0397612949998	36.3373642621046	25.4887505236813	25.2279986170479
265	914.959321187661	504.20862961129	413.293429082043	397.654552431316	4475.05753837893	27442.2182221946	19390.4824946087	779.308631482005	176.837881115226	163.584293483178	144.954501449272	108.751762708012	98.4545279750685	110.270380475041	86.9396500416426	80.5939161555032	82.648773748811	76.2561738825149	74.0664617215647	81.8318577144844	69.4389938016905	66.464049102911	73.6403261679134	69.6879277093822	68.9858056446852	67.2799043204077	59.7531610970959	49.9029195441801	53.6647044866085	46.3385804877591	38.8616297889269	38.1700078094247	36.3092565267775	40.518089428728	34.0668507220984	37.1910751178855	34.885349796923	29.6399339681131	29.0593663565797	27.2873499925788	24.7902306112311	28.8796521894883	20.7534826246177
267.5	753.473443573899	548.323413569794	460.86835278479	347.652629348903	1148.15404296901	19794.0399745728	41323.6523877164	6376.56468248547	236.187745016025	177.643293591043	148.874292117724	125.659834857106	114.289835344261	125.361854222399	87.0234431291897	86.447852886295	80.2450727250646	77.2236136455268	69.1096627769035	77.4167394384684	65.7959672662368	77.253067801733	54.6268220256298	58.0750454459162	68.0316245258113	61.5930783354756	54.6336856734589	51.7327999167785	51.1058262843294	33.6431240634539	47.0022026212184	39.0930502658269	34.4036173035048	27.0988734676953	27.878771504061	33.3810124983591	35.1084122401636	31.3297604148725	30.1537683941671	23.1477736020396	27.6500880729243	27.8797430569757	30.3436571117569
