Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	646.421600274272	418.195569430755	976.7697296775	1691.1681752174	297.757484864654	179.376324336817	187.00430914669	213.819706330224	202.691322514183	148.468028733842	154.207844650394	109.452020784701	95.4520668141828	79.0355431715019	62.3990049338319	64.2292751948898	75.6942850319337	60.1238648354076	65.7746270132807	61.4955807886366	51.0950173328341	52.70893035438	50.8915691494424	48.933644081938	58.6020148969274	55.7352220967151	52.307960323575	43.3841893974496	39.6516997389827	37.9556710955344	35.1925814780801	29.4371377527371	29.6610814256729	25.2805524912151	28.0957250280637	22.9647136720602	23.9372168099415	24.7543743522925	25.17237848181	18.8805015920218	16.8823255943503	19.5248652620261	18.5811093085623
252.5	492.262690030041	268.450703529471	941.523283365138	4201.79802649217	1737.05219055673	163.921352980928	236.572341431338	154.219723805289	184.620084472625	163.860229226563	142.587224117704	123.831069359578	104.5100401537	76.9138544772813	60.4785576920726	68.4159089896087	65.2323264606981	48.807189869634	64.8129859511436	63.8809418714494	52.7551676549422	59.9094050394439	60.9895933145594	58.2595054845751	42.5084485443912	63.1810186289993	41.1628006297712	44.3485309361065	38.233132409116	37.42397139656	35.5895870381871	35.2025558936771	34.0642547458867	32.6468345171297	30.0758404622614	17.4080472234992	19.0334385532553	27.6657915037062	21.9993743886912	20.3277999749452	16.5712976769557	15.2676894495797	19.9205362206536
255	775.434455829951	441.384200953832	657.938309747721	6072.40450779601	6080.33630107069	561.506092003196	178.432492490877	186.469202221158	192.451328470263	157.675129857191	134.517228673203	110.402475216662	85.0988704757179	68.9564951460678	64.7948909533731	61.3343431943314	61.5166855165434	57.794616590144	51.78177177513	59.6591294924214	51.6261360535686	49.028600162421	56.5153422410903	53.5472558088018	50.3962689030622	57.5744787682909	46.2911533583058	42.8190453864022	36.3596659664446	35.376362762489	35.1416854524236	35.5356051313713	26.5633406540801	24.8600413385757	23.1378712509756	27.4393028195075	28.3384635765884	25.0598622957919	19.6564012495467	22.2098463567401	25.257247524734	20.525501208443	21.5173072094519
257.5	688.255204001408	305.255558654	467.364419942784	5027.81350217626	12478.0176643453	3298.27599027285	185.872604745793	214.827323716487	218.806203294392	165.449130755733	134.643124535658	106.736832152999	85.6928313039812	104.873898192757	74.5925844718244	59.5001978945388	66.3559537415722	51.3186201024595	57.7256324072467	53.437971434943	48.5205469089878	51.5319234235594	53.3468130910599	49.0167187840947	47.347293911984	47.7067695429727	45.5734541077034	41.410083943785	41.656091964708	34.3169847006168	36.063707315269	34.6670122230177	34.5855812754392	33.3680422736045	30.5721190353092	22.6851559963359	20.631032315807	26.3468872126493	20.5538519671219	18.2932379808512	23.6671257232394	23.2287769879432	17.4021155614637
260	480.399419612881	312.86725150537	261.748550092226	2097.66095237775	15271.6131521219	11517.9599835158	644.914306977576	167.012884267214	214.270535190166	168.504059342628	138.492277179728	97.9051507139516	100.137125682747	74.2784232390393	75.5387845838371	69.2843182826718	53.1837862740029	68.0259118447867	66.3529880351838	53.4017657656878	44.7512374571733	54.2285516409711	59.5430478430424	62.1759478375535	48.5089352043946	50.3629180768221	56.2636399354929	41.4289088809525	40.6546142771925	38.059960230738	43.8995788854259	29.1207593097308	24.552606100364	25.8922404731421	30.9919617714378	25.6401836608086	23.9703843628317	25.8328458021661	23.1124763851579	17.1522150499704	21.3424225514107	19.3044976182474	20.9566235458904
262.5	640.741689631365	394.01249976829	315.48889697523	562.435268534918	11201.9411566572	23622.5835539705	4814.58298937736	218.005986824593	235.648283427781	154.737052191752	144.437566719289	113.152793898266	100.727542886732	81.9194744749346	78.6871954268276	64.7509455181991	76.7518685471584	70.417705951879	53.1502093230128	62.5976152887336	62.3249692779727	52.7776729676216	52.278885658173	48.1430702714285	45.4022659537265	49.7516397212306	48.3180374560845	35.0685460331508	31.9056117934052	36.6546193377006	28.7046520505751	37.2227259080844	31.4918269905727	26.7812633504628	22.7769584501104	30.1100729927774	27.7702023069466	20.043163570268	27.0656408114806	22.1901392098022	21.7328531440522	22.6920641564194	15.216343947422
265	492.401587567865	451.246946866124	240.559256491235	249.557982778546	4667.66085559643	28412.9558241977	18454.786856257	810.400531680073	245.180110422735	175.986576075005	164.875673910445	114.791451389813	93.2817157255874	84.6787139662623	76.3933847025018	73.0503464094203	60.3474894436781	59.0926274299625	68.7744695956223	57.7980908816734	63.7932721068203	53.9874883472633	46.3681563989552	44.2166442697132	43.818692445165	50.2106799213688	45.2277774274014	41.1750621102784	38.7573916012772	35.4037630251149	28.6989999953153	32.7491587749843	24.8434180238791	25.3304036863024	32.2082018071838	23.2944605135684	29.7616799299777	23.9787791235914	25.4675802890034	21.8578322953914	20.0002095399334	18.2249266365602	14.9905249636185
267.5	805.739967920434	466.689137906475	355.474761622545	316.264637299992	1228.14970831347	20437.6945766407	38506.031918696	6388.42727577366	235.485133384963	163.33433190543	139.486283219956	116.948633049441	108.922580827482	86.3140148801498	85.0560550288284	68.5971874901659	75.671690556723	62.4778929507815	53.6311412371897	52.2244133238141	56.8656918170726	46.0920206145317	49.3310238080929	54.7232255074948	46.1158954436366	54.1343443358695	42.2693308945284	42.5079285905519	32.3166466046432	36.1195624926463	30.4305331569489	24.2134590009453	29.4019593335591	28.3360905530444	29.0028369284249	21.1882995682519	20.2923479550345	26.251267300866	31.0037511429025	25.2951481720589	22.2919169287264	20.825061742157	17.4039506051537
