Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	923.302661385723	653.938258160255	845.055424850423	1235.0846807761	308.582631000686	229.498404109142	161.821976197135	178.705157859238	174.119371493452	137.509978122732	109.704623955973	136.712270055757	83.2488343066391	103.391056471067	105.914247176179	79.956792444746	80.5370752210621	84.2744834350449	79.470346652646	76.4953179185599	68.0671763924338	77.4052003204816	75.3830840596963	55.5519538546795	60.1886551270247	66.0681876145113	60.2445878197865	47.6662317464413	50.0467770882453	56.7702274696696	50.2597963417901	43.4648718515325	40.1616576192806	43.4357993031702	40.3953925043824	31.2559282801122	40.2832593149518	27.4580437778136	31.9875258532131	35.6422266818071	29.2907103957688	24.8762396775865	24.5541012225478
252.5	973.887932388454	546.550856478832	803.485347652244	2946.58238524756	1271.54891656862	214.625896395706	203.524266085933	143.635536375458	131.260766437914	118.822996427562	126.418311160739	109.833424536356	113.093454667695	104.604950644499	91.5587809767653	89.1924090517295	84.9532272306571	74.846730096849	87.4558652220793	73.6859412475069	77.5004498008855	65.7332286424709	70.7111920122352	65.0742300099185	73.9954701261236	62.7033412747378	69.084948603944	55.3949624832712	45.5028758738656	42.931710196897	54.1832530159916	44.3813195948117	39.0209423370688	33.9830964121324	32.4418871706155	35.6604438923606	30.3040528691944	33.2828932997292	26.8398037383918	27.7723053044195	29.7701419491312	28.6385129575962	25.2046386769531
255	905.999760434703	574.732115957464	605.229857305588	4309.20221237553	4478.71446719985	463.491184212391	207.189571914684	181.757021337083	188.563235521713	160.000880035983	120.999997851414	114.652981481635	97.50443788341	99.0475831239393	89.5484432540563	83.7792191275701	80.3373881112315	74.2797030941414	80.1196956791531	72.5812869654373	69.6564822396826	69.9988527087187	61.2912346107656	52.1644048209868	64.0365801202087	49.9905428616865	69.1573681841554	57.7657399119506	56.3189269325782	43.5092396276069	47.0485900154845	43.0675542096409	37.657460244693	43.1914936310404	35.1010189195648	32.222155138347	27.2969818342887	31.9084717941807	26.7709210337543	28.3126347144537	28.5697439775861	27.9997746993529	30.3202752702475
257.5	1120.31784190906	558.364572487903	462.081536863886	3083.25880187615	9398.85779087961	2307.38165679557	199.277541968248	210.379224094352	182.67571055709	165.511862711993	144.851177180483	89.1652801546838	103.391708365021	99.8146172642191	89.7282471840852	79.3842840883672	71.6942357795711	80.5909134960739	67.9456937991002	74.745402663317	59.8384748547667	75.2508831702341	61.4769508938866	71.2853869303171	76.8303653707557	62.412075969213	62.420226242364	61.0106839624377	44.9416862809359	49.1850541813208	44.7344355075869	41.0022572824031	34.4357522291456	41.6131192751745	35.3062257434562	42.1358586660748	34.397303097395	30.0006994647466	29.7938468061902	29.0229183087337	32.217075811311	28.8898987239606	28.5237604230961
260	810.237757869502	625.402764755799	400.4923064448	1681.60408837078	11388.6375612438	8959.1202863095	539.121095192404	241.294254326125	167.752392260276	151.240522260423	119.924941800855	125.824700942887	108.995303748244	95.3483388592472	93.7628683804259	104.761190696331	84.2681941302384	71.6954797798062	69.706656934415	85.5891782421087	79.3241936793154	73.8216564113788	85.1100409473492	64.4290018592888	68.6770427748958	59.5911645933324	69.7745033162616	57.2822126748546	52.1337848711699	49.2600909014116	44.2734660570812	36.4453613959797	36.5214349692926	39.8439144705162	36.3108969895047	36.9428699983077	33.2591482911054	31.9525424925204	32.1086923424216	29.7709020661185	28.6269312463845	24.5788560079499	27.1489839889744
262.5	990.642796874341	537.531223684274	359.96625791333	588.41676594179	8329.7931877742	18075.6951774669	4066.26943998004	242.684185963264	192.455954080006	151.509707767097	146.826398516106	121.064645052757	98.4686376683016	99.2427423257767	104.606240500689	92.1680251540664	71.5346141555752	86.5348262609423	84.0409000493338	75.6102912128647	74.8444936374864	73.2700252285765	62.22311259558	73.9686588247799	66.400379095009	72.0724103932897	66.6380145879251	47.0353343709775	53.0454325746187	50.8519309208863	40.3689218896762	34.479862583041	38.6576603942168	36.0001279448291	30.8774122206249	34.5824818617878	34.3653547140921	31.5301263959791	34.2326087361538	38.2660652905601	25.0816226873169	29.2761955683292	23.6011171887522
265	955.601563564091	601.635223827313	430.30645124256	372.993188871729	3577.74549576495	22191.7350545868	14736.4580439715	654.459590129017	189.502470387706	164.113004431821	140.394214525991	118.304910470032	103.517447972659	106.047146493583	90.8255606517344	84.6688153424611	88.23785856286	72.3750019242465	78.6959286427251	65.44296073926	75.0262365285578	73.694118474433	69.4626855968688	66.0199493641847	41.7235555580604	71.9359685437538	46.8037037873962	52.6936337679889	57.6838389491406	53.1667605219136	49.0154368537231	42.6970944077428	31.4618980098102	35.12381833745	34.2597818345427	34.5594263200831	38.8170571274525	34.4652645650711	32.183077000805	28.2021483220516	23.7142757906891	32.1459111481891	25.1596529821225
267.5	966.088529328456	598.128839771968	567.756713664338	412.867993123473	909.212698728968	15586.9839247509	30469.0607983994	5186.37352661366	254.473046771528	169.988293516563	157.843843518499	133.814755027599	113.953133653272	113.038554534543	87.4692566989886	90.8814833388089	76.0732330717516	72.2260398899115	88.0706922370035	72.2546311725336	76.9225517633061	73.3559292325996	65.740413207702	59.8873805535691	64.8469951871287	62.9091069449666	66.3322058059346	65.6260340230994	44.5095889262165	40.1123922506684	36.8481469098385	35.5951389351963	31.5303653208217	33.6025954787158	31.8982103919211	31.7575745130621	32.1762725701971	31.0605937568862	32.2732430825213	31.2124692405994	27.4651462475531	30.6242050676106	25.6655802171608
