Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	734.254793768811	559.290205193602	831.147621535585	1476.53134604551	349.761990652077	187.562630817782	169.091524427873	167.295718260129	136.525139729582	127.600774422609	142.662610676521	97.9323589891503	105.141366039729	92.3954224251037	77.7402113861892	68.2165808035465	79.568424131609	81.725736365276	67.9922009211571	69.7943578873965	72.9440036064571	66.3195645238815	69.2423708603946	64.0214716414963	62.5559933076422	67.5810072480732	53.6791181009876	61.9613271678104	47.4012318846215	49.7907815328269	43.5595221035296	46.7016872890364	28.7107568388632	39.2602615464198	31.2466881532653	39.5191567417666	36.5177547356121	29.1800980201641	29.8358291551754	27.4783501422336	27.3360332131179	28.5786969829202	23.9334404451253
252.5	1157.39985419614	502.728684587397	740.598043449288	3551.96297328958	1404.27827112099	176.134745122334	228.467805980719	204.278104246949	150.221682834128	144.39367152372	128.879986047927	88.2587697285624	102.029612812274	68.8951249649841	87.4689410282471	71.7858593592097	84.8030980419249	67.722872916782	73.8804595495061	76.4779967262773	68.3838838728529	66.3310963325997	56.2103805470326	52.0497412079352	48.7338789130268	62.4808355373925	55.4239915429625	48.5791475267436	42.3990067118226	39.8389111542097	38.2350826384686	29.4710438424256	41.6320074602311	32.7929674353158	29.077959615965	30.6882462444414	26.1486686301185	28.4540601240197	30.4948852981104	26.1539208349949	21.9850200518452	27.326155678886	25.3812863194371
255	830.950973907837	497.490184783975	810.058196516248	4671.01452888319	5115.84576877303	465.652211765325	176.188108674195	183.358598173597	152.399771101364	117.89918549968	133.170389162198	119.911966904894	102.610281432953	73.5609852810336	91.1797915679732	90.6447618465047	76.7937669440487	74.8996534260829	71.0746739918579	71.0733153748293	65.2484271232615	61.197822875951	57.8917688468057	70.0442642334979	65.2257218062835	75.4883688950745	56.1505554987238	56.3523705931765	42.5778772269084	37.5396492815981	45.0846714640234	39.2130764941499	34.3474572050587	41.6260228160014	39.6933844622675	29.2381903642975	27.635060776728	28.8934794173684	27.5962234027904	34.9145602677439	31.7503603334207	29.8872537642112	31.8632073251841
257.5	815.325551296776	532.84470260097	349.497876502754	4285.47216450589	11824.4553775951	2502.92227761954	217.195510707873	155.891578638071	146.459582942385	133.266546070335	130.506325940944	125.76595829531	102.229146896003	97.6131979481357	82.7364910396919	82.0748402977122	69.4595212749954	72.2377969625595	75.4875974325192	71.6428038083406	86.4265026429838	71.868307325666	68.0606356358865	66.4296296777602	58.9711644120263	49.4262315855102	56.7882419782524	47.9143799136028	51.7399771430469	40.9705425476658	40.2123051595983	27.9827039407622	33.8030972500645	32.5765752518242	31.3370771547425	32.9487072052688	32.5559195346666	27.7438630810642	34.542388076849	24.6478726005963	25.1606866531785	27.0383130050538	20.5025520631679
260	862.795861648713	395.530543680088	431.366647483243	1861.76083864915	15465.1107067136	9466.82327206099	676.32736908323	150.805094663066	154.440183382229	154.186977111489	135.453323512715	104.335777491715	89.7558256497319	77.5595406878903	88.2962629609141	84.0628072856945	82.0749051273941	74.7720858576658	79.2194635690675	65.5173514835918	67.0085802785719	65.9685191727791	71.9100197298713	75.2405468559945	70.4497931599229	62.3270581074793	51.6934777104922	48.6693948298325	47.4270400516859	39.9582817711737	35.4130227037512	36.7631100452046	33.626964229398	38.213495535176	34.8392152488486	29.3314029309422	32.439938574318	32.9782523521673	39.143399746729	27.9097127164489	25.7766377808724	25.1655280498219	23.8755825246291
262.5	1023.32778537571	627.465629535404	389.052687444019	657.031939889095	12311.2484021429	19064.8590776769	4033.93234020502	193.806757033399	157.64579989919	141.837064953797	119.193802698845	130.663246386268	100.838422982253	73.141291282123	89.0270371169458	100.842348050124	57.3004639489275	80.7027871855019	82.5522966197875	73.0823522363233	75.5593210504506	77.188014482495	69.7116535392619	56.0360616354677	71.5838083022069	53.0961349037838	50.0605777365249	51.3101449436199	52.400040277975	43.2665599982603	38.427802341006	34.5046917585832	32.3439600634196	29.8054820953552	41.7908927357364	30.9575112487933	30.2607299369226	32.203513336545	31.248568139433	24.5927749393746	25.1558500969695	30.5876892311186	26.2436487288644
265	685.050848701738	570.899623832727	387.913568884319	401.093606439887	5494.04552973898	23291.0536933197	15138.3518660648	688.831841562108	199.742975233106	158.968978207716	133.19146483902	114.153538280666	111.200866636916	105.723403267523	107.590383767057	80.080296732379	84.8405655760258	62.0573341030575	62.2920396124665	80.1913308746025	67.7078864352847	66.0161187843459	76.3326263682775	62.8046197706556	69.3007628478206	65.0812548217217	57.6495309789569	55.0961859213078	39.9200511488052	43.8960550713005	42.5982542600917	29.7240598172975	39.0993339108477	36.6927405720128	31.2613203530568	39.3787371334925	30.8736205078718	28.8608442475564	25.3919891140353	31.6499708183138	28.7458510043801	27.7383283614862	22.7204645399356
267.5	1130.04491907814	561.174476542424	508.597803124346	400.405856810826	1296.7777500696	16778.5809982442	31333.3983859051	5668.51366528405	202.906688786904	163.691335233432	122.936646454373	113.703604677243	116.835877697834	100.262926632962	91.6379754960096	70.2491182812627	79.0119170165876	69.1727757796813	78.3971237971166	63.6485928850325	51.4048360023126	57.2025224683484	63.6615111104704	57.8068656559186	54.7330039485042	56.906827492625	56.4353357684214	38.9574043687766	44.1739456942861	55.2747305101921	41.939544924827	37.4985805740356	36.3430557909849	33.4195199619281	37.0843518349962	38.1995304809886	34.9313680172404	29.5190934354009	27.2273979500842	28.9781402796643	31.124243239581	27.4069458815072	21.7021651410124
