Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	641.191934124878	473.935397171439	920.432588013803	1423.81581960768	292.424631457055	199.527281257376	152.026986906317	151.564485294907	129.896519687212	111.70630847299	119.976233690318	95.3040791134868	87.5200623287305	79.3832470126251	85.8275192557602	68.602587026359	54.7891114098904	75.5893927853836	66.3223233538733	57.6596389983005	60.3395677433685	56.7015358284692	56.5945364814193	50.9818539110653	54.5830160174787	51.6347466462991	38.5839707907965	41.0164192054952	43.2939118926993	35.7871543133738	35.2696192787196	34.5322680927504	25.8918863730739	25.2931416432142	28.1827295938742	25.4556574026544	33.8012773419388	20.0697536564251	26.8265371383181	20.9747789437029	22.4767939832398	26.2362105349613	19.2891656322147
252.5	745.238134721039	372.414113018291	852.649307409044	3489.07204140947	1415.54211159919	176.645583889834	140.723627407968	161.203689864316	124.184243035885	133.805670610469	104.369208568126	98.2964782055357	81.5206654021701	84.9682014911865	71.3751062586446	80.4199847241577	57.1931763072017	76.9503523424203	61.8744700920506	62.0249697711011	57.8231396071908	50.2647501091921	49.1415473554403	48.4860852382116	49.7001566923823	55.6787004936932	48.8127335233694	35.11452594591	47.4085164881263	39.029878914066	40.4291260740568	32.0147107671951	30.6973423227773	26.3516840430939	26.6695892191614	23.8403702559926	19.5156493592852	23.3419959429269	24.721628872344	23.3871612756739	20.3255343767618	23.3656812294538	19.5750045878511
255	850.411291916972	556.989162828567	713.171888465434	4756.47551036339	5255.21752708946	477.057176180557	186.88767631677	191.87399435518	128.5953603283	102.991654283761	96.2977642401993	95.1600508784914	96.6106587451744	92.7906215537538	69.9686035541598	55.2014716387399	63.4839756631316	54.4415018648491	55.9222530777931	65.3379059261599	53.4590614768369	68.9192880941651	62.3274092872975	55.5854209554908	49.1956557234205	48.0757354595729	43.4304106296059	37.1117754365327	46.8878359820481	42.6340649600634	33.2903649576885	25.2917561259403	33.8258629287369	32.6164263352533	24.2784016368048	23.8849531170525	24.3574673574561	24.2715543149365	31.294869202265	21.4416109931962	26.0714012160621	25.8552423437374	19.1059079239524
257.5	644.09549544834	434.500434217985	397.604124768446	4097.66290987156	10114.1995189973	2566.04984078967	183.782875453101	176.210960640981	132.135103425187	111.707365101657	106.515487577166	87.7123911313273	94.2122906206347	69.0896303141918	69.7845654042897	70.8833852505945	60.4474813698321	63.3657927352281	47.8228931358154	52.578215902171	57.1557940866768	47.7225001208185	54.7858803125177	55.1430374294637	48.7047874734824	45.2667261090866	41.0607307756029	38.6222820942322	39.2285578185914	34.3558745208559	34.719563354679	32.3726909760397	27.5291784115598	30.7580732970582	35.380232738405	30.0205140568381	36.2262468723602	27.2379349366681	27.5843140297368	18.7376543274408	19.2715360851164	32.167845853128	18.3846920911357
260	781.047245658688	353.307509869564	301.498450304266	1773.53536680121	12445.964873	9618.43314870658	533.004902170098	181.894746145747	149.287331960014	128.803284810147	109.741700617152	105.238755866648	79.9642137721179	78.3332097827889	81.2709689852247	70.2337631159575	65.5873747556516	61.9440350112856	67.7007033125492	60.1695550250814	53.9642698191525	49.1510111121533	58.2507461399842	46.1859014050515	56.7498972759353	50.472432168367	59.9483382516051	46.1753157765127	46.8012052334238	36.726443222074	33.9998496457013	32.9179132692526	31.3888023811466	28.0962384581305	33.4961773397912	26.5884148907641	23.7363534381276	31.1286712845777	22.0843209169598	24.1536522151553	23.5097778449196	26.0874113052023	19.3167066498695
262.5	959.487323715958	352.666930167733	300.859173395911	628.956898495756	9381.8656627018	18869.6588158289	4316.71381032918	179.122563827114	133.601816784545	108.197570135804	119.333258977374	101.123355118999	91.4680773867567	88.1449276206739	89.1715094965254	74.3899605862363	73.7099809000143	61.2793398412585	68.3157856524586	50.0219813646193	54.5103905326618	64.015716737577	55.8009622445834	50.8728722913085	48.6520022987851	48.587311825912	44.9789021018101	37.8149259186017	35.0337142175193	44.1684983361697	35.629139148182	29.0396010022685	37.0915890214072	23.2108378170885	29.6901162947332	30.999584255765	24.7377793020763	28.8049389671657	24.7002589487164	26.9635344564253	28.3171068504766	20.6808351490771	24.6295068781765
265	733.798949705503	581.575684806063	328.817809079373	384.25350094012	3836.25009418218	23013.3171407104	15392.4223007743	611.960309782057	154.142066925859	156.088706224761	121.948442458835	97.1530927318658	87.6743912773086	98.912420816964	82.4793644306139	70.1024809501268	72.881926637769	73.4092051631635	58.7376339813802	59.9003635403249	71.2514190242064	49.9063298316919	53.676058058763	50.8524302874511	47.9873233005789	46.6799596376909	38.3242798288696	39.9640667041409	38.9537184531286	30.4977952688951	34.0627866752359	36.8603430885107	27.3522420223411	37.6664322279513	33.9430349122099	27.2047346130407	30.2343123080893	31.2106497537308	23.4025601793797	28.1428215501832	24.7273689990833	25.2517244285647	24.0805988775621
267.5	934.357771814688	509.017960628634	365.153871292335	378.609777774956	1059.84141046267	16677.2650654214	30810.3546363812	5362.56180464636	217.123906472594	143.048979162067	146.040760456125	131.901131819789	99.9481344208892	90.120999914193	76.989790238393	66.5412290068762	60.2501766152489	63.4609183520286	66.1416869459812	64.1515571388442	56.329828517306	53.8036697796241	43.6959740169111	50.5550911657597	53.4476007603541	51.6017931420161	56.1779982987403	43.7083516262725	38.8636459710958	44.0609879158999	33.4525366104059	33.3671654534829	35.0183259072134	33.5270942539643	31.1428236552738	29.5640023522817	28.467310030528	24.0531504285136	23.2087165163657	28.6994387916576	22.8418439347721	22.0688406197765	26.4525370241969
