Wavelength	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
250	856.498113997219	473.952821070994	674.600205486369	1291.50211876199	302.592771202043	228.809802999749	208.585118139297	151.568289330344	171.720417635465	93.2294725199895	119.950883578101	105.389825412103	91.6358166596338	90.4366351621436	80.7521213807829	53.9356574574147	60.682465872984	63.980420544185	63.5200547849215	56.5944828594799	59.9453978485394	58.7186783008614	59.6431588919215	54.479168390025	55.2754237215552	54.1421867278271	60.4285524702657	51.1386111536082	43.2498059168133	41.5504662895832	37.2905767809787	33.5676502738193	33.6657033334787	36.3846520260605	32.0719702935328	27.7478875861571	30.8705495252836	31.3807229281924	35.9299526278225	31.4595753737089	28.5584012403603	26.7911721113116	26.6504474801222
252.5	868.169700641845	495.293757503468	748.86376865115	2611.57637320042	1286.11477483	192.901873809179	132.080699775336	165.100017103735	108.314582820626	115.965401989271	106.250686078333	113.106425401082	105.75682829578	87.3768666200784	74.7944048585522	68.4059651088482	83.9023967907249	59.3051087593015	64.1263317161982	61.2197291236239	62.1827606568404	63.3342678663407	54.696225786296	60.658378489211	46.7359229497687	50.4510250442915	44.6778398154495	40.6576386709327	38.7335902059703	33.3554938295668	43.8951504976599	38.521287459745	35.6163630805438	31.5509340363741	34.847149161997	30.3021781867968	33.4383673040747	28.2185848155842	25.5016283703449	22.0922925185682	27.1668741708742	29.8038678946955	23.8399776334078
255	518.580250769896	571.853963199931	605.768981949472	4029.93096829123	4162.80639189521	398.277938699362	174.379094804777	180.824630243038	143.710754010192	119.37910592199	120.195214615877	84.9076192750877	83.3940349845761	90.5694362968051	76.651834208186	83.3242282204794	67.4691455490304	60.7975318525522	62.8355894510865	54.3820947030267	66.3356110793466	55.9746284076383	52.4713748204602	45.4585745834503	60.6949959535327	48.018233978378	58.5364527155745	43.712054905321	41.0293519374992	34.3309390861105	30.7185009806996	35.5046001743365	33.3964050791449	33.2376633747651	34.4884912249125	31.5136865303932	22.594495581651	29.3854782745544	25.71391573622	21.4938340553517	23.9604405482528	31.8106092262195	25.2830444175382
257.5	1122.33290361944	711.343125193395	483.362861753326	3358.37451880858	8282.56288960141	2037.33215408085	191.389504856979	179.310782809466	145.272997298156	120.64140736674	128.643523502117	95.5137536567119	81.9766035135153	90.5181089407788	66.2693845251535	77.7524357863157	56.5486924592136	76.3381421020115	64.7663628079647	70.7027188386576	58.8733297895479	53.9180771175299	58.5976831739244	56.9771162740298	55.8192277573293	51.5344352698734	44.3605230599573	47.4110156735364	50.0357348782658	41.822340288717	32.1807973887646	38.3555238161357	33.7776650481587	35.213623930762	32.3055645821161	28.3723496979264	28.7523682949544	27.2923757775136	22.4955544682609	32.078145133884	29.0685761615834	25.2030690099159	27.7614414627791
260	906.685695337002	578.086472077177	413.275550468123	1678.99093151121	10410.7734602696	7675.23124409403	480.253197036226	155.861371049809	151.252656219357	127.516145420267	140.490414050618	96.3659487539476	97.9256664966113	81.7275243949186	68.2724008820684	82.0472795783042	72.5251957503166	71.2347046971418	66.7061268856653	58.514613480513	60.6423467646268	66.4290423604705	59.6769943614487	57.0311798321998	49.7540373356389	58.47417487438	50.8190258538346	50.6139782912149	44.1588328027935	35.3069183749151	38.8965995425273	38.6740910778596	30.0380360149082	33.2937627101398	31.8126759503347	37.469976706882	23.4990576215158	37.0280348917288	26.1765271704969	31.939478086381	24.3659794207078	28.0957705285222	24.641683693244
262.5	933.777155276728	514.726599988013	337.498781730224	666.873120330738	7860.48226597727	15733.171612377	3452.21681958182	210.740193166004	160.254627965661	122.865124095992	112.41962928441	109.636461962699	89.1449320830769	74.1581592062807	86.2329838906674	72.4830003133591	62.9868805856644	73.7717338481425	68.5461099783611	74.9025787210383	54.1679140836538	54.7672740327803	57.897848298573	64.2901090335617	54.3062802408342	50.5466940160409	48.59188662354	44.7592778370148	42.9702499855578	35.8250934756587	35.4804773979182	37.2459662880813	33.5744558121472	33.4753227853405	30.7487899055253	24.5529795481164	28.9797074119161	27.6521055453132	29.3193475067442	27.9222997922025	26.4304773277798	27.789656206802	25.9513641693072
265	737.148199923643	497.55184645513	376.517050072771	469.690900763537	3473.83620621111	18811.1780064038	12405.4157230056	643.280131419997	203.030413878977	140.252196324439	127.370677994815	103.939669308388	85.3191109995476	98.1615794681192	79.9215146406711	68.7291417594508	61.4507726657588	62.1197328742727	68.1765428710124	50.4040441137796	66.723739132653	52.874602985321	59.7590667814548	53.9228492502842	65.3570927134902	48.7139299155517	55.8829848114019	46.8783112903349	43.5256615629335	38.9876406740902	37.9009429002532	29.26727839154	31.5162057751436	32.8561792274804	30.9750498722408	29.9723288389127	29.5640288145684	26.8582052083342	30.2041171657667	34.0568797365004	28.0561494015788	22.9733310643737	27.5375320069113
267.5	805.185500120558	563.536296477124	507.956978291014	354.488431211394	862.89711702428	13961.9328800387	26011.4003919991	4356.2655143467	198.255983686517	153.329770729263	122.42584743404	105.567657116765	100.111026892892	91.234452321165	93.6768139448949	78.2246768365486	79.847464072544	65.9739053198841	70.968545140579	65.9120681361085	59.5627851581019	55.0126293264836	55.5362244832363	62.3696982883326	68.2418690008192	49.6268019432327	57.2587049033597	44.5821913985411	38.9803456753754	40.1434569859146	31.7185119323041	38.2718468587895	39.5247213176012	26.8486808452643	30.6804402225022	31.3786462997785	26.9366745793722	29.1373149131946	32.8736897115013	21.5846935001648	24.583762856598	24.8783469407132	24.9779675926881
