Wavelength (nm),Absorbance,Title,Time
600,-0.000045,LBlank,1/23/2014 4:58:03 PM
599.5,0.000751,,
599,-0.000232,,
598.5,0.000045,,
598,0.000075,,
597.5,-0.000015,,
597,0.000077,,
596.5,-0.000525,,
596,-0.000005,,
595.5,0.000185,,
595,-0.000159,,
594.5,0.000218,,
594,-0.000295,,
593.5,-0.000248,,
593,0.000096,,
592.5,0.000467,,
592,0.000285,,
591.5,-0.00028,,
591,-0.000488,,
590.5,0.000265,,
590,0.000696,,
589.5,0.000787,,
589,0.000398,,
588.5,-0.000487,,
588,0.000651,,
587.5,0.000671,,
587,0.000228,,
586.5,0.000163,,
586,-0.00033,,
585.5,0.000503,,
585,0.00029,,
584.5,-0.000144,,
584,0.000404,,
583.5,-0.000051,,
583,0.000179,,
582.5,-0.000152,,
582,-0.00006,,
581.5,0.000105,,
581,-0.000112,,
580.5,-0.000336,,
580,-0.000127,,
579.5,-0.000639,,
579,-0.000426,,
578.5,-0.000214,,
578,0.00009,,
577.5,-0.000166,,
577,0.000267,,
576.5,0.000534,,
576,-0.000287,,
575.5,-0.00004,,
575,0.000786,,
574.5,-0.000173,,
574,-0.00002,,
573.5,-0.00025,,
573,0.000037,,
572.5,0.0001,,
572,0.000386,,
571.5,-0.000225,,
571,0.000073,,
570.5,0.000112,,
570,-0.000154,,
569.5,-0.000015,,
569,-0.000254,,
568.5,0.000394,,
568,-0.000078,,
567.5,0.000377,,
567,0.000054,,
566.5,-0.000049,,
566,-0.000221,,
565.5,0.000288,,
565,0.00018,,
564.5,-0.000209,,
564,0.000562,,
563.5,-0.000403,,
563,-0.000071,,
562.5,0.000102,,
562,0.000252,,
561.5,0.0003,,
561,-0.000023,,
560.5,0.000223,,
560,-0.000466,,
559.5,-0.000189,,
559,0.000018,,
558.5,0.000149,,
558,-0.000409,,
557.5,0.000021,,
557,-0.000228,,
556.5,0.000345,,
556,-0.000045,,
555.5,0.000099,,
555,0.000081,,
554.5,0.000099,,
554,0.000234,,
553.5,-0.000232,,
553,-0.000135,,
552.5,-0.000289,,
552,0.000334,,
551.5,0.000071,,
551,0.000326,,
550.5,-0.000017,,
550,-0.000111,,
549.5,0.000025,,
549,-0.000256,,
548.5,0.000079,,
548,-0.000269,,
547.5,-0.000191,,
547,0.000239,,
546.5,0.000099,,
546,0.000096,,
545.5,-0.000093,,
545,0.000202,,
544.5,0.000101,,
544,-0.000057,,
543.5,-0.000048,,
543,0.000062,,
542.5,0.000068,,
542,-0.000059,,
541.5,-0.00008,,
541,0.000066,,
540.5,-0.000228,,
540,0.00013,,
539.5,0.000066,,
539,0.000134,,
