Wavelength (nm),Absorbance,Title,Time
600,-0.000021,3Ainitial,1/23/14 10:51
599.5,0.000663,,
599,0.00011,,
598.5,-0.000056,,
598,-0.000458,,
597.5,0.000479,,
597,0.000035,,
596.5,0.000223,,
596,0.000118,,
595.5,0.000088,,
595,-0.000288,,
594.5,0.00021,,
594,0.000134,,
593.5,-0.000733,,
593,0.000735,,
592.5,-0.000167,,
592,0.00023,,
591.5,-0.000217,,
591,0.000581,,
590.5,-0.00018,,
590,0.000025,,
589.5,-0.000218,,
589,0.000064,,
588.5,-0.000703,,
588,-0.000213,,
587.5,-0.00005,,
587,0.00046,,
586.5,0.000514,,
586,0.000182,,
585.5,0.000191,,
585,0.000327,,
584.5,0.000092,,
584,0.000226,,
583.5,-0.000452,,
583,0.000427,,
582.5,0.00046,,
582,0.000069,,
581.5,0.000405,,
581,-0.000239,,
580.5,-0.000278,,
580,0.000045,,
579.5,0.000521,,
579,0.000725,,
578.5,-0.000292,,
578,0.000125,,
577.5,-0.00002,,
577,0.000329,,
576.5,0.000012,,
576,0.000009,,
575.5,-0.000011,,
575,0.0002,,
574.5,0.000001,,
574,0.000409,,
573.5,-0.000028,,
573,0.00002,,
572.5,0.00027,,
572,0.000359,,
571.5,-0.000112,,
571,-0.000158,,
570.5,0.000504,,
570,0.000237,,
569.5,0.000019,,
569,0.000364,,
568.5,-0.000007,,
568,0.000272,,
567.5,0.00045,,
567,-0.00007,,
566.5,0.000392,,
566,-0.000108,,
565.5,-0.000008,,
565,0.000212,,
564.5,-0.000021,,
564,-0.000113,,
563.5,-0.000177,,
563,0.00016,,
562.5,-0.000066,,
562,0.000462,,
561.5,-0.000372,,
561,0.000113,,
560.5,0.000473,,
560,0.000173,,
559.5,0.000207,,
559,0.000475,,
558.5,0.000694,,
558,0.000207,,
557.5,0.000505,,
557,0.000455,,
556.5,-0.000027,,
556,0.00027,,
555.5,-0.000008,,
555,0.000164,,
554.5,0.000134,,
554,0.000249,,
553.5,0.000436,,
553,0.000142,,
552.5,0.000463,,
552,-0.000307,,
551.5,0.000296,,
551,0.000212,,
550.5,0.000489,,
550,0.000171,,
549.5,0.000289,,
549,0.000052,,
548.5,0.000049,,
548,0.000152,,
547.5,0.000084,,
547,0.000313,,
546.5,0.000349,,
546,-0.000029,,
545.5,0.000143,,
545,0.000377,,
544.5,-0.000139,,
544,0.000089,,
543.5,0.0002,,
543,0.000208,,
542.5,-0.000013,,
542,0.000258,,
541.5,0.000181,,
541,0.000022,,
540.5,0.000218,,
540,0.000054,,
539.5,0.000326,,
539,0.000004,,
538.5,0.000064,,
538,0.000021,,
537.5,0.000246,,
537,0.000029,,
536.5,0.000227,,
536,0.000195,,
535.5,0.000014,,
535,-0.00004,,
534.5,0.00024,,
534,0.000141,,
533.5,0.000078,,
533,0.000247,,
532.5,0.000111,,
532,0.000237,,
531.5,0.000283,,
531,0.000024,,
530.5,0.000242,,
530,0.000228,,
529.5,0.000224,,
529,0.000237,,
528.5,0.00009,,
528,0.000213,,
527.5,0.000349,,
527,0.00033,,
526.5,0.000444,,
526,0.00017,,
525.5,0.000458,,
525,0.000327,,
524.5,0.000138,,
524,0.00019,,
523.5,-0.000028,,
523,0.000268,,
522.5,-0.00009,,
522,0.000239,,
521.5,0.000737,,
521,-0.000024,,
520.5,0.000073,,
520,0.000249,,
519.5,0.000166,,
519,0.000104,,
518.5,0.000247,,
518,0.0001,,
517.5,0.00029,,
517,0.000321,,
516.5,0.000224,,
516,0.000191,,
515.5,-0.00017,,
515,0.000328,,
514.5,0.000105,,
514,0.000267,,
513.5,0.000556,,
513,0.000249,,
512.5,0.000352,,
512,-0.000005,,
511.5,0.000154,,
511,0.000171,,
510.5,0.000324,,
510,0.000109,,
509.5,0.000322,,
509,0.000025,,
508.5,-0.000031,,
508,-0.000197,,
507.5,0.000068,,
507,0.000172,,
506.5,0.000359,,
506,0.000126,,
505.5,0.000025,,
505,0.000165,,
504.5,0.000034,,
504,-0.000171,,
503.5,0.000281,,
503,0.000271,,
502.5,-0.000339,,
502,0.000429,,
501.5,0.000907,,
501,0.00008,,
500.5,0.000078,,
500,0.000381,,
499.5,0.000475,,
499,0.000483,,
498.5,0.000236,,
498,0.000412,,
497.5,0.000408,,
497,0.000223,,
496.5,0.000278,,
496,0.00028,,
495.5,0.000164,,
495,0.000389,,
494.5,0.000303,,
494,0.000072,,
493.5,0.00053,,
493,0.000405,,
492.5,0.000434,,
492,0.000241,,
491.5,0.000507,,
491,0.000386,,
490.5,0.00035,,
490,0.000424,,
489.5,0.000256,,
489,0.000207,,
488.5,0.000464,,
488,0.000507,,
487.5,0.000477,,
487,0.000342,,
486.5,0.000285,,
486,0.000401,,
485.5,0.000543,,
485,0.00035,,
484.5,0.000353,,
484,0.000351,,
483.5,0.000148,,
483,0.000337,,
482.5,0.000444,,
482,0.000262,,
481.5,0.000491,,
481,0.000285,,
480.5,0.000474,,
480,0.000368,,
479.5,0.000583,,
479,0.000486,,
478.5,0.000478,,
478,0.000543,,
477.5,0.00044,,
477,0.000436,,
476.5,0.000526,,
476,0.000348,,
475.5,0.000413,,
475,0.000266,,
474.5,0.000276,,
474,0.000598,,
473.5,0.000581,,
473,0.000485,,
472.5,0.000524,,
472,0.000282,,
471.5,0.000536,,
471,0.000602,,
470.5,0.000301,,
470,0.000336,,
469.5,0.000397,,
469,0.000404,,
468.5,0.000404,,
468,0.00054,,
467.5,0.000566,,
467,0.000302,,
466.5,0.000354,,
466,0.00035,,
465.5,0.000568,,
465,0.000563,,
464.5,0.000498,,
464,0.000376,,
463.5,0.000459,,
463,0.000474,,
462.5,0.000325,,
462,0.000387,,
461.5,0.000441,,
461,0.000501,,
460.5,0.000391,,
460,0.000348,,
459.5,0.00048,,
459,0.000381,,
458.5,0.000451,,
458,0.000558,,
457.5,0.000452,,
457,0.000579,,
456.5,0.000608,,
456,0.000722,,
455.5,0.000565,,
455,0.000399,,
454.5,0.000656,,
454,0.000711,,
453.5,0.000554,,
453,0.000468,,
452.5,0.000594,,
452,0.000644,,
451.5,0.000633,,
451,0.000578,,
450.5,0.000551,,
450,0.000208,,
449.5,0.000336,,
449,0.000498,,
448.5,0.000678,,
448,0.000585,,
447.5,0.000562,,
447,0.000633,,
446.5,0.00038,,
446,0.000447,,
445.5,0.000677,,
445,0.000361,,
444.5,0.000568,,
444,0.000372,,
443.5,0.000601,,
443,0.00057,,
442.5,0.000506,,
442,0.000467,,
441.5,0.000475,,
441,0.000449,,
440.5,0.000607,,
440,0.000315,,
439.5,0.000518,,
439,0.000278,,
438.5,0.000294,,
438,0.00053,,
437.5,0.000533,,
437,0.000733,,
436.5,0.000568,,
436,0.000483,,
435.5,0.000345,,
435,0.000562,,
434.5,0.000459,,
434,0.000577,,
433.5,0.000533,,
433,0.000482,,
432.5,0.000495,,
432,0.000529,,
431.5,0.000407,,
431,0.000539,,
430.5,0.000495,,
430,0.000694,,
429.5,0.00063,,
429,0.00033,,
428.5,0.000218,,
428,0.000487,,
427.5,0.000449,,
427,0.000283,,
426.5,0.000396,,
426,0.000454,,
425.5,0.000509,,
425,0.000569,,
424.5,0.000462,,
424,0.000519,,
423.5,0.000498,,
423,0.000558,,
422.5,0.000574,,
422,0.000465,,
421.5,0.000472,,
421,0.000449,,
420.5,0.000496,,
420,0.000528,,
419.5,0.000375,,
419,0.000557,,
418.5,0.000609,,
418,0.000445,,
417.5,0.000736,,
417,0.000424,,
416.5,0.000238,,
416,0.000274,,
415.5,0.000607,,
415,0.000457,,
414.5,0.00039,,
414,0.000453,,
413.5,0.0004,,
413,0.000429,,
412.5,0.00059,,
412,0.000534,,
411.5,0.000409,,
411,0.000521,,
410.5,0.000643,,
410,0.000759,,
409.5,0.000484,,
409,0.00061,,
408.5,0.000602,,
408,0.000554,,
407.5,0.000465,,
407,0.000441,,
406.5,0.000556,,
406,0.000298,,
405.5,0.000314,,
405,0.000401,,
404.5,0.000503,,
404,0.000631,,
403.5,0.000693,,
403,0.00053,,
402.5,0.001025,,
402,0.000537,,
401.5,0.000669,,
401,0.000361,,
400.5,0.000884,,
400,0.000565,,
399.5,0.000441,,
399,0.000627,,
398.5,0.000447,,
398,0.000934,,
397.5,0.000682,,
397,0.000501,,
396.5,0.000265,,
396,0.000347,,
395.5,0.000675,,
395,0.000583,,
394.5,0.000408,,
394,0.000736,,
393.5,0.000815,,
393,0.001037,,
392.5,0.000438,,
392,0.000436,,
391.5,0.000519,,
391,0.000542,,
390.5,0.000608,,
390,0.000677,,
389.5,0.000619,,
389,0.000469,,
388.5,0.00062,,
388,0.000419,,
387.5,0.000456,,
387,0.000683,,
386.5,0.000744,,
386,0.000894,,
385.5,0.000975,,
385,0.000912,,
384.5,0.000678,,
384,0.000764,,
383.5,0.000689,,
383,0.000794,,
382.5,0.000685,,
382,0.000404,,
381.5,0.00064,,
381,0.000398,,
380.5,0.000704,,
380,0.000415,,
379.5,0.001023,,
379,0.00077,,
378.5,0.0008,,
378,0.000941,,
377.5,0.000768,,
377,0.000813,,
376.5,0.000556,,
376,0.000973,,
375.5,0.00083,,
375,0.000636,,
374.5,0.000833,,
374,0.001583,,
373.5,0.000742,,
373,0.000768,,
372.5,0.000994,,
372,0.00069,,
371.5,0.001087,,
371,0.000624,,
370.5,0.001058,,
370,0.001019,,
369.5,0.001318,,
369,0.001391,,
368.5,0.001055,,
368,0.001357,,
367.5,0.001243,,
367,0.001159,,
366.5,0.000688,,
