Date,Day,Time,Treatment,Rep,Test,Subs,DPM1,FL,cells/mL
6/11/13,0,15:45,1,A,enzyme,b-glu,,262.4,
6/11/13,0,15:52,2,A,enzyme,b-glu,,211.3,
6/11/13,0,15:57,3,A,enzyme,b-glu,,205.7,
6/11/13,0,16:04,4,A,enzyme,b-glu,,211.4,
6/11/13,0,16:08,5,A,enzyme,b-glu,,209.7,
6/11/13,0,15:46,1,B,enzyme,b-glu,,209.6,
6/11/13,0,15:52,2,B,enzyme,b-glu,,210.9,
6/11/13,0,15:58,3,B,enzyme,b-glu,,214.6,
6/11/13,0,16:04,4,B,enzyme,b-glu,,212,
6/11/13,0,16:08,5,B,enzyme,b-glu,,206.4,
6/11/13,0,15:47,1,C,enzyme,b-glu,,209.9,
6/11/13,0,15:52,2,C,enzyme,b-glu,,206.6,
6/11/13,0,15:58,3,C,enzyme,b-glu,,211.1,
6/11/13,0,16:04,4,C,enzyme,b-glu,,206.5,
6/11/13,0,16:09,5,C,enzyme,b-glu,,203,
6/11/13,0,15:49,1,D,enzyme,b-glu,,208.2,
6/11/13,0,15:53,2,D,enzyme,b-glu,,206.8,
6/11/13,0,15:58,3,D,enzyme,b-glu,,212.3,
6/11/13,0,16:05,4,D,enzyme,b-glu,,206.7,
6/11/13,0,16:09,5,D,enzyme,b-glu,,206.6,
6/11/13,0,15:50,1,E,enzyme,b-glu,,211.1,
6/11/13,0,15:53,2,E,enzyme,b-glu,,208.9,
6/11/13,0,15:59,3,E,enzyme,b-glu,,209.5,
6/11/13,0,16:05,4,E,enzyme,b-glu,,206.9,
6/11/13,0,16:09,5,E,enzyme,b-glu,,205.7,
6/11/13,0,15:45,1,A,enzyme,leu-AP,,4854,
6/11/13,0,15:53,2,A,enzyme,leu-AP,,6122,
6/11/13,0,16:01,3,A,enzyme,leu-AP,,5712,
6/11/13,0,16:05,4,A,enzyme,leu-AP,,4916,
6/11/13,0,16:09,5,A,enzyme,leu-AP,,4450,
6/11/13,0,15:47,1,B,enzyme,leu-AP,,4569,
6/11/13,0,15:54,2,B,enzyme,leu-AP,,5746,
6/11/13,0,16:01,3,B,enzyme,leu-AP,,4845,
6/11/13,0,16:05,4,B,enzyme,leu-AP,,4127,
6/11/13,0,16:10,5,B,enzyme,leu-AP,,4810,
6/11/13,0,15:47,1,C,enzyme,leu-AP,,4777,
6/11/13,0,15:54,2,C,enzyme,leu-AP,,5645,
6/11/13,0,16:01,3,C,enzyme,leu-AP,,5369,
6/11/13,0,16:05,4,C,enzyme,leu-AP,,5013,
6/11/13,0,16:10,5,C,enzyme,leu-AP,,4933,
6/11/13,0,15:47,1,D,enzyme,leu-AP,,4238,
6/11/13,0,15:54,2,D,enzyme,leu-AP,,5047,
6/11/13,0,16:02,3,D,enzyme,leu-AP,,5034,
6/11/13,0,16:06,4,D,enzyme,leu-AP,,5758,
6/11/13,0,16:10,5,D,enzyme,leu-AP,,4810,
6/11/13,0,15:50,1,E,enzyme,leu-AP,,4648,
6/11/13,0,15:54,2,E,enzyme,leu-AP,,5809,
6/11/13,0,16:02,3,E,enzyme,leu-AP,,5391,
6/11/13,0,16:06,4,E,enzyme,leu-AP,,4864,
6/11/13,0,16:10,5,E,enzyme,leu-AP,,5303,
6/11/13,0,15:46,1,A,enzyme,PO4,,1436,
6/11/13,0,15:55,2,A,enzyme,PO4,,1454,
6/11/13,0,15:59,3,A,enzyme,PO4,,1500,
6/11/13,0,16:11,4,A,enzyme,PO4,,1436,
6/11/13,0,16:12,5,A,enzyme,PO4,,1452,
6/11/13,0,15:47,1,B,enzyme,PO4,,1392,
6/11/13,0,15:55,2,B,enzyme,PO4,,1418,
6/11/13,0,15:59,3,B,enzyme,PO4,,1438,
6/11/13,0,16:11,4,B,enzyme,PO4,,1421,
6/11/13,0,16:12,5,B,enzyme,PO4,,1448,
6/11/13,0,15:48,1,C,enzyme,PO4,,1403,
6/11/13,0,15:55,2,C,enzyme,PO4,,1397,
6/11/13,0,16:00,3,C,enzyme,PO4,,1430,
6/11/13,0,16:11,4,C,enzyme,PO4,,1444,
6/11/13,0,16:12,5,C,enzyme,PO4,,1352,
6/11/13,0,15:49,1,D,enzyme,PO4,,1445,
6/11/13,0,15:56,2,D,enzyme,PO4,,1174,
6/11/13,0,16:00,3,D,enzyme,PO4,,1433,
6/11/13,0,16:11,4,D,enzyme,PO4,,1438,
6/11/13,0,16:13,5,D,enzyme,PO4,,1462,
6/11/13,0,15:50,1,E,enzyme,PO4,,1321,
6/11/13,0,15:56,2,E,enzyme,PO4,,1326,
6/11/13,0,16:00,3,E,enzyme,PO4,,1410,
6/11/13,0,16:12,4,E,enzyme,PO4,,1429,
6/11/13,0,16:13,5,E,enzyme,PO4,,1371,
6/11/13,0,17:00,1,A,enzyme,b-glu,,205.5,
6/11/13,0,17:00,2,A,enzyme,b-glu,,207.8,
6/11/13,0,17:00,3,A,enzyme,b-glu,,207.1,
6/11/13,0,17:01,4,A,enzyme,b-glu,,214.5,
6/11/13,0,17:01,5,A,enzyme,b-glu,,205.8,
6/11/13,0,17:01,1,B,enzyme,b-glu,,205.1,
6/11/13,0,17:01,2,B,enzyme,b-glu,,205.4,
6/11/13,0,17:01,3,B,enzyme,b-glu,,218.7,
6/11/13,0,17:01,4,B,enzyme,b-glu,,209.7,
6/11/13,0,17:02,5,B,enzyme,b-glu,,206.7,
6/11/13,0,17:02,1,C,enzyme,b-glu,,206.1,
6/11/13,0,17:02,2,C,enzyme,b-glu,,211.1,
6/11/13,0,17:02,3,C,enzyme,b-glu,,217.3,
6/11/13,0,17:02,4,C,enzyme,b-glu,,212.5,
6/11/13,0,17:02,5,C,enzyme,b-glu,,203.2,
6/11/13,0,17:02,1,D,enzyme,b-glu,,208.6,
6/11/13,0,17:03,2,D,enzyme,b-glu,,209,
6/11/13,0,17:03,3,D,enzyme,b-glu,,206.2,
6/11/13,0,17:03,4,D,enzyme,b-glu,,203,
6/11/13,0,17:03,5,D,enzyme,b-glu,,207.3,
6/11/13,0,17:03,1,E,enzyme,b-glu,,209.8,
6/11/13,0,17:03,2,E,enzyme,b-glu,,206.6,
6/11/13,0,17:03,3,E,enzyme,b-glu,,217.1,
6/11/13,0,17:04,4,E,enzyme,b-glu,,206.5,
6/11/13,0,17:04,5,E,enzyme,b-glu,,203.4,
6/11/13,0,17:04,1,A,enzyme,leu-AP,,12962,
6/11/13,0,17:05,2,A,enzyme,leu-AP,,21594,
6/11/13,0,17:05,3,A,enzyme,leu-AP,,14707,
6/11/13,0,17:05,4,A,enzyme,leu-AP,,11126,
6/11/13,0,17:05,5,A,enzyme,leu-AP,,7305,
6/11/13,0,17:05,1,B,enzyme,leu-AP,,12048,
6/11/13,0,17:05,2,B,enzyme,leu-AP,,19961,
6/11/13,0,17:05,3,B,enzyme,leu-AP,,11723,
6/11/13,0,17:06,4,B,enzyme,leu-AP,,8404,
6/11/13,0,17:06,5,B,enzyme,leu-AP,,8889,
6/11/13,0,17:06,1,C,enzyme,leu-AP,,11791,
6/11/13,0,17:06,2,C,enzyme,leu-AP,,21491,
6/11/13,0,17:06,3,C,enzyme,leu-AP,,12451,
6/11/13,0,17:07,4,C,enzyme,leu-AP,,10894,
6/11/13,0,17:07,5,C,enzyme,leu-AP,,10287,
6/11/13,0,17:08,1,D,enzyme,leu-AP,,13026,
6/11/13,0,17:08,2,D,enzyme,leu-AP,,18024,
6/11/13,0,17:08,3,D,enzyme,leu-AP,,12414,
6/11/13,0,17:09,4,D,enzyme,leu-AP,,12914,
6/11/13,0,17:09,5,D,enzyme,leu-AP,,10000,
6/11/13,0,17:09,1,E,enzyme,leu-AP,,11958,
6/11/13,0,17:09,2,E,enzyme,leu-AP,,26232,
6/11/13,0,17:10,3,E,enzyme,leu-AP,,16165,
6/11/13,0,17:10,4,E,enzyme,leu-AP,,11731,
6/11/13,0,17:10,5,E,enzyme,leu-AP,,13685,
6/11/13,0,17:11,1,A,enzyme,PO4,,1887,
6/11/13,0,17:11,2,A,enzyme,PO4,,2069,
6/11/13,0,17:11,3,A,enzyme,PO4,,1619,
6/11/13,0,17:11,4,A,enzyme,PO4,,1576,
6/11/13,0,17:11,5,A,enzyme,PO4,,1611,
6/11/13,0,17:13,1,B,enzyme,PO4,,1609,
6/11/13,0,17:13,2,B,enzyme,PO4,,1760,
6/11/13,0,17:14,3,B,enzyme,PO4,,1848,
6/11/13,0,17:14,4,B,enzyme,PO4,,1563,
6/11/13,0,17:14,5,B,enzyme,PO4,,1524,
6/11/13,0,17:14,1,C,enzyme,PO4,,1554,
6/11/13,0,17:14,2,C,enzyme,PO4,,1717,
6/11/13,0,17:15,3,C,enzyme,PO4,,1775,
6/11/13,0,17:15,4,C,enzyme,PO4,,1691,
6/11/13,0,17:15,5,C,enzyme,PO4,,1465,
6/11/13,0,17:15,1,D,enzyme,PO4,,1637,
6/11/13,0,17:15,2,D,enzyme,PO4,,1432,
6/11/13,0,17:16,3,D,enzyme,PO4,,1830,
6/11/13,0,17:16,4,D,enzyme,PO4,,1619,
6/11/13,0,17:16,5,D,enzyme,PO4,,1592,
6/11/13,0,17:16,1,E,enzyme,PO4,,1526,
6/11/13,0,17:16,2,E,enzyme,PO4,,1668,
6/11/13,0,17:16,3,E,enzyme,PO4,,1861,
6/11/13,0,17:17,4,E,enzyme,PO4,,1576,
6/11/13,0,17:17,5,E,enzyme,PO4,,1422,
6/11/13,0,17:26,1,A,enzyme,b-glu,,201.2,
6/11/13,0,17:27,2,A,enzyme,b-glu,,204.3,
6/11/13,0,17:27,3,A,enzyme,b-glu,,205.1,
6/11/13,0,17:27,4,A,enzyme,b-glu,,200.7,
6/11/13,0,17:27,5,A,enzyme,b-glu,,201.7,
6/11/13,0,17:27,1,B,enzyme,b-glu,,203.7,
6/11/13,0,17:27,2,B,enzyme,b-glu,,204.6,
6/11/13,0,17:27,3,B,enzyme,b-glu,,223.9,
6/11/13,0,17:28,4,B,enzyme,b-glu,,208.5,
6/11/13,0,17:28,5,B,enzyme,b-glu,,202.7,
6/11/13,0,17:28,1,C,enzyme,b-glu,,,
6/11/13,0,17:28,2,C,enzyme,b-glu,,,
6/11/13,0,17:28,3,C,enzyme,b-glu,,223.5,
6/11/13,0,17:29,4,C,enzyme,b-glu,,217.6,
6/11/13,0,17:29,5,C,enzyme,b-glu,,201.2,
6/11/13,0,17:29,1,D,enzyme,b-glu,,205.8,
6/11/13,0,17:30,2,D,enzyme,b-glu,,212.6,
6/11/13,0,17:30,3,D,enzyme,b-glu,,205.9,
6/11/13,0,17:30,4,D,enzyme,b-glu,,202.9,
6/11/13,0,17:30,5,D,enzyme,b-glu,,202,
6/11/13,0,17:30,1,E,enzyme,b-glu,,210.5,
6/11/13,0,17:30,2,E,enzyme,b-glu,,206.4,
6/11/13,0,17:30,3,E,enzyme,b-glu,,229.4,
6/11/13,0,17:30,4,E,enzyme,b-glu,,206.9,
6/11/13,0,17:31,5,E,enzyme,b-glu,,202,
6/11/13,0,17:31,1,A,enzyme,leu-AP,,15444,
6/11/13,0,17:31,2,A,enzyme,leu-AP,,26592,
6/11/13,0,17:31,3,A,enzyme,leu-AP,,18081,
6/11/13,0,17:31,4,A,enzyme,leu-AP,,13565,
6/11/13,0,17:32,5,A,enzyme,leu-AP,,8628,
6/11/13,0,17:32,1,B,enzyme,leu-AP,,14326,
6/11/13,0,17:32,2,B,enzyme,leu-AP,,24186,
6/11/13,0,17:32,3,B,enzyme,leu-AP,,14356,
6/11/13,0,17:32,4,B,enzyme,leu-AP,,10024,
6/11/13,0,17:32,5,B,enzyme,leu-AP,,10638,
